lemma,count
"",22
hand,16
bundle,10
arm,8
sea,7
head,6
execution,5
shoulder,5
back,4
way,4
plan,4
man,4
fruit,3
girl,3
ground,3
rifle,3
spear,3
home,3
part,3
sail,3
effect,3
war,3
child,3
house,3
boy,3
design,3
branch,2
lady,2
word,2
horn,2
country,2
gun,2
shield,2
soul,2
storm,2
line,2
basket,2
grave,2
eye,2
distance,2
ball,2
field,2
warfare,2
end,2
prisoner,2
heart,2
sword,2
father,2
descent,2
mind,2
conviction,2
stream,2
room,2
action,2
gentleman,2
sister,2
life,2
hope,2
crowd,2
captivity,2
candle,2
letter,2
captive,2
light,2
ligurians,2
principle,2
conversation,2
lip,2
form,2
store,1
desolation,1
eagle,1
task,1
ev'n,1
lead,1
purpose,1
myron,1
leg,1
coffin,1
blessing,1
english,1
apology,1
crew,1
degree,1
labour,1
iron,1
wax,1
project,1
girdle,1
missionary,1
package,1
case,1
squatter,1
lamp,1
koran,1
acta,1
liquor,1
body,1
presence,1
reel,1
smoke,1
police,1
plug,1
window,1
trace,1
burden,1
press,1
scheme,1
greek,1
chef,1
pestle,1
pocket,1
note,1
hog,1
impunity,1
idea,1
lock,1
rosy-lipped,1
goblin,1
employment,1
slumber,1
whip,1
keg,1
pie,1
character,1
frontier,1
present,1
fellow,1
keeper,1
portfolio,1
traveller,1
gates,1
weight,1
circumstance,1
captain,1
thing,1
rider,1
heaven,1
tiding,1
pole,1
azar,1
supply,1
barrel,1
contrivance,1
safety,1
speed,1
cannonball,1
mistress,1
tribe,1
purse,1
apartment,1
admonition,1
beast,1
feud,1
whim,1
tray,1
money,1
family,1
small,1
budget,1
air,1
labor,1
feeling,1
entry,1
scene,1
indian,1
legion,1
luggage,1
fawn,1
broadsword,1
errand,1
stern,1
wine,1
cake,1
shout,1
gristmill,1
public,1
nonsense,1
purchase,1
thought,1
folly,1
promise,1
number,1
people,1
hat,1
trifle,1
street,1
fall,1
mortar,1
fire,1
torrent,1
address,1
victim,1
canteen,1
look,1
government,1
humor,1
lodge,1
niece,1
booty,1
prize,1
work,1
bunch,1
face,1
husband,1
pearl,1
cannon-ball,1
scar,1
sense,1
wife,1
modesty,1
instrument,1
palm,1
banana,1
woe,1
elder,1
view,1
doing,1
mail,1
double,1
list,1
hessian,1
province,1
hypothesis,1
key,1
rose,1
dishonor,1
need,1
harpooneers,1
animation,1
i'the,1
lie,1
spar,1
height,1
harp,1
door,1
extreme,1
think,1
dismay,1
extravagance,1
hold,1
wish,1
trunk,1
cheerfulness,1
step,1
speculation,1
pilate,1
point,1
rank,1
puff,1
convention,1
show,1
onias,1
fan,1
hotel,1
society,1
hair,1
twixt,1
bride,1
bow,1
village,1
world,1
chest,1
swamp,1
pair,1
card,1
misery,1
native,1
spirit,1
daughter,1
farmer,1
cause,1
valise,1
story,1
shoat,1
stair,1
gut,1
stone,1
rule,1
pipe,1
deceit,1
wretch,1
pontoon,1
candlestick,1
canvass,1
carpenter,1
troop,1
party,1
reflection,1
imagination,1
valley,1
tart,1
gingerbread,1
madeline,1
summit,1
bedchamber,1
name,1
right,1
breast,1
hunter,1
tier,1
bear,1
pine-board,1
marline,1
quarter,1
packing-case,1
hill,1
extent,1
sterne,1
hazard,1
bucket,1
mountain,1
destruction,1
suit,1
act,1
babylon,1
person,1
creek,1
matter,1
firelocks,1
bread,1
burgoo,1
musket,1
bed,1
law,1
horse,1
emergency,1
fashion,1
meat,1
sign,1
mantle,1
genuineness,1
cargo,1
deck,1
prostrate,1
