lemma,count
effect,30
war,22
"",22
execution,13
weight,12
measure,9
operation,8
government,7
house,7
point,6
business,6
mind,6
right,6
purpose,5
principle,5
power,5
mail,5
state,5
life,5
territory,4
plan,4
trade,4
prisoner,4
mean,4
conviction,4
action,4
number,4
back,3
system,3
portion,3
majority,3
scheme,3
detail,3
force,3
slave,3
commerce,3
flag,3
despatch,3
law,3
revolution,3
man,3
opposition,3
work,3
thing,3
hand,3
slavery,3
practice,3
bill,3
water,3
labor,2
loss,2
sign,2
scalp,2
title,2
civilization,2
history,2
river,2
door,2
soldier,2
place,2
catholic,2
issue,2
child,2
coal,2
line,2
congress,2
party,2
department,2
order,2
resolution,2
supply,2
individual,2
heart,2
extent,2
disadvantage,2
link,2
cry,2
provision,2
campaign,2
court,2
opinion,2
//,2
arm,2
brain,2
doctrine,2
presence,2
port,2
memory,2
age,2
series,2
contest,2
programme,2
boulder,2
sense,2
country,2
corporation,2
matter,2
honor,2
realm,2
parliament,2
musket,2
horse,2
ground,2
burden,2
poem,2
argument,2
union,2
authority,2
view,2
conception,2
degree,2
representative,2
spirit,2
struggle,2
intention,2
policy,2
result,2
reform,2
body,2
death,2
library,1
generation,1
acting,1
kitchen,1
terror,1
strait,1
oversight,1
surface,1
backbone,1
rout,1
tyrant,1
mien,1
ambassador,1
privilege,1
public,1
tricolor,1
petition,1
privation,1
thought,1
banner,1
theory,1
conversation,1
scale,1
consequence,1
sequence,1
people,1
art,1
host,1
entanglement,1
wheat,1
fire,1
battle-field,1
proceed,1
necessity,1
post,1
narrative,1
grave,1
charter,1
effort,1
recommendation,1
side,1
arithmetic,1
friend,1
faction,1
share,1
respect,1
general,1
consternation,1
ether,1
proviso,1
text-book,1
condition,1
owner,1
contract,1
army,1
clause,1
turn,1
trust,1
human,1
rear,1
race,1
answer,1
poison,1
flight,1
mexican,1
christianity,1
conclusion,1
game,1
triumph,1
watch,1
flavor,1
ability,1
club,1
double,1
edge,1
embrace,1
chief,1
dumb-bell,1
proposal,1
cap,1
subject,1
truth,1
impulse,1
corn,1
duty,1
lip,1
nature,1
dwell,1
barbarity,1
antagonism,1
picture,1
blood,1
overthrow,1
close,1
attendant,1
extreme,1
middle,1
regularity,1
think,1
wish,1
peril,1
half-savage,1
mendocino,1
resource,1
sin,1
reign,1
distribution,1
testimony,1
baker,1
company,1
screw,1
clime,1
republican,1
management,1
audience,1
limit,1
surplus,1
ornament,1
brazilian,1
habit,1
society,1
bow,1
distress,1
village,1
emblem,1
nation,1
declaration,1
spring,1
person,1
credit,1
bag,1
emancipation,1
tent,1
dam,1
ensign,1
bosom,1
enemy,1
radical,1
currency,1
pine,1
strength,1
fashion,1
journey,1
colonist,1
sea,1
wealth,1
english,1
decision,1
search,1
decree,1
imposture,1
project,1
manner,1
sentence,1
drunk,1
object,1
miscount,1
incident,1
sweet,1
ideal,1
wound,1
dispatch,1
cook,1
populace,1
price,1
reservation,1
press,1
tribute,1
diplo,1
aggregate,1
colony,1
wall,1
information,1
accession,1
rescue,1
idea,1
drill,1
election,1
experience,1
insti,1
odor,1
comet,1
mouth,1
hut,1
term,1
piece,1
precedent,1
gates,1
medal,1
tiding,1
ism,1
life-and-death,1
thrill,1
completion,1
marshal,1
weapon,1
cause,1
justice,1
part,1
cordon,1
horseshoe,1
pursuit,1
valise,1
constitution,1
story,1
stair,1
ons,1
way,1
sky,1
rule,1
subsistence,1
accordance,1
university,1
canvass,1
hospital,1
tract,1
valley,1
discipline,1
regiment,1
lady,1
development,1
reproach,1
gas,1
successor,1
woman,1
hill,1
captive,1
destruction,1
determination,1
instruction,1
clerk,1
oven,1
will,1
ordinance,1
flour,1
officer,1
sphere,1
invention,1
drift,1
committee,1
change,1
recusant,1
agriculture,1
nail,1
damp,1
jurisdiction,1
patient,1
blessing,1
comparison,1
bank,1
exercise,1
science,1
end,1
news,1
case,1
train,1
poet,1
sort,1
learner,1
protection,1
violence,1
deal,1
roman,1
pocket,1
design,1
resting-place,1
implication,1
column,1
home,1
verge,1
word,1
repudiation,1
master,1
article,1
character,1
wood,1
infantry,1
intrigue,1
treaty,1
flirtation,1
church,1
kit,1
transaction,1
sacrament,1
apparatus,1
bottle,1
penalty,1
boundary,1
gun,1
abundance,1
impeachment,1
money,1
regulation,1
air,1
absurdity,1
importance,1
standard,1
suggestion,1
unionist,1
head,1
gospel,1
baggage,1
meeting,1
bundle,1
knapsack,1
alarm,1
waste,1
popish,1
go-between,1
disapproval,1
understanding,1
