lemma,count
information,16
"",8
egg,6
weight,6
message,6
burden,5
trade,5
data,4
experiment,4
risk,4
policy,4
pocket,4
research,4
meaning,3
class,3
individual,3
load,3
city,3
man,3
work,3
implication,3
connotation,3
mouth,3
radio,3
duty,3
extreme,3
state,3
back,3
dialogue,3
signal,3
share,3
sugar,3
credit,3
activity,2
word,2
letter,2
article,2
consciousness,2
book,2
county,2
human,2
person,2
river,2
contact,2
piece,2
function,2
unit,2
task,2
college,2
telephone,2
limit,2
weapon,2
type,2
quantity,2
world,2
order,2
bird,2
sack,2
arch,2
death,2
bit,2
passenger,2
observation,2
staff,2
germ,2
company,2
engineering,2
ship,2
style,2
law,2
device,2
production,2
arab,2
plan,2
part,2
barter,2
route,2
mean,2
credibility,2
property,2
operation,2
traffic,2
program,2
material,2
money,2
area,2
sentence,2
possibility,2
marriage,2
object,2
echo,2
general,2
end,2
telegraph,2
warfare,2
report,2
value,2
tradition,2
shipment,1
church,1
hunt,1
overtone,1
hitlerism,1
cise,1
content,1
passion,1
newspaper,1
misquotation,1
difficulty,1
vale,1
steel,1
clue,1
palanquin,1
schema,1
jesuit,1
shoulder,1
seed,1
measurement,1
air,1
television,1
transition,1
instalment,1
alliance,1
punishment,1
framework,1
suggestion,1
job,1
burst,1
debate,1
excess,1
vitamin,1
life,1
indian,1
group,1
tv,1
export,1
radiologist,1
tension,1
reader,1
longing,1
understanding,1
rifle,1
hammock,1
cake,1
generation,1
school,1
space,1
in-law,1
broadcast,1
conviction,1
primitive,1
electricity,1
kind,1
ball,1
public,1
thought,1
arrow,1
itar,1
transmitter,1
journeymen,1
coat,1
roller,1
final,1
conversation,1
wolf,1
people,1
algebra,1
pressure,1
self-protection,1
horn,1
host,1
majority,1
wedding,1
payload,1
molecule,1
post,1
writing,1
good,1
baroque,1
remark,1
silver,1
briefcase,1
parcel,1
loke,1
friend,1
cash,1
metaphor,1
computer,1
government,1
run,1
transceiver,1
capacity,1
log,1
tee,1
chronometer,1
hope,1
prudence,1
trader,1
dew,1
whale,1
answer,1
repair,1
dome,1
system,1
conclusion,1
secret,1
ice,1
top,1
view,1
jeeves,1
tadpole,1
flavor,1
guerrilla,1
culture,1
mail,1
tea,1
list,1
current,1
target,1
consultant,1
straw,1
corruption,1
description,1
auspices,1
parasite,1
robin,1
crabgrass,1
subject,1
impulse,1
elephant,1
modernity,1
oak,1
bulk,1
rhythm,1
dwell,1
aspect,1
title,1
oppression,1
wagon,1
blood,1
camp,1
tub,1
middle,1
award,1
unity,1
child,1
endeavor,1
ratio,1
step,1
ware,1
method,1
inventor,1
uncomplimentary,1
other,1
colon,1
sword,1
frontiersman,1
serve,1
logic,1
republican,1
arm,1
african,1
dog,1
guild,1
protein,1
habit,1
worry,1
village,1
dialysis,1
mouse,1
supervision,1
card,1
firmness,1
license,1
cat,1
bag,1
notion,1
trauma,1
chemical,1
square,1
revolver,1
evil,1
meat,1
institution,1
administration,1
war,1
simulation,1
prayer,1
pharaoh,1
affirmative,1
crew,1
tobacco,1
degree,1
portuguese,1
search,1
project,1
anxiety,1
result,1
package,1
significance,1
reform,1
openness,1
liver,1
virus,1
pan,1
skin,1
distance,1
scheme,1
apse,1
motherland,1
power,1
male,1
plural,1
set,1
monkey,1
spanish,1
location,1
official,1
stimulus,1
aid,1
myth,1
ldc,1
derivative,1
congress,1
merchandise,1
governor,1
projection,1
pier,1
sangamon,1
proof,1
neck,1
stigma,1
action,1
amount,1
chemist,1
tiding,1
region,1
relief,1
speed,1
principle,1
bitter,1
receiver,1
concern,1
family,1
momentum,1
regulation,1
status,1
visit,1
music,1
cause,1
openwork,1
office,1
field,1
complex,1
pivot,1
teaching,1
cove,1
acid,1
frigg,1
saffron,1
way,1
drink,1
test,1
victory,1
boat,1
finale,1
name,1
ceremony,1
seabeach,1
inventory,1
cord,1
portal,1
seat,1
ad,1
saunders,1
airline,1
sight,1
relative,1
drawing,1
revenue-raising,1
impact,1
forefinger,1
extent,1
abstractness,1
subordinate,1
bloodstream,1
actor,1
armour,1
clergy,1
duodenum,1
effect,1
copy,1
request,1
disease,1
level,1
education,1
attribute,1
bread,1
vote,1
model,1
annihilation,1
sofa,1
cargo,1
game-farm,1
response,1
lesson,1
satellite,1
garbage,1
grain,1
high-security,1
leg,1
lot,1
speech,1
judgment,1
hassle,1
performance,1
news,1
particle,1
building,1
entrepot,1
presence,1
genocide,1
shore,1
teacher,1
sheet,1
strategy,1
overgrazing,1
prisoner,1
democracy,1
flow,1
water,1
team,1
deal,1
salt,1
design,1
home,1
aim,1
rain,1
climate,1
calculation,1
cartridge,1
delivery,1
construction,1
