lemma,count
"",51
man,42
way,38
place,31
difficulty,14
home,13
//,12
fault,12
people,12
work,11
fact,11
country,11
thing,11
expression,11
interest,10
history,10
employment,10
number,10
woman,10
object,9
state,9
reason,9
opportunity,9
pleasure,8
party,8
book,7
world,7
paper,7
body,7
company,7
use,7
room,7
general,7
rest,7
word,7
face,7
case,6
cause,6
proof,6
line,6
institution,6
sign,6
defect,6
life,6
city,6
system,6
relation,6
mind,6
college,6
matter,6
position,6
truth,6
passage,6
power,6
result,6
water,6
condition,6
rule,6
letter,6
character,6
escape,5
record,5
course,5
wife,5
law,5
subject,5
friend,5
note,5
page,5
house,5
bed,5
person,5
point,5
presence,5
statement,5
principle,5
right,5
road,5
volume,5
english,5
occupation,4
mean,4
labor,4
village,4
command,4
beginning,4
island,4
literature,4
companion,4
heart,4
sort,4
class,4
government,4
leisure,4
author,4
bank,4
nature,4
act,4
ground,4
side,4
support,4
quality,4
answer,4
origin,4
school,4
bill,4
majority,4
occasion,4
examination,4
train,4
circulation,3
street,3
grave,3
human,3
solution,3
fleet,3
hall,3
capital,3
legislation,3
novel,3
--,3
bible,3
profit,3
form,3
moment,3
impulse,3
field,3
politics,3
monument,3
part,3
camp,3
door,3
debt,3
story,3
value,3
charge,3
tweed,3
trace,3
port,3
society,3
name,3
example,3
wall,3
firm,3
back,3
argument,3
idea,3
opinion,3
war,3
floor,3
father,3
light,3
element,3
congress,3
prince,3
shelter,3
task,3
piece,3
order,3
amount,3
effect,3
application,3
money,3
student,3
foot,3
punishment,3
end,3
family,3
member,3
market,3
foundation,3
resting-place,3
range,3
writing,3
duty,3
respect,3
german,3
explanation,3
owner,3
list,3
amusement,3
favor,3
multitude,3
surprise,3
department,3
enemy,3
lady,3
happiness,3
shadow,3
instance,3
horse,3
public,3
claim,3
authority,3
army,3
investigation,2
charm,2
ignorance,2
mine,2
republican,2
action,2
development,2
experience,2
illustration,2
outlet,2
supporter,2
apartment,2
conduct,2
improvement,2
crevice,2
buyer,2
office,2
union,2
reference,2
change,2
satisfaction,2
direction,2
possession,2
wood,2
audience,2
conversation,2
supply,2
distance,2
inadequacy,2
telescope,2
fruit,2
paragraph,2
strap,2
brother,2
relief,2
proposition,2
access,2
meeting,2
writer,2
hold,2
want,2
independence,2
contrast,2
total,2
other,2
counter,2
beauty,2
advertisement,2
intention,2
regulation,2
deep,2
river,2
importance,2
testimony,2
formula,2
figure,2
star,2
material,2
exposition,2
trouble,2
resource,2
debate,2
alliance,2
democracy,2
indian,2
standard,2
encouragement,2
group,2
pretext,2
singular,2
be,2
margin,2
library,2
lodgment,2
basement,2
hand,2
nourishment,2
competition,2
constitution,2
correspondence,2
march,2
think,2
sail,2
legislature,2
patron,2
substitute,2
doctrine,2
foothold,2
eye,2
practice,2
influence,2
