lemma,count
"",85
way,39
place,38
rock,23
man,22
expression,17
thing,15
object,13
surface,12
fact,12
method,12
water,11
group,11
flower,10
wood,10
number,10
land,10
country,10
fault,9
people,9
point,9
case,9
world,9
part,8
difficulty,8
trace,8
quantity,8
form,8
purpose,7
evidence,7
line,7
trail,7
animal,7
life,7
spot,7
home,7
food,7
word,7
--,7
idea,7
soil,7
person,6
individual,6
layer,6
sea,6
work,6
other,6
force,6
plant,6
region,6
mean,6
distance,6
supply,6
field,6
name,6
matter,6
head,6
river,6
change,5
foot,5
house,5
piece,5
fossil,5
colony,5
nature,5
subject,5
grave,5
abundance,5
result,5
enemy,5
book,5
mountain,5
account,5
room,5
gold,5
experiment,5
aim,5
bone,5
key,5
rest,5
parallel,5
market,5
family,5
lodgment,5
indian,5
state,5
path,5
porcupine,4
shelter,4
back,4
present,4
snow,4
solution,4
experience,4
need,4
native,4
density,4
bird,4
association,4
center,4
type,4
use,4
advantage,4
god,4
body,4
cause,4
deposit,4
area,4
light,4
element,4
nest,4
justification,4
live,4
proportion,4
foe,4
tribe,4
difference,4
law,4
outlet,4
vapor,4
kind,4
think,4
continent,4
camp,4
interest,4
service,4
bed,4
horse,4
spring,4
transition,4
material,4
//,4
duty,4
stratum,4
island,4
race,4
age,4
community,3
end,3
pass,3
effect,3
mention,3
inspiration,3
answer,3
forest,3
example,3
ice,3
success,3
mother,3
effort,3
source,3
music,3
archipelago,3
spirit,3
desire,3
tree,3
earth,3
meaning,3
bridge,3
crystal,3
stone,3
heart,3
quarry,3
village,3
woman,3
situation,3
position,3
english,3
interpretation,3
hole,3
compact,3
skin,3
ground,3
cold,3
study,3
plan,3
variation,3
employment,3
commerce,3
satisfaction,3
track,3
thicket,3
relation,3
mass,3
shade,3
application,3
connection,3
principle,3
exercise,3
swamp,3
teacher,3
function,3
sheet,3
post,3
town,3
whole,3
constituent,3
condition,3
range,3
practice,3
system,3
explanation,3
district,3
bronze,3
church,3
intelligence,3
route,3
one,3
meridian,3
make,3
ditch,3
circumstance,3
passage,3
building,3
root,3
voice,3
scene,3
side,3
self-sacrifice,3
block,3
inability,3
fawn,3
disadvantage,3
entertainment,3
average,3
mine,2
wife,2
traitor,2
governor,2
bay,2
energy,2
flint,2
goodness,2
drawing-room,2
implement,2
coast,2
nucleus,2
conduct,2
nut,2
city,2
cave,2
argument,2
bottom,2
meat,2
blossom,2
class,2
extent,2
copper,2
glacier,2
fox,2
wall,2
mammal,2
club,2
division,2
silver,2
figure,2
core,2
development,2
wind,2
symbol,2
organism,2
magic,2
skeleton,2
period,2
table,2
human,2
ship,2
pair,2
wit,2
volunteer,2
school,2
judgment,2
parish,2
bear,2
tissue,2
competition,2
depth,2
sack,2
eye,2
process,2
gamba,2
pueblo,2
problem,2
bloom,2
direction,2
zone,2
trap,2
game,2
basis,2
remain,2
style,2
vegetable,2
tint,2
face,2
mark,2
friend,2
settlement,2
throng,2
color,2
language,2
publisher,2
boat,2
green,2
chief,2
entrance,2
garden,2
inclination,2
strait,2
mud,2
girl,2
calculation,2
landscape,2
poetry,2
boss,2
species,2
blood,2
pipe,2
influence,2
public,2
support,2
bearing,2
height,2
debt,2
