lemma,count
"",44
way,35
man,18
place,17
thing,16
word,14
girl,12
room,10
work,9
job,9
people,9
life,8
woman,8
voice,7
wife,7
money,6
door,6
legend,6
seat,6
answer,6
fault,6
peace,5
stand,5
food,5
book,5
apartment,5
body,5
father,5
other,5
house,4
horse,4
street,4
stick,4
child,4
chair,4
love,4
trace,4
end,4
person,4
sort,4
home,4
heart,4
trouble,3
telephone,3
brother,3
earth,3
p.-a,3
hand,3
hotel,3
cow,3
ground,3
office,3
opportunity,3
bottle,3
mother,3
village,3
water,3
officer,3
drawer,3
card,3
paper,3
lot,3
number,3
page,3
head,3
friend,3
boy,3
cigarette,3
raft,3
fruit,3
mean,3
guy,3
face,3
fellow,3
business,3
emperor,2
neighborhood,2
coroner,2
wait,2
think,2
hole,2
case,2
outlet,2
kitchen,2
space,2
moment,2
drink,2
interest,2
mystery,2
judge,2
lady,2
letter,2
eye,2
candle,2
thought,2
store,2
pain,2
sack,2
farm,2
mama,2
comfort,2
pocket,2
road,2
contentment,2
trinket,2
death,2
animal,2
daughter,2
snow,2
wallpaper,2
universe,2
egg,2
knife,2
supply,2
power,2
ring,2
change,2
game,2
solution,2
vy,2
experience,2
gambling,2
attic,2
bill,2
flat,2
idea,2
son,2
folk,2
knee,2
jew,2
boat,2
catalogue,2
right,2
handkerchief,2
table,2
foothold,2
wood,2
corner,2
grandmother,2
bush,2
satisfaction,2
use,2
tree,2
group,2
murderer,2
sky,2
city,2
cause,2
ice,2
floor,2
tamzin,2
arachne,2
conversation,2
defense,1
destroyer,1
crack,1
ear,1
balcony,1
elder,1
deep-down,1
livelihood,1
kite,1
deputation,1
landmark,1
row,1
list,1
purple,1
admission,1
chief,1
key,1
lawn,1
convenience,1
corn,1
duty,1
must'a,1
lip,1
lie,1
mail-order,1
bible,1
password,1
picture,1
cave,1
guest,1
camp,1
rua,1
evidence,1
scorn,1
substitute,1
dining,1
editor,1
reason,1
vein,1
basement,1
blacken,1
like,1
point,1
top-side,1
stain,1
woodbox,1
rank,1
motive,1
photograph,1
flaw,1
cure,1
staircase,1
audience,1
epileptic,1
shelter,1
long-horned,1
port,1
celerity,1
powder,1
hip,1
society,1
comb,1
red-wing,1
round,1
foot,1
weep,1
tux,1
strain,1
shrinking,1
bow,1
invitation,1
klux,1
lucile,1
mainstay,1
swamp,1
gunny,1
pair,1
ku,1
friendliness,1
dandy,1
mount,1
concentration,1
certificate,1
hollow,1
exit,1
credit,1
stay,1
babe,1
back,1
bunk,1
matter,1
lilyan,1
laboratory,1
loaf,1
ribbon,1
gap,1
notion,1
sex,1
thanks,1
khaki-clad,1
bedside,1
excitement,1
enemy,1
tow,1
runnin,1
black,1
law,1
bomb,1
one,1
vestry,1
queer,1
square,1
stocking,1
ne'er-do-well,1
root,1
back-bone,1
pancreatitis,1
enthusiasm,1
tingle,1
heat,1
war,1
parent,1
purpose,1
record,1
position,1
shoe,1
gathering,1
english,1
flower,1
material,1
search,1
dot,1
midst,1
royalty,1
--,1
delta,1
reality,1
himselfas,1
sundown,1
leader,1
sentence,1
drunk,1
package,1
lamp,1
balance,1
rucksack,1
fountain-pen,1
advertisement,1
mattress,1
mertyl,1
mah,1
police,1
jewelry,1
cot,1
butt,1
highway,1
self,1
skin,1
basket,1
distance,1
clumsiness,1
garden,1
string,1
weed,1
band,1
set,1
investigation,1
sit,1
flash,1
hymn,1
county,1
soldier,1
kress,1
lef,1
iodine,1
employment,1
morsel,1
heed,1
liane,1
glue,1
utopia,1
tinkertoy,1
piece,1
administrator,1
nana,1
withdrawal,1
assault,1
weight,1
neck,1
action,1
hatred,1
cossack,1
gentleman,1
pick-up,1
king,1
envelope,1
rag,1
coach,1
astigmatism,1
maidservant,1
refugee,1
creed,1
tribe,1
fat,1
baby,1
treasure,1
class,1
roadside,1
copter,1
family,1
labor,1
lover,1
purchaser,1
suggestion,1
division,1
towser,1
epilepsy,1
olympus,1
entry,1
pulse,1
polish,1
forgiveness,1
workman,1
indian,1
look-out,1
ship,1
frame,1
bulge,1
rand,1
doc,1
explanation,1
needle,1
pheasant,1
chit,1
pillow,1
chance,1
prowl,1
course,1
geranium,1
kind,1
capitalist,1
pack,1
artillery,1
gilias,1
bishop,1
madame,1
yurt,1
modistes,1
pullman,1
cafe,1
lawyer,1
lily,1
metal,1
weakness,1
farmhouse,1
bird,1
steer,1
post,1
good-bye,1
banking,1
tavi,1
scissors,1
willin,1
question,1
role,1
general,1
zipper,1
capacity,1
freshness,1
condition,1
choice,1
pa,1
pearl,1
cab,1
lad,1
activity,1
plush,1
army,1
age,1
joint,1
bean,1
man-to-man,1
tune,1
jelly,1
doorknob,1
wrinkle,1
jus,1
confederate,1
janitor,1
canoe,1
chestnut,1
honor,1
harebell,1
bud,1
grease,1
crowd,1
cabin,1
sport,1
dash,1
spirit,1
stool,1
coupe,1
skirt,1
car,1
swope,1
pocket-knife,1
hunchback,1
part,1
citizen,1
sump'n,1
island,1
playground,1
stack,1
crepe,1
stuff,1
courage,1
jimmie,1
pipe,1
test,1
wash,1
proposition,1
searing,1
direction,1
collaboration,1
name,1
unforeseen,1
payin,1
vortex,1
battin,1
diver,1
profession,1
dearie,1
taste,1
responsibility,1
fencer,1
mix,1
attendance,1
lay,1
rhapsody,1
verna,1
diamond,1
receptacle,1
bond,1
excuse,1
surveyor,1
cold,1
outsider,1
swastika,1
country,1
plan,1
jug,1
ark,1
motion,1
litter,1
nook,1
recollection,1
sanctuary,1
semi-cylinder,1
bottom,1
crocuses,1
ladder,1
vanity,1
mold,1
lantern,1
nailhead,1
train,1
ma,1
motley,1
box,1
window,1
sally,1
vegetable,1
shelter-tent,1
listen,1
pool,1
parisienne,1
nourishment,1
tense,1
note,1
panic,1
lease,1
hurricane,1
flicker,1
column,1
practice,1
intent,1
date,1
wilt,1
phenomenon,1
reading,1
pickle,1
difficulty,1
hook,1
safety,1
dilettante,1
ditch,1
drab,1
lobby,1
pirate,1
tale,1
stop,1
joy,1
attitude,1
scene,1
cell,1
intelligence,1
hell,1
setter,1
flea,1
swim,1
two-room,1
foine,1
go,1
cove,1
listener,1
corpus,1
weather,1
southpaw,1
nutting,1
kerchief,1
axiom,1
stone,1
rule,1
candlestick,1
luxury,1
bit,1
author,1
riddle,1
maid,1
halpert,1
deficit,1
happiness,1
short,1
sight,1
quarter,1
clothes,1
relative,1
difference,1
it,1
carreen,1
louse,1
duval,1
sterling,1
fit,1
coral,1
stove,1
form,1
warmth,1
bread,1
bed,1
glass,1
barn,1
arrack,1
ease,1
plenty,1
telegraph,1
worm,1
shack,1
sailor,1
sidewalk,1
dock,1
delicti,1
foreman,1
speech,1
oflice,1
tin,1
expert,1
radish,1
solace,1
expression,1
batter,1
weepy,1
firm,1
defender,1
overtake,1
piano,1
danger,1
grace,1
nothin,1
prairie,1
master,1
frontier,1
whisper,1
present,1
roma,1
stepson,1
blackbird,1
uneasiness,1
pasture,1
lean-to,1
usefulness,1
packing-house,1
bandage,1
pal,1
clue,1
play,1
launch,1
empty,1
swell,1
tie,1
niche,1
desk,1
ayes,1
imperative,1
belongings,1
boot,1
doll,1
offend,1
salvation,1
bundle,1
line,1
kirk,1
verdict,1
check,1
huckleberries,1
winton,1
battery,1
fact,1
publisher,1
trumpery,1
curtain,1
couple,1
moonlight,1
chapter,1
genius,1
duck,1
medium,1
theory,1
repetition,1
occasion,1
sigh,1
squadron,1
cottage,1
warlock,1
pork,1
match,1
wallet,1
stout,1
beginning,1
landlady,1
land,1
chamber,1
dill,1
lodge,1
metaphor,1
run,1
crossing,1
sand,1
magazine,1
worthy,1
shoot,1
spot,1
canfield,1
rear,1
bolo,1
adoration,1
