lemma,count
"",13
thing,6
place,6
boat,6
possession,5
letter,4
government,3
pilot,3
part,3
country,3
advance,3
wisdom,3
--,3
horse,2
provision,2
people,2
baggage,2
sight,2
house,2
ship,2
passage,2
understanding,2
quarter,2
abutment,2
quicksand,2
tree,2
safe,2
report,2
good,2
guard,2
heaven,2
water,2
state,2
mould,2
play,2
yard,2
rein,2
divorce,2
language,2
dinner,2
influence,2
habit,1
reward,1
opinion,1
core,1
loan,1
world,1
cinder,1
stream,1
town,1
circulation,1
will,1
creek,1
ment,1
education,1
cast,1
petition,1
absence,1
command,1
living,1
bookseller,1
brook,1
nest,1
madame,1
love,1
occasion,1
monopoly,1
situation,1
trap,1
cinquefoil,1
enjoyment,1
praise,1
square,1
post,1
land,1
tar,1
argument,1
parcel,1
store,1
heat,1
leave,1
authority,1
scripture,1
burman,1
look,1
purpose,1
writ,1
scrape,1
work,1
benefit,1
sea,1
speech,1
face,1
intimation,1
dark,1
briton,1
series,1
age,1
fame,1
gloom,1
pass,1
assistance,1
castle,1
over,1
vessel,1
system,1
reputation,1
suet,1
liquor,1
horry,1
sort,1
college,1
opportunity,1
orpiment,1
ufe,1
shore,1
price,1
heathen,1
paper,1
barley,1
religion,1
bill,1
information,1
idea,1
rne,1
practice,1
call,1
home,1
shoal,1
rice,1
employment,1
pain,1
/z/,1
term,1
nettle,1
correspondent,1
shipping,1
unit,1
hunt,1
proof,1
circumstance,1
readiness,1
neck,1
action,1
empire,1
glen,1
cattle,1
difficulty,1
student,1
sea-shore,1
bog,1
minnow,1
lieut,1
advantage,1
whim,1
fort,1
money,1
family,1
seed,1
man,1
head,1
parson,1
rust,1
scrub,1
block,1
insight,1
line,1
habeas,1
wine,1
kitchen,1
strait,1
measure,1
depth,1
intelligence,1
edge,1
employ,1
girder,1
operation,1
fowl,1
reg,1
neighbourhood,1
corpus,1
branch,1
hand,1
story,1
plank,1
height,1
quire,1
pleasure,1
sheep,1
door,1
stone,1
nephew,1
president,1
hold,1
rattle,1
reason,1
injury,1
carriage,1
book,1
favour,1
heart,1
other,1
right,1
lime,1
court,1
gallery,1
garlick,1
vortex,1
river,1
arm,1
attack,1
preparation,1
