lemma,count
"",49
job,37
money,33
people,29
way,29
back,25
car,21
work,19
right,18
call,16
chance,15
trouble,14
--,14
point,14
house,13
lot,13
business,12
thing,12
line,11
hand,11
hack,11
idea,11
place,11
country,10
attention,10
picture,10
home,10
feel,10
message,10
hold,10
problem,10
ground,9
help,9
information,9
water,9
shot,9
support,9
credit,9
man,9
look,9
kind,9
control,9
kid,8
ball,8
start,8
foot,8
food,8
story,8
oil,8
plane,8
guy,8
part,8
letter,8
power,8
answer,8
office,8
child,8
friend,8
impression,7
tough,7
word,7
government,7
world,7
college,7
result,7
president,7
seat,7
fight,7
tax,7
heart,6
book,6
act,6
air,6
boat,6
mind,6
break,6
number,6
deal,6
check,6
area,6
industry,6
father,6
hat,6
life,6
share,6
vote,6
show,5
space,5
view,5
material,5
drink,5
hook,5
subsidy,5
school,5
director,5
hair,5
group,5
leg,5
room,5
university,5
sense,5
nerve,5
sleep,5
program,5
television,5
raise,5
game,5
aid,5
phone,5
wife,5
wind,5
report,5
hell,4
kick,4
court,4
stuff,4
ride,4
permit,4
politics,4
knee,4
train,4
mileage,4
satisfaction,4
stage,4
role,4
argument,4
administration,4
war,4
student,4
box,4
mail,4
doctor,4
public,4
coal,4
system,4
news,4
town,4
golf,4
fact,4
race,4
action,4
fee,4
city,4
center,4
party,4
service,4
license,4
live,4
worth,4
field,4
laugh,4
fat,4
film,4
divorce,4
top,4
floor,4
name,4
mother,4
boy,4
head,4
union,4
gun,4
effect,4
state,4
response,4
cut,4
peace,3
loan,3
sea,3
shape,3
recognition,3
appointment,3
sort,3
permission,3
general,3
dinner,3
accident,3
proposal,3
need,3
advice,3
road,3
audience,3
strike,3
pay,3
base,3
ass,3
relief,3
drug,3
title,3
sandwich,3
hole,3
hurt,3
dark,3
company,3
turn,3
treatment,3
benefit,3
republican,3
habit,3
reward,3
mark,3
exercise,3
face,3
contract,3
husband,3
say,3
salary,3
black,3
swing,3
legislation,3
fill,3
bill,3
plant,3
play,3
bomb,3
rest,3
situation,3
piece,3
bucket,3
wing,3
parent,3
key,3
think,3
increase,3
position,3
supply,3
agreement,3
security,3
newspaper,3
machine,3
crack,3
set,3
draft,3
star,3
return,3
fund,3
degree,3
door,3
question,3
taste,3
visa,3
smell,3
glimpse,3
bargain,3
french,3
member,3
education,3
nation,3
standard,3
cocktail,3
horse,3
course,3
couple,3
lunch,3
moment,3
woman,3
charge,3
publicity,3
price,3
firm,3
paper,3
move,3
front,3
building,3
moon,3
helicopter,2
meter,2
expertise,2
gold,2
eclipse,2
earth,2
body,2
stock,2
light,2
dog,2
abalone,2
skin,2
self,2
press,2
sales,2
mean,2
family,2
value,2
eye,2
fellow,2
talk,2
tip,2
mountain,2
lover,2
bottle,2
jump,2
bag,2
camera,2
junk,2
foreigner,2
hospital,2
comfort,2
class,2
german,2
rubble,2
economy,2
closed-circuit,2
health,2
jail,2
exemption,2
brain,2
bike,2
marks,2
cement,2
assignment,2
stern,2
table,2
motorcycle,2
ambulance,2
eyewitness,2
competition,2
antsy,2
conviction,2
taxi,2
injunction,2
caddy,2
production,2
street,2
lawyer,2
restriction,2
visit,2
script,2
opinion,2
land,2
actor,2
catalogue,2
red,2
solution,2
inflation,2
appearance,2
run,2
feature,2
meet,2
series,2
harbor,2
capital,2
addict,2
rod,2
gear,2
schooling,2
diamond,2
pride,2
whale,2
map,2
officer,2
excuse,2
murder,2
thought,2
cycle,2
airplane,2
assistant,2
enlightenment,2
ice,2
final,2
cowboy,2
navy,2
nut,2
review,2
writer,2
keeler,2
player,2
grade,2
insight,2
disease,2
death,2
tourist,2
bed,2
judge,2
escalator,2
storm,2
good,2
source,2
gond,2
personality,2
planning,2
nose,2
project,2
track,2
side,2
parole,2
copy,2
mess,2
minister,2
coupon,2
politician,2
nod,2
store,2
hurry,2
bottom,2
broker,2
cash,2
cigarette,2
negotiation,2
reform,2
desk,2
hit,2
investment,2
carter,2
abortion,2
hassle,2
complex,2
chair,2
other,2
wilderness,2
fly,2
gambling,2
form,2
care,2
//,2
probate,2
crash,2
arm,2
offer,2
list,2
fish,2
window,2
subway,2
corn,2
difference,2
freedom,2
wheel,2
mouth,2
dust,2
follow-up,2
uniform,2
ticket,2
advertising,2
violence,2
grip,2
hank,2
card,2
telegram,2
demand,2
congress,2
guard,2
knuckle,2
reputation,2
walk,2
handle,2
tape,2
finance,2
telephone,2
american,2
narcotic,2
housing,2
gift,2
boss,2
movie,2
headache,2
record,2
scent,2
