lemma,count
car,66
back,47
foot,44
thing,44
job,43
work,42
way,41
look,41
right,36
hand,34
trouble,31
lot,30
man,29
point,28
idea,27
bed,27
kid,26
money,25
chance,24
attention,23
shot,22
life,21
house,21
guy,20
door,20
school,19
place,19
book,19
call,19
people,18
number,17
head,17
phone,16
feel,16
problem,16
boy,15
kind,15
word,15
"",14
girl,14
room,14
home,14
sleep,14
stuff,14
message,13
eye,13
answer,12
business,12
hold,11
father,11
office,11
picture,11
couple,11
case,11
sense,11
help,11
grip,11
woman,11
dog,11
mother,11
hell,10
light,10
name,10
truck,10
gun,10
dad,10
ball,10
drink,10
story,10
outta,9
brother,9
friend,9
letter,9
hospital,9
degree,9
line,9
hurt,9
apartment,9
family,9
end,9
face,9
ground,9
hair,9
wood,8
paper,8
mind,8
water,8
class,8
ticket,8
control,8
choice,8
heart,8
information,8
piece,8
drug,8
town,8
deal,8
move,8
side,8
smile,7
ahold,7
plan,7
fat,7
love,7
seat,7
dinner,7
world,7
part,7
fight,7
key,7
table,7
shoe,6
mom,6
gas,6
city,6
shape,6
note,6
game,6
walk,6
college,6
nerve,6
interview,6
kick,6
birthday,6
sister,6
rest,6
machine,6
air,6
floor,6
impression,6
ass,6
train,6
body,6
food,6
front,6
middle,5
death,5
baby,5
run,5
--,5
share,5
party,5
country,5
nose,5
child,5
pain,5
ice,5
card,5
daddy,5
credit,5
wall,5
question,5
boyfriend,5
dark,5
chocolate,5
knee,5
treatment,5
check,5
person,5
blood,5
service,5
bit,5
parent,5
divorce,5
address,5
beat,5
joke,5
store,5
trip,5
earth,5
grade,5
present,5
vote,5
bill,5
tooth,5
disk,5
bar,5
leg,5
shit,5
fuck,4
gate,4
mama,4
cake,4
plane,4
greer,4
public,4
brain,4
traffic,4
date,4
son,4
circuit,4
bus,4
load,4
favorite,4
dress,4
horse,4
security,4
cause,4
emergency,4
theater,4
driver,4
better,4
wind,4
cigarette,4
truth,4
situation,4
lab,4
law,4
club,4
smell,4
mba,4
station,4
think,4
custody,4
crowd,4
shower,4
step,4
program,4
shirt,4
cut,4
firm,4
road,4
ship,4
mouth,4
mail,4
guard,4
bearing,4
root,4
warrant,4
folk,4
computer,4
silence,4
clue,4
conversation,4
hope,4
box,4
breakfast,4
breath,4
wife,4
bag,4
opportunity,4
pass,4
tear,4
thrill,4
lawyer,4
glass,4
discount,4
wheel,4
bike,4
doctor,4
reason,4
cell,4
church,4
arm,4
past,3
camera,3
passport,3
team,3
p.-a,3
fly,3
desk,3
wish,3
speed,3
fish,3
cup,3
boarding,3
page,3
glimpse,3
colonist,3
stepmother,3
restaurant,3
beer,3
chopper,3
royalty,3
surprise,3
coke,3
space,3
relais,3
hotel,3
break,3
counterfeit,3
bird,3
science,3
habit,3
war,3
moment,3
herd,3
drift,3
area,3
animal,3
diploma,3
clothes,3
fire,3
towel,3
medal,3
loan,3
vibe,3
buck,3
turn,3
license,3
cattle,3
start,3
talk,3
customer,3
granny,3
laugh,3
jail,3
sheet,3
purse,3
scene,3
sort,3
renaissance,3
lurch,3
position,3
tongue,3
thought,3
ink,3
experience,3
urge,3
level,3
touch,3
chill,3
thanks,3
subject,3
contact,3
shoot,3
reporter,3
set,3
curiosity,3
milk,3
drive,3
stage,3
street,3
rosato,3
id,3
cousin,3
rock,3
tub,3
result,3
lady,3
coffee,3
attitude,3
lead,3
channel,3
boss,3
score,3
relief,3
top,3
husband,3
force,3
fast,3
rain,3
accident,3
education,3
rope,3
tv,3
other,3
suit,3
deadline,3
group,3
argument,2
topic,2
steak,2
witness,2
brace,2
flame,2
cooler,2
purpose,2
beach,2
coast,2
can,2
image,2
telephone,2
english,2
buckboard,2
excuse,2
officer,2
rifle,2
glance,2
makeup,2
fact,2
signature,2
midwife,2
gold,2
bite,2
heah,2
wedding,2
sir,2
pill,2
government,2
package,2
freak,2
neighborhood,2
visitor,2
leverage,2
spot,2
dose,2
porch,2
schoolmarm,2
defense,2
motion,2
order,2
pod,2
answering,2
nail,2
necklace,2
cody,2
stretcher,2
highlight,2
target,2
employee,2
skin,2
return,2
plant,2
bottom,2
major,2
dance,2
explain,2
title,2
bench,2
league,2
uncle,2
gale,2
certificate,2
mikkelson,2
news,2
kee-lee,2
outa,2
company,2
stain,2
bullet,2
advice,2
dream,2
court,2
buddy,2
quality,2
satisfaction,2
window,2
plus,2
chest,2
flight,2
term,2
matty,2
expression,2
tape,2
might,2
babysitter,2
lock,2
explanation,2
jewel,2
notebook,2
junk,2
breeze,2
copy,2
trout,2
relative,2
shop,2
police,2
bartender,2
tattoo,2
coach,2
interest,2
coverage,2
bottle,2
detective,2
waistcoat,2
saddle,2
bug,2
mean,2
sheriff,2
career,2
wrong,2
rat,2
crime,2
saving,2
play,2
star,2
prank,2
feeling,2
row,2
funeral,2
prison,2
stop,2
knickers,2
net,2
belt,2
tip,2
indian,2
eternity,2
splinter,2
airport,2
nurse,2
dimenna,2
metal,2
final,2
library,2
knack,2
tingle,2
approval,2
coat,2
revenge,2
meal,2
cash,2
role,2
antsy,2
report,2
cop,2
human,2
match,2
cream,2
union,2
view,2
pack,2
nonsense,2
live,2
momentum,2
daughter,2
insurance,2
skirt,2
change,2
ride,2
gasoline,2
confession,2
twin,2
gringe,2
dirt,2
data,2
hammer,2
code,2
test,2
history,2
tone,2
suite,2
direction,2
sell,2
taste,2
source,2
supper,2
clerkship,2
g'ma,2
rise,2
project,2
inside,2
scholarship,2
clerk,2
testicle,2
cold,2
text,2
knife,2
mine,2
track,2
possibility,2
spaniel,2
honor,2
system,2
camp,2
battle,2
close,2
angel,2
appointment,2
lectro,2
toilet,2
liquor,2
surrogate,2
radio,2
mess,2
memorial,2
signal,2
static,2
alcohol,2
cancer,2
lease,2
engine,2
field,2
steam,2
bubble,2
value,2
split,2
president,2
bleeder,2
salter,2
antique,2
agent,2
spade,2
mosquito,2
shoulder,2
type,2
meeting,2
funding,2
rule,2
act,2
fall,2
grave,2
belief,2
disease,2
make,2
client,2
courage,2
memory,2
crick,2
hippie,2
ear,2
finger,2
director,2
tea,2
wash,2
bitch,2
backpack,2
jami,2
backseat,2
master,2
hug,2
frying,2
van,2
footprint,2
bank,2
gig,2
building,2
shield,2
stand,2
blade,2
puppy,2
spin,2
photo,2
offer,2
sunburn,2
voice,2
dessert,2
spread,2
plastic,2
turkey,2
ebay,2
lift,2
fog,2
gift,2
meat,2
sock,2
bedroom,2
nod,2
village,2
media,2
chair,2
tomlin,2
boner,2
serenity,2
yacht,1
sensation,1
thingie,1
fishnet,1
grant,1
burger,1
portobello,1
polish,1
ol,1
lochran,1
routine,1
motor,1
legion,1
zero,1
retirement,1
jacko,1
conveyer,1
torpedo,1
assignment,1
hard-knocks,1
superiority,1
ambulance,1
dingo,1
competition,1
choose,1
nerd,1
umbrella,1
dramatics,1
teary,1
privilege,1
apodaca,1
hunch,1
nickel,1
soapsuds,1
beating,1
conference,1
rating,1
trap,1
brody,1
scotch,1
thousandfold,1
write,1
revulsion,1
style,1
writing,1
post,1
mask,1
honey,1
quarantine,1
clematis,1
missing-kid,1
patty-cake,1
goat,1
candy,1
cool,1
polaroid,1
green,1
testy,1
general,1
dui,1
pulp,1
red,1
blot,1
condition,1
saw,1
fold,1
hood,1
owner,1
olive,1
boob,1
m-,1
wait,1
joker,1
assistance,1
underbuilt,1
stall,1
pump,1
bud,1
secret,1
super,1
crackin,1
rabies,1
trowel,1
cold-shipped,1
flavor,1
ability,1
department,1
packet,1
intercut,1
account,1
chick,1
itch,1
patch,1
swim,1
shovel,1
knowledge,1
rush,1
weather,1
receipt,1
amnesia,1
bouffant,1
crumb,1
stair,1
malaria,1
airplane,1
bohlen,1
blast,1
university,1
detergent,1
lag,1
continent,1
imagination,1
citizenship,1
slate,1
trax,1
sight,1
eyelash,1
kamas,1
cover,1
suck,1
stare,1
delay,1
latents,1
hearingpoems,1
invention,1
pile,1
three-point,1
committee,1
warmth,1
immunity,1
kidnapping,1
logo,1
fight-sweat,1
mirror,1
reunion,1
enterprise,1
cube,1
sofa,1
horticulture,1
whiteside,1
