lemma,count
"",12
service,10
resistance,10
child,7
inducement,5
chance,5
advantage,5
man,5
help,4
country,4
opportunity,4
advice,3
life,3
place,3
sacrifice,3
facility,3
choice,3
pound,3
difficulty,3
mission,3
woman,3
price,3
teacher,3
employment,3
air,3
altar,2
aid,2
wind,2
light,2
share,2
labor,2
training,2
book,2
leaf,2
worship,2
other,2
job,2
people,2
site,2
apology,2
sheet,2
entertainment,2
opposition,2
sale,2
prayer,2
form,2
gold,2
hope,2
appointment,2
--,2
chair,2
analogy,2
way,2
lord,2
position,2
public,2
development,2
bargain,2
play,2
piece,2
location,2
factory,2
mine,1
motion,1
departure,1
instance,1
reinstatement,1
meat,1
phrase,1
improvement,1
store,1
criticism,1
war,1
parent,1
consecration,1
barrier,1
purpose,1
manager,1
nut,1
bonus,1
consulship,1
chronicle,1
english,1
be,1
prince,1
substance,1
material,1
libation,1
devotion,1
success,1
temptation,1
historian,1
profit,1
mother-love,1
building,1
battle,1
body,1
surgery,1
maladjustment,1
variety,1
score,1
plug,1
protection,1
paper,1
guide,1
rent,1
self,1
press,1
tribute,1
refuge,1
prisoner,1
firm,1
violence,1
water,1
entrance,1
forward,1
dweller,1
set,1
poetry,1
stimulus,1
word,1
present,1
phenomenon,1
term,1
food,1
merchandise,1
glove,1
messenger,1
governor,1
surgeon,1
correspondent,1
heaven,1
relation,1
passion,1
custom-house,1
newly-organized,1
order,1
hook,1
king,1
mean,1
camera,1
partnership,1
rag,1
clue,1
son,1
abundance,1
impression,1
money,1
bend,1
concern,1
importance,1
force,1
experiment,1
pirate,1
haakon,1
suggestion,1
origin,1
ing,1
prospect,1
deficiency,1
head,1
boy,1
routine,1
pardon,1
refreshment,1
line,1
explanation,1
concealment,1
merchant,1
consideration,1
library,1
publisher,1
interest,1
couple,1
surface,1
course,1
market,1
dru,1
live,1
righteousness,1
theory,1
promise,1
delight,1
submission,1
youngster,1
hospitality,1
ganelon,1
fire,1
editing,1
post,1
grave,1
negro,1
good,1
effort,1
land,1
victim,1
friend,1
cash,1
panacea,1
crown,1
green,1
solution,1
french,1
persecution,1
general,1
feature,1
prize,1
nature-loving,1
peace,1
diarmid,1
work,1
log,1
condition,1
capital,1
escort,1
sum,1
fair,1
army,1
spot,1
human,1
wife,1
sense,1
assistance,1
slave,1
problem,1
destroyer,1
figure,1
sincerity,1
center,1
mockery,1
conception,1
achievement,1
expense,1
karna,1
theatre,1
mail,1
key,1
impulse,1
curiosity,1
oak,1
plank,1
premium,1
title,1
conjecture,1
guest,1
freedom,1
unity,1
care,1
dress,1
publication,1
hostage,1
cure,1
property,1
liberty,1
apron,1
highlander,1
music,1
nobleman,1
undertaking,1
farmer,1
cause,1
amelioration,1
customer,1
hand,1
value,1
example,1
loot,1
pleasure,1
jail,1
university,1
illustration,1
proclamation,1
fealty,1
name,1
right,1
seat,1
blouse,1
quarter,1
sight,1
dog,1
soldiery,1
presidency,1
hill,1
insult,1
hotel,1
robber,1
contrast,1
bail,1
reward,1
bestiality,1
opinion,1
mahometan,1
foot,1
hair,1
belief,1
world,1
distress,1
tambourine,1
incense,1
guarantee,1
diamond,1
guard,1
excuse,1
baptism,1
education,1
vassal,1
agency,1
make,1
amusement,1
robe,1
rebuke,1
incentive,1
betel,1
stand,1
situation,1
