lemma,count
public,10
opportunity,6
price,5
prize,5
suggestion,5
"",5
work,4
sale,4
government,4
choice,4
service,4
sum,3
share,3
food,3
explanation,3
security,3
reward,3
evidence,3
gold,3
fact,3
ship,3
outcome,2
help,2
friend,2
proof,2
plan,2
treasury,2
toast,2
marks,2
patient,2
position,2
corrective,2
home,2
woman,2
english,2
association,2
guidance,2
material,2
resistance,2
holder,2
kind,2
job,2
marriage,2
intellectual,2
newspaper,2
prospect,2
way,2
answer,2
word,2
cure,2
water,2
assistance,2
indian,2
american,2
brother,2
wage,2
instructorship,2
distraction,2
figure,2
cheer,2
car,2
people,2
world,2
advantage,2
congratulation,2
note,2
post,2
advice,2
member,2
reader,2
list,2
loan,2
case,2
god,2
ocean,1
alacrity,1
radio,1
voice,1
burden,1
plastic,1
democracy,1
encouragement,1
signal,1
foundation,1
patron,1
design,1
trade,1
minister,1
veteran,1
poetry,1
squeezings,1
proxy,1
frau,1
employment,1
correction,1
master,1
talk,1
lack,1
interpreter,1
museum,1
protestant,1
forum,1
return,1
shipping,1
amount,1
prosecution,1
accord,1
intoxicant,1
stock,1
shaft,1
entertainment,1
democrat,1
order,1
composer,1
goodwill,1
play,1
son,1
inducement,1
launch,1
health,1
flagrant,1
tie,1
examination,1
class,1
guess,1
concern,1
commentary,1
experiment,1
anumber,1
labor,1
discrimination,1
pretext,1
man,1
gambler,1
protest,1
contrary,1
joy,1
equipment,1
life,1
outline,1
resignation,1
group,1
pedestrian,1
masha,1
fever,1
tantalize,1
mineral,1
stern,1
trend,1
compliment,1
margin,1
wine,1
pope,1
chance,1
interest,1
competition,1
rest,1
tion,1
installment,1
parliament,1
estate,1
borrowing,1
congressmen,1
subsidy,1
calvin,1
restaurant,1
absence,1
nest,1
claim,1
ericsson,1
submission,1
promise,1
function,1
sigh,1
hospitality,1
metal,1
fall,1
bird,1
writer,1
fire,1
playgoer,1
good,1
charter,1
effort,1
pay,1
procedure,1
image,1
question,1
cash,1
seeker,1
solution,1
pulp,1
preserve,1
peace,1
intriguer,1
opposition,1
objection,1
liner,1
formula,1
olive,1
contract,1
husband,1
hope,1
mystic,1
army,1
activity,1
remnant,1
business,1
race,1
goddess,1
ally,1
sense,1
corporation,1
system,1
desideratum,1
lecture,1
ground,1
poem,1
expense,1
goodness,1
theatre,1
german,1
haven,1
culture,1
nay,1
club,1
moron,1
target,1
occupation,1
key,1
bodyguard,1
zenith,1
knickerbocker,1
reverend,1
need,1
subject,1
truth,1
operation,1
feel,1
prey,1
participation,1
dance,1
lip,1
branch,1
civilization,1
compensation,1
keynoter,1
talent,1
substitute,1
award,1
think,1
child,1
disarmament,1
employer,1
population,1
method,1
consciousness,1
moderate,1
point,1
book,1
resolution,1
heart,1
company,1
conscience,1
rank,1
sip,1
boon,1
enigma,1
dinner,1
attack,1
hunger,1
presidency,1
shelter,1
veg,1
clemenceau,1
palm-leaf,1
conflict,1
belief,1
patent,1
board,1
reduction,1
incense,1
basis,1
spring,1
person,1
obstacle,1
amusement,1
wind,1
command,1
turk,1
homily,1
love,1
bosom,1
law,1
breastplate,1
situation,1
gift,1
starvation,1
enthusiasm,1
prayer,1
war,1
criticism,1
parent,1
mouthful,1
manager,1
cut,1
bonus,1
challenge,1
sun,1
apology,1
degree,1
--,1
success,1
temptation,1
revelation,1
father,1
leader,1
admirer,1
pledge,1
cheek,1
wreath,1
body,1
subscription,1
contingent,1
anodynes,1
light,1
fix,1
statement,1
self,1
basket,1
study,1
attraction,1
adventure,1
farmer,1
cause,1
ministry,1
lure,1
office,1
mantua-makers,1
knowledge,1
remember,1
novelty,1
stoop,1
newsprint,1
hand,1
island,1
example,1
drink,1
rule,1
trimming,1
university,1
troop,1
citizenship,1
perception,1
adjective,1
manuscript,1
brain,1
remission,1
finance,1
name,1
right,1
upheaval,1
plane,1
greaves,1
spoon,1
runner,1
fruit,1
educa,1
preparation,1
contrast,1
hazard,1
mountain,1
swine,1
glimpse,1
joke,1
instruction,1
dairy-products,1
effect,1
emperor,1
request,1
bond,1
coalition,1
education,1
maximum,1
immunity,1
country,1
production,1
calling,1
scrap,1
income,1
sign,1
lesson,1
deck,1
scientist,1
biologist,1
investor,1
place,1
dispute,1
vacation,1
fight,1
permanence,1
end,1
diphtheria,1
opera,1
layman,1
