lemma,count
"",11
hand,8
service,6
cup,4
arm,4
drink,4
chair,3
amendment,2
deck,2
--,2
sacrifice,2
reward,2
entertainment,2
apartment,2
cigarette,2
red,2
mother,2
support,2
word,2
date,2
bottle,2
share,2
job,2
coffee,2
house,2
college,2
light,2
comment,2
pound,1
seat,1
plate,1
pulver,1
money,1
woman,1
pretext,1
insult,1
taste,1
suggestion,1
man,1
sister,1
leaf,1
contrast,1
head,1
powder,1
color,1
dough,1
blue,1
life,1
sterling,1
loan,1
ship,1
advance,1
line,1
cowperwood,1
bamboo,1
wine,1
school,1
$,1
stranger,1
interest,1
bag,1
excuse,1
treat,1
surprise,1
rival,1
kind,1
matter,1
privilege,1
statue,1
bashaw,1
ensign,1
help,1
love,1
cornfort,1
section,1
bed,1
glass,1
hospitality,1
pick,1
horse,1
singing,1
felicitation,1
grin,1
lordship,1
post,1
stout,1
sir,1
ransom,1
argument,1
mason,1
side,1
prayer,1
move,1
milk,1
sailor,1
place,1
packet,1
choice,1
apology,1
herd,1
escort,1
face,1
shoot,1
doctor,1
exhibition,1
francisca,1
tin,1
period,1
assurance,1
package,1
assistance,1
defense,1
system,1
solace,1
sort,1
view,1
ancestry,1
box,1
variety,1
plug,1
smoke,1
teacher,1
painter,1
munford,1
grace,1
widmayer,1
may-apple,1
engagement,1
peanut,1
commitment,1
fellow,1
doubt,1
treaty,1
snow,1
future,1
size,1
discussion,1
surgeon,1
return,1
proof,1
circumstance,1
leda,1
captain,1
front,1
bookser,1
stupidity,1
security,1
cattle,1
thanksgiving,1
gentleman,1
son-in-law,1
shade,1
mean,1
can,1
daughter,1
introduction,1
car,1
personality,1
twin,1
inconvenience,1
offering,1
rhythm,1
possibility,1
value,1
gain,1
wagon,1
kiss,1
evidence,1
tomb,1
girl,1
bit,1
half,1
thisaway,1
publication,1
let,1
hindrance,1
affront,1
other,1
orisons,1
count,1
display,1
