lemma,count
hand,35
death,30
end,26
motion,20
stop,19
power,14
requisition,13
question,11
man,10
mouth,8
place,8
"",8
head,6
army,6
contribution,6
play,6
operation,6
world,6
flight,6
train,5
sin,5
labor,5
nomination,5
foot,5
possession,5
sea,5
letter,4
execution,4
paper,4
neck,4
liberty,4
thing,4
money,4
stomach,4
form,4
character,4
other,4
war,4
sword,4
convention,3
effort,3
right,3
heart,3
instrumentality,3
horse,3
work,3
conflict,3
guidance,3
pocket,3
state,3
practice,3
article,3
ground,3
clothes,3
order,3
fund,3
piece,3
jeopardy,3
action,3
incorruption,2
necklace,2
boat,2
position,2
purpose,2
charge,2
period,2
use,2
influence,2
eye,2
association,2
capital,2
flesh,2
honor,2
footing,2
material,2
interest,2
direction,2
disguise,2
hat,2
rest,2
petticoat,2
circulation,2
stock,2
stroke,2
light,2
telescope,2
proceeding,2
control,2
immortality,2
jaques,2
bullet,2
coventry,2
prince,2
shoulder,2
bed,2
venter,2
substance,2
sacrifice,2
idea,2
slavery,2
performance,2
coat,2
experience,2
throne,2
plan,2
attitude,2
force,2
confidence,2
prison,2
government,2
rebellion,2
arm,2
property,2
hope,2
way,2
party,2
precept,2
country,2
strength,2
evil,2
office,2
argument,2
guard,2
conduct,1
check,1
rifle,1
march,1
--down,1
school,1
yoke,1
fact,1
doctrine,1
competition,1
rout,1
curtain,1
course,1
spur,1
kind,1
public,1
thought,1
bishop,1
subjection,1
nest,1
tiridates,1
pale,1
animal,1
plume,1
restriction,1
heresy,1
lawyer,1
stitch,1
number,1
art,1
people,1
necessity,1
good,1
side,1
banking,1
address,1
cart,1
sinner,1
pretension,1
appearance,1
portmanteau,1
breath,1
general,1
fortress,1
cup,1
bonfire,1
condition,1
saw,1
face,1
owner,1
bunch,1
resistance,1
lance,1
shoot,1
activity,1
thug,1
business,1
trust,1
downe,1
to--,1
sense,1
gilpin,1
wage,1
measure,1
manual,1
boiler,1
top,1
data,1
ear,1
college,1
widow,1
neckcloth,1
landmark,1
culture,1
deity,1
occupation,1
facility,1
key,1
isle,1
cap,1
corset,1
print,1
pit,1
portion,1
inquiry,1
blood,1
close,1
pot,1
offense,1
door,1
tub,1
shield,1
child,1
crucifixion,1
resource,1
population,1
method,1
demand,1
book,1
mill,1
tress,1
worship,1
organization,1
screw,1
brush,1
eclipse,1
grief,1
ornament,1
hotel,1
depredation,1
peg,1
habit,1
sacke,1
succession,1
infant,1
tongue,1
sovereignty,1
candidate,1
exploit,1
insurrection,1
spring,1
person,1
quality,1
bag,1
back,1
amusement,1
reach,1
wind,1
law,1
situation,1
mortal,1
stocking,1
horror,1
scripture,1
authority,1
mercy,1
sever,1
stick,1
english,1
wealth,1
sun,1
bracers,1
flower,1
project,1
bust,1
--,1
manner,1
profit,1
vessel,1
verse,1
flummery,1
body,1
loss,1
price,1
press,1
basket,1
rebel,1
religion,1
vat,1
repentance,1
saddle,1
humour,1
election,1
non-intercourse,1
minimum,1
pain,1
bar,1
reasoning,1
/z/,1
pillory,1
commencement,1
congress,1
formation,1
shape,1
proof,1
paces,1
amount,1
veto,1
defense,1
spirit,1
silk,1
cause,1
badge,1
customer,1
amelioration,1
part,1
chair,1
inconvenience,1
pen,1
constitution,1
meaning,1
gallop,1
continuance,1
christian,1
arrestation,1
stone,1
finger,1
livery,1
lazarus,1
aristocracy,1
inconsistency,1
procure,1
warrior,1
tree,1
suffering,1
name,1
insubordination,1
constraint,1
keep,1
quarter,1
difference,1
blossom,1
city,1
leaf,1
industry,1
cover,1
opinion,1
frock,1
louse,1
stag,1
loan,1
wig,1
instruction,1
act,1
emperor,1
ash,1
officer,1
flour,1
spectacle,1
level,1
agency,1
mind,1
glass,1
principal,1
enterprise,1
income,1
crockery,1
sign,1
offender,1
leg,1
despotism,1
bank,1
speech,1
exercise,1
case,1
dial,1
volume,1
hostility,1
presence,1
sort,1
box,1
erection,1
shore,1
exertion,1
protection,1
mourning,1
severance,1
pool,1
prisoner,1
water,1
respite,1
individual,1
note,1
enmity,1
danger,1
iniquity,1
outrage,1
master,1
present,1
food,1
manufacturing,1
pole,1
hook,1
malcontent,1
safety,1
flame,1
foreigner,1
collection,1
sympathy,1
tribe,1
principle,1
spoiler,1
display,1
mend,1
machinery,1
consumption,1
impression,1
regulation,1
slander,1
commission,1
womanhood,1
castor,1
whole,1
cotton,1
average,1
life,1
routine,1
friendship,1
retreat,1
belt,1
calumny,1
