lemma,count
hand,87
"",30
hat,29
arm,26
head,25
pocket,19
foot,15
thing,15
question,13
paper,12
man,11
back,10
name,10
word,9
finger,9
coat,9
money,9
bed,9
horse,8
lip,8
idea,8
bonnet,8
room,7
mouth,7
job,7
guard,7
way,7
face,7
neck,7
air,6
handkerchief,6
bag,6
fire,6
eye,6
light,6
order,6
letter,6
right,5
ear,5
boot,5
case,5
table,5
whip,5
flower,4
basket,4
line,4
stop,4
grave,4
book,4
charge,4
spectacle,4
habit,4
shoulder,4
point,4
nose,4
touch,4
wrong,4
ease,4
hair,4
matter,3
again,3
ground,3
power,3
shawl,3
key,3
chair,3
saddle,3
water,3
carriage,3
shirt,3
sin,3
plate,3
shoe,3
seat,3
side,3
stockin,3
heart,3
execution,3
mind,3
flight,3
umbrella,3
door,3
bottle,3
brandy,3
fife,3
piece,3
life,3
test,3
envelope,3
faith,3
knee,3
bun,3
marriage,3
settler,2
house,2
papa,2
garment,2
sword,2
place,2
photograph,2
sort,2
action,2
leaf,2
period,2
gretchen,2
sister,2
form,2
trial,2
practice,2
world,2
purse,2
baby,2
pair,2
tray,2
brass,2
town,2
boy,2
vest-pocket,2
cat,2
top,2
trail,2
brow,2
robe,2
box,2
love,2
bosom,2
block,2
post-office,2
bemis,2
spur,2
breast,2
jail,2
present,2
leave,2
mother,2
ride,2
barrier,2
good,2
scent,2
position,2
elbow,2
confidence,2
green,2
fact,2
end,2
condition,2
safe,2
cambric,2
hood,2
church,2
thumb,2
iron,2
mood,2
doctor,2
crutch,2
fortune,2
verse,2
cheek,2
misery,2
occasion,2
expense,2
spirit,2
note,2
collection,2
pistol,2
scheme,2
car,2
sign,2
trouble,2
think,2
teaser,2
gun,2
girl,2
suit,2
dress,2
fellow,2
humor,2
cork,2
quarter,2
confusion,2
maid,2
gown,2
mine,2
motion,2
wrap,2
cap,1
dear,1
truth,1
operation,1
feel,1
print,1
childhood,1
rise,1
macaroon,1
corn,1
nature,1
syrup,1
span,1
inquiry,1
wagon,1
blanket,1
tub,1
carpet,1
legging,1
middle,1
freedom,1
embroidery,1
apricot,1
care,1
child,1
stomach,1
collar,1
trunk,1
foot-ball,1
longfellow,1
mill,1
company,1
costume,1
disgust,1
width,1
provision,1
court,1
screw,1
road,1
rubber,1
whaleboat,1
forearm,1
hotel,1
society,1
strain,1
uniform,1
candidate,1
board,1
card,1
basis,1
stranger,1
credit,1
obstacle,1
accordin,1
notion,1
garrison,1
help,1
mortal,1
queer,1
lighter,1
strength,1
revolver,1
evil,1
meat,1
mantle,1
tar,1
authority,1
oar,1
occupant,1
shelf,1
risk,1
english,1
craft,1
mettle,1
emotion,1
decision,1
broom,1
temptation,1
breach,1
object,1
steamer,1
pant,1
balance,1
advertisement,1
subscription,1
flirt,1
police,1
tendril,1
price,1
duster,1
fork,1
cross,1
distance,1
fairyland,1
tea-kettle,1
savings-bank,1
shell,1
slipper,1
rack,1
get,1
charcoal,1
dignity,1
blame,1
wall,1
identity,1
fable,1
experience,1
career,1
suspense,1
pain,1
bar,1
keg,1
traverse,1
rebellion,1
congress,1
glove,1
cross-examination,1
discussion,1
shape,1
curl,1
buffalo,1
proof,1
weight,1
penitentiary,1
stage,1
capitola,1
shot,1
gentleman,1
frog,1
supply,1
camera,1
meetin,1
veil,1
pancake,1
detective,1
bounty,1
moan,1
prison,1
principle,1
muzzle,1
thread,1
treasure,1
jeopardy,1
bench,1
load,1
family,1
plain,1
corner,1
lover,1
throat,1
conquest,1
draping,1
odds,1
polish,1
sabe,1
lonesomeness,1
waste,1
ship,1
bequest,1
tool,1
arnica,1
margin,1
majesty,1
pillow,1
applause,1
ward,1
ardelia,1
sombrero,1
headband,1
market,1
austrian,1
nonsense,1
handcuff,1
axle,1
animal,1
whiteness,1
people,1
style,1
honey,1
spinster,1
drop,1
brickbats,1
candy,1
silver,1
mistake,1
tail,1
red,1
diary,1
work,1
disguise,1
pocketbook,1
report,1
fresco,1
dark,1
plaster,1
meat-ax,1
pa,1
armhole,1
business,1
turn,1
confederate,1
breast-pocket,1
pump,1
bud,1
grease,1
palm,1
udt,1
handle,1
poem,1
remembrance,1
egg,1
booth,1
property,1
poker,1
warning,1
conundrum,1
beller,1
silk,1
bath,1
funnel,1
earth,1
justice,1
part,1
valise,1
overcoat,1
value,1
courage,1
favorite,1
dwelling,1
boat,1
state,1
frown,1
vigor,1
witness,1
poorhouse,1
actor,1
armour,1
disgrace,1
excuse,1
wad,1
wrapping,1
primrose,1
parting,1
out-of-door,1
track,1
lesson,1
wink,1
damp,1
topping,1
patient,1
badge,1
flannel,1
pen,1
pony,1
sky,1
split,1
antic,1
spec,1
bit,1
snowshoe,1
lady,1
flute,1
favour,1
sich,1
sponge,1
apparel,1
clothes,1
forefinger,1
gentility,1
passenger,1
find,1
joke,1
alphonso,1
circulation,1
will,1
speculator,1
flour,1
unison,1
smoking,1
bread,1
christy,1
cough,1
cargo,1
deck,1
penitent,1
oration,1
marble,1
leg,1
there,1
perplexity,1
frosting,1
equation,1
stem,1
teh,1
gold,1
bath-tub,1
dressing-gown,1
communication,1
ma,1
sleeve,1
toilet,1
train,1
silence,1
clingin,1
guitar,1
long,1
tot,1
accommodation,1
sovereign,1
shingle,1
plea,1
plug,1
window,1
spin,1
protection,1
sheet,1
stairs,1
orange-trees,1
hero,1
blush,1
gondola,1
gulf,1
might,1
bill,1
lavender,1
tapestry,1
retie,1
knife,1
missive,1
wisdom,1
behaviour,1
engineer,1
poetry,1
background,1
home,1
planter,1
gyp,1
steam,1
article,1
butter,1
picnic,1
mischief,1
pew,1
construction,1
commissioner,1
messenger,1
horseback,1
return,1
eyebrow,1
pickle,1
stock,1
wickedness,1
difficulty,1
hook,1
initial,1
flutter,1
health,1
drawer,1
pike,1
agent,1
desk,1
force,1
chalk,1
commentary,1
cologne,1
glim,1
pocket-book,1
cotton,1
doll,1
knapsack,1
steed,1
belt,1
biscuit,1
hostelry,1
correspondence,1
hip-pocket,1
letter-box,1
fraction,1
libretto,1
wine,1
speck,1
rest,1
genius,1
sofa-bed,1
forehead,1
flask,1
fur,1
disturbance,1
bolster,1
claim,1
pale,1
theory,1
waist,1
promise,1
sage,1
nightcap,1
fall,1
breech,1
pork,1
match,1
government,1
appearance,1
nightgown,1
look,1
preserve,1
cup,1
hall,1
cloak,1
husband,1
shoot,1
trinket,1
satan,1
answer,1
novel,1
poison,1
defense,1
conclusion,1
grocery,1
nightclothes,1
ice,1
rug,1
crape,1
energy,1
resort,1
just,1
tramp,1
spout,1
tea,1
limpers,1
t'ing,1
observation,1
down,1
barracks,1
rose,1
