lemma,count
hand,16
place,14
back,13
way,12
pressure,12
money,11
people,9
foot,9
risk,9
test,8
right,8
work,8
number,7
fire,7
bag,7
thing,7
mouth,6
line,6
water,6
face,6
car,6
lot,6
question,5
asset,5
baby,5
ear,5
storage,5
end,5
pocket,5
file,5
business,5
weight,5
uniform,4
record,4
idea,4
center,4
web,4
album,4
position,4
head,4
game,4
name,4
child,4
disadvantage,4
stock,4
--,4
hold,4
program,4
bed,4
show,4
parent,4
stuff,3
reach,3
top,3
school,3
radio,3
box,3
bolt,3
oven,3
life,3
spin,3
energy,3
brake,3
world,3
front,3
tube,3
list,3
floor,3
live,3
problem,3
word,3
cd,3
mind,3
camera,3
tree,3
piece,3
ground,3
stick,3
fleet,3
wood,3
reverse,3
think,3
perspective,3
jacket,3
book,3
leg,3
spotlight,3
display,3
"",3
arm,3
stress,3
family,3
black,2
bottle,2
bar,2
situation,2
bunch,2
resistance,2
government,2
french,2
pearl,2
series,2
muscle,2
human,2
text,2
jelly,2
heart,2
jail,2
focus,2
bullet,2
islam,2
faith,2
haunt,2
court,2
exhibition,2
view,2
danger,2
stroller,2
wringer,2
action,2
rock,2
spider,2
map,2
road,2
fight,2
kid,2
architecture,2
plate,2
dog,2
use,2
finger,2
office,2
girl,2
boat,2
shirt,2
bun,2
can,2
hair,2
gas,2
postcard,2
infant,2
club,2
flower,2
tongue,2
bacterium,2
media,2
color,2
longo,2
pair,2
recycle,2
level,2
lockbox,2
marriage,2
player,2
motion,2
waste,2
object,2
scientist,2
bottom,2
juice,2
production,2
member,2
performance,2
song,2
body,2
spring,2
wire,2
surface,2
price,2
pan,2
lip,2
kind,2
page,2
tape,2
note,2
bill,2
premium,2
2-cup,2
strip,2
outfit,2
ease,2
distance,2
act,2
basket,2
manufacturer,2
senior,2
restriction,2
garden,2
eraser,2
hazelnut,2
nipple,2
religion,2
short,2
bird,2
shoulder,2
plastic,2
force,2
air,2
information,2
firm,2
burner,2
middle,2
stout,2
tv,2
consumer,2
move,2
slide,2
public,2
upgrade,2
cash,2
green,2
bush,2
pattern,2
flat,2
damper,2
call,2
team,2
person,1
hockey,1
stat,1
obstacle,1
matter,1
tuleh,1
tent,1
bobcat,1
option,1
wind,1
economy,1
cage,1
sex,1
help,1
hide,1
artisan,1
stand,1
section,1
one,1
kibosh,1
chemical,1
primary,1
square,1
stocking,1
den,1
factory,1
smock,1
root,1
implement,1
phrase,1
azera,1
parallel,1
administration,1
driveway,1
criticism,1
war,1
research,1
harm,1
barrier,1
leash,1
proliferation,1
manager,1
insurgency,1
nut,1
it--,1
decimal,1
english,1
wealth,1
eyepiece,1
notch,1
sea,1
ranger,1
craft,1
gulfstream,1
dot,1
superstar,1
brig,1
disecise,1
midst,1
doctor,1
dishwasher,1
profit,1
father,1
gloss,1
cheek,1
pant,1
newness,1
battle,1
porch,1
context,1
mattress,1
tipper,1
light,1
quest,1
paper,1
older-driver,1
participant,1
beer,1
bid,1
self,1
cross,1
scheme,1
interim,1
power,1
diet,1
study,1
blame,1
weed,1
facedown,1
sainthood,1
multimedia,1
saddle,1
chopper,1
bind,1
human-right,1
astronomer,1
pain,1
hole,1
annoyance,1
talk,1
first-aid,1
monitor,1
balloon,1
layaway,1
house,1
it-look,1
internet,1
glove,1
site,1
merchandise,1
walk,1
saving,1
shipping,1
proof,1
sketch,1
paces,1
amount,1
jewel,1
jump,1
pole,1
telescope,1
tackle,1
hardware,1
order,1
king,1
drywall,1
scorer,1
platform,1
student,1
swing,1
cemetery,1
anonymity,1
deposit,1
israeli,1
comfort,1
plant,1
chip,1
fat,1
class,1
stud,1
load,1
budget,1
rearview,1
lap,1
tip,1
thrilla,1
job,1
cb,1
senate,1
runner-up,1
armor,1
glaze,1
grandmother,1
routine,1
damage,1
pardon,1
frame,1
zero,1
tool,1
pillow,1
trigger,1
buller,1
shed,1
traction,1
space,1
interest,1
9-,1
mouse-in,1
course,1
umbrella,1
treat,1
pack,1
statue,1
gear,1
fizz,1
grueling,1
robot,1
pace,1
dumper,1
conference,1
lampshade,1
youngster,1
scale,1
rating,1
smile,1
arm-around,1
neutralize,1
spandex,1
tax-driven,1
creativity,1
side,1
drop,1
touch,1
buck,1
past,1
friend,1
sample,1
computer,1
product,1
red,1
relationship,1
tee,1
pocketbook,1
condition,1
acoustic,1
eyelid,1
feedback,1
report,1
trainer,1
bowl,1
//,1
clause,1
bean,1
facade,1
hoe,1
sense,1
waitlists,1
portrait,1
palm,1
cream,1
trough,1
astronaut,1
super,1
figure,1
egg,1
college,1
trowel,1
expense,1
financial-services,1
container,1
property,1
music,1
editorial,1
daughter,1
bedding,1
weapon,1
silk,1
lilt,1
wheelchair,1
part,1
fhrer,1
tank,1
nominee,1
value,1
story,1
island,1
charge,1
christian,1
favorite,1
big-screen,1
fridge,1
therapy,1
party,1
history,1
raincoat,1
pajama,1
shortcoming,1
riddler,1
bike,1
state,1
constraint,1
x-ray,1
poolside,1
bedroom,1
woman,1
cuff,1
tester,1
responsibility,1
blossom,1
city,1
god,1
activism,1
backyard,1
hazard,1
cockpit,1
heart-pine,1
obstetrics,1
diamond,1
plan,1
vote,1
income,1
track,1
platter,1
store,1
petticoat,1
nader,1
honeymooner,1
sort,1
physician,1
presence,1
window,1
sweatshirt,1
aftershave,1
wheel,1
earnings,1
sleeping,1
snack,1
8-,1
youth,1
deal,1
struggle,1
alert,1
lavender,1
design,1
havana,1
poetry,1
practice,1
support,1
twist,1
article,1
district,1
bandanna,1
extinguisher,1
release,1
collections-including,1
integrity,1
kit,1
safety,1
skier,1
white,1
service,1
son,1
graph,1
driver,1
megan,1
feeling,1
ylang-ylang,1
rejection,1
joy,1
funeral,1
giant,1
boucle,1
wine,1
holy-roller,1
couple,1
cluster,1
onus,1
toy,1
coat,1
occasion,1
23-story,1
hat,1
orbit,1
gang,1
fascia,1
appearance,1
feature,1
capital,1
husband,1
affiliation,1
whale,1
answer,1
novel,1
forest,1
lid,1
grocery,1
ice,1
here-tiles,1
ego,1
dye,1
applicant,1
freezer,1
pedestal,1
admission,1
bikini,1
vise,1
neighbor,1
bauer,1
lie,1
activist,1
trna,1
agenda,1
politician,1
camp,1
rope,1
cigarette,1
mobster,1
dress,1
assembly,1
investment,1
resource,1
step,1
strike,1
photo,1
point,1
ski,1
fundraiser,1
organ,1
other,1
shuttle,1
rank,1
detail,1
adviser,1
management,1
limit,1
decal,1
spit,1
belly,1
hell,1
account,1
accessory,1
swim,1
plaything,1
high-protein,1
farrakhan,1
welcome,1
pursuit,1
acid,1
toe,1
adoption,1
footwear,1
fist,1
loot,1
urine,1
stone,1
drink,1
lag,1
reflection,1
genealogy,1
scope,1
