lemma,count
letter,33
intelligence,16
hand,13
father,10
kindness,10
gift,8
answer,8
instruction,8
man,7
thanks,7
information,7
honour,7
blow,7
education,7
money,6
spirit,5
blessing,5
"",5
cordiality,4
impression,4
ball,4
return,4
civility,4
judgment,4
friend,4
favour,4
child,4
family,4
bosom,4
order,4
communication,4
present,4
husband,4
doom,4
delight,4
command,4
succour,3
name,3
governor,3
lesson,3
breast,3
reward,3
assistance,3
life,3
friendship,3
person,3
pleasure,3
wind,3
chief,3
check,3
death,3
compliment,3
evidence,3
sentence,3
news,3
address,3
aunt,2
opinion,2
adieu,2
mortal,2
proposal,2
lover,2
supply,2
messenger,2
caution,2
notice,2
heart,2
obeisance,2
rest,2
reflection,2
lash,2
encouragement,2
society,2
visit,2
sense,2
proof,2
interest,2
nature,2
mercy,2
public,2
caress,2
arm,2
guest,2
note,2
reply,2
indignation,2
discharge,2
doubt,2
kiss,2
service,2
praise,2
wampum,2
son,2
office,2
benediction,2
air,2
force,2
respect,2
tenderness,2
freedom,2
care,2
religion,2
courtesy,2
part,2
intimation,2
report,2
point,2
line,2
embrace,2
advantage,2
recompense,2
protection,2
salutation,2
mark,2
gratitude,2
soul,2
destination,1
diploma,1
newspaper,1
savage,1
flame,1
safety,1
penalty,1
dirk,1
noise,1
pound,1
abundance,1
stroke,1
alms,1
communicate,1
commission,1
permission,1
token,1
joy,1
insurgent,1
salvation,1
magnet,1
greeting,1
descendant,1
fugitive,1
cheer,1
refreshment,1
conduct,1
notification,1
composition,1
glance,1
tendance,1
shout,1
ordnance,1
debt,1
signature,1
establishment,1
glow,1
promise,1
obscurity,1
lenox,1
censure,1
mariner,1
atrocity,1
language,1
sigh,1
fall,1
majority,1
sir,1
emolument,1
basin,1
french,1
look,1
government,1
fortress,1
benefit,1
cloak,1
sum,1
monastery,1
reinforcement,1
memory,1
expectation,1
servant,1
castle,1
circle,1
stanhope,1
long-expected,1
honor,1
pulpit,1
canoe,1
college,1
disdain,1
mail,1
smell,1
advancement,1
measure,1
admission,1
attention,1
storm,1
sepulture,1
subject,1
impulse,1
truth,1
moment,1
mortification,1
jaw,1
approbation,1
curiosity,1
dwell,1
garrulity,1
abyss,1
harken,1
legacy,1
blood,1
offense,1
camp,1
sorrow,1
talent,1
wave,1
hurt,1
think,1
interval,1
roof,1
scattering,1
grandfather,1
orphan,1
composure,1
sin,1
testimony,1
slip,1
sword,1
creator,1
rank,1
reverence,1
farewell,1
clearance,1
brother,1
grief,1
hotel,1
satisfaction,1
sister,1
converse,1
infant,1
thump,1
bow,1
bride,1
demonstration,1
nation,1
insurrection,1
declaration,1
fear,1
phips,1
accomplishment,1
salary,1
bloodshed,1
sharpness,1
excellency,1
stab,1
sex,1
love,1
enemy,1
law,1
opening,1
section,1
message,1
strength,1
horror,1
enthusiasm,1
possession,1
war,1
occupant,1
harm,1
female,1
misrepresentation,1
lieutenant-colonel,1
augmentation,1
cut,1
allowance,1
use,1
english,1
sea,1
degree,1
tribulation,1
royalty,1
anxiety,1
reality,1
manner,1
balsam,1
package,1
usage,1
marriage,1
object,1
venom,1
livre,1
tear,1
wound,1
paper,1
statement,1
tribute,1
major,1
confirmation,1
accession,1
sit,1
attraction,1
call,1
hearty,1
pain,1
faint,1
fellow,1
murmur,1
zest,1
affection,1
piece,1
disclosure,1
subscriber,1
payment,1
neck,1
gallantry,1
thing,1
burgomaster,1
obsequy,1
tiding,1
hatred,1
shot,1
son-in-law,1
refusal,1
informer,1
gentleman,1
relief,1
student,1
toleration,1
answering,1
application,1
fee,1
ruling,1
bounty,1
sympathy,1
impetus,1
tribe,1
treasure,1
admonition,1
clothing,1
seed,1
importance,1
labor,1
groin,1
partner,1
standard,1
despatch,1
throng,1
grant,1
fracture,1
forgiveness,1
pardon,1
co-religionist,1
prophet,1
patronage,1
long-loved,1
reader,1
applause,1
fate,1
musketry,1
market,1
surprise,1
pride,1
absence,1
thought,1
bishop,1
prelude,1
number,1
smile,1
confession,1
style,1
post,1
good,1
massacre,1
banditti,1
confidence,1
prize,1
quarterly,1
niece,1
consternation,1
fold,1
harmony,1
quo,1
hope,1
dark,1
age,1
trust,1
consultation,1
assurance,1
mother,1
property,1
attempt,1
warning,1
carwin,1
account,1
bound,1
quid,1
orb,1
car,1
justice,1
clemency,1
grasp,1
welcome,1
receipt,1
meaning,1
bliss,1
charge,1
superior,1
handmaiden,1
miniature,1
ring,1
blast,1
nephew,1
university,1
proposition,1
calamity,1
luxury,1
e'en,1
direction,1
maid,1
brain,1
state,1
choler,1
reproach,1
comer,1
ad,1
woman,1
donation,1
insult,1
narragansett,1
god,1
gallies,1
politeness,1
frankness,1
vow,1
foeman,1
appellation,1
visitor,1
beggar,1
copy,1
hail,1
rumour,1
form,1
hear,1
calm,1
change,1
committee,1
parting,1
country,1
ancestor,1
mine,1
companion,1
motion,1
departure,1
pro,1
indulgence,1
pomp,1
tide,1
temple,1
prince,1
angel,1
penance,1
assailant,1
gold,1
science,1
appointment,1
perfidy,1
train,1
expression,1
liquor,1
box,1
nun,1
disaster,1
shore,1
madam,1
jemmy,1
voice,1
hero,1
hebrew,1
prisoner,1
blush,1
congratulation,1
countess,1
danger,1
animosity,1
wisdom,1
minister,1
poetry,1
influence,1
article,1
master,1
wood,1
visiters,1
provocation,1
kinsman,1
melancholy,1
surgeon,1
casket,1
magistrate,1
malice,1
mynheer,1
document,1
sale,1
content,1
acquiescence,1
