lemma,count
letter,24
"",19
instruction,16
--,12
attention,11
part,11
degree,10
truth,10
friend,9
supply,9
share,9
blood,9
education,9
information,9
hand,9
money,9
impression,8
notice,8
product,8
king,8
work,7
power,7
doctrine,7
wind,7
spirit,6
answer,6
return,6
dividend,6
state,5
principle,5
name,5
order,5
support,5
public,5
sanction,5
death,5
heaven,5
kind,5
/z/,5
life,5
favor,5
approbation,5
impulse,5
form,5
food,5
command,5
arrear,4
quarter,4
light,4
general,4
pension,4
visit,4
wage,4
mortal,4
admonition,4
portion,4
kindness,4
man,4
promise,4
vote,4
invitation,4
glory,4
protection,4
intelligence,4
prophet,4
compensation,4
member,4
proof,4
thing,4
reward,4
salary,3
party,3
congress,3
sin,3
body,3
revelation,3
hospitality,3
idea,3
evidence,3
father,3
assistance,3
captain,3
vein,3
nitrogen,3
tree,3
committee,3
candidate,3
homage,3
nourishment,3
benefit,3
fact,3
brother,3
deference,3
advice,3
interest,3
ambassador,3
person,3
manure,3
gold,3
christianity,3
crown,3
election,3
bible,3
material,3
fugitive,3
mind,3
appointment,3
testimony,3
law,3
doctor,3
joy,3
lesson,3
satisfaction,2
lip,2
variety,2
communication,2
office,2
guest,2
accession,2
confirmation,2
repentance,2
recompense,2
county,2
character,2
master,2
seal,2
governor,2
freedom,2
amount,2
tiding,2
meed,2
shot,2
tion,2
nomination,2
happiness,2
application,2
treaty,2
advantage,2
heart,2
messenger,2
punishment,2
gratification,2
other,2
consequence,2
grant,2
country,2
atmosphere,2
saviour,2
pay,2
passenger,2
illustration,2
arm,2
object,2
purchase,2
government,2
knowledge,2
animal,2
number,2
peace,2
fire,2
salt,2
encouragement,2
charter,2
act,2
examination,2
confidence,2
stroke,2
matter,2
copy,2
chain,2
honor,2
thanks,2
will,2
air,2
fragrance,2
clay,2
place,2
pupil,2
sight,2
commission,2
enthusiasm,2
heat,2
acclamation,2
proposal,2
qualification,2
token,2
head,2
subject,2
meaning,2
soil,2
charge,2
pleasure,2
proposition,2
injury,2
manner,2
sentence,2
gospel,2
worship,1
romance,1
sword,1
faith,1
vacancy,1
provision,1
motive,1
court,1
allotment,1
show,1
liberty,1
raja,1
uproar,1
cognomen,1
powder,1
succession,1
nursery,1
affability,1
temper,1
bride,1
nation,1
afier,1
stream,1
fear,1
absolution,1
accomplishment,1
duke,1
license,1
certificate,1
germ,1
gullet,1
credit,1
vassal,1
monarch,1
pubhc,1
help,1
love,1
bosom,1
message,1
strength,1
ravens,1
institution,1
argument,1
authority,1
criticism,1
war,1
map,1
scent,1
sun,1
cow,1
success,1
passers-by,1
profit,1
vessel,1
sound,1
pledge,1
behalf,1
steamer,1
squirrel,1
wound,1
liver,1
statement,1
paper,1
skin,1
highway,1
modification,1
dignity,1
study,1
brightness,1
process,1
cardinal,1
call,1
aid,1
minimum,1
