lemma,count
"",17
hand,13
money,12
letter,11
support,8
blow,8
government,7
attention,7
assistance,6
instruction,6
order,6
public,6
word,6
favor,6
consideration,6
note,5
authority,5
approval,5
interest,5
honor,5
assurance,5
notion,5
invitation,5
information,5
law,5
state,5
gift,5
aid,5
communication,4
principle,4
court,4
commission,4
friend,4
general,4
assent,4
intelligence,4
wage,4
salary,4
justice,4
shout,3
construction,3
payment,3
number,3
baptism,3
peace,3
country,3
party,3
//,3
announcement,3
advantage,3
deposit,3
opinion,3
matter,3
grant,3
power,3
ambassador,3
english,3
visit,3
encouragement,3
education,3
life,3
demonstration,3
training,3
appointment,3
food,3
supply,3
commendation,3
house,3
response,3
truth,3
spirit,3
answer,3
visitor,3
accession,3
person,3
benediction,3
communion,3
injury,3
touch,3
medal,3
sympathy,3
share,3
part,3
modification,2
shock,2
degree,2
knowledge,2
compensation,2
check,2
school,2
doctrine,2
official,2
evidence,2
bond,2
parliament,2
character,2
governor,2
humanity,2
amount,2
reply,2
present,2
shot,2
bearer,2
preparation,2
notice,2
faith,2
church,2
pay,2
land,2
tax,2
case,2
lieutenant,2
account,2
sovereign,2
bribe,2
suggestion,2
protection,2
purchaser,2
reward,2
patent,2
peasant,2
world,2
nation,2
prisoner,2
gas,2
plan,2
$,2
pope,2
advice,2
applause,2
course,2
credit,2
subsidy,2
nomination,2
rebuke,2
love,2
stand,2
lady,2
strength,2
complaint,2
deputation,2
culture,2
fire,2
enthusiasm,2
respect,2
kindness,2
province,2
war,2
sanction,2
ion,2
association,2
intimation,2
lesson,2
age,2
average,2
wife,2
joy,2
axiom,2
way,2
gratitude,2
source,2
due,2
subject,2
moment,2
body,2
light,2
suitor,2
statement,2
need,1
caution,1
power-loom,1
ethics,1
impulse,1
peer,1
lip,1
nature,1
portion,1
premium,1
title,1
civilization,1
guest,1
pittance,1
trip,1
legacy,1
camp,1
ration,1
freedom,1
think,1
care,1
child,1
myriad,1
roof,1
reason,1
fail,1
representation,1
testimony,1
resolution,1
tenderness,1
other,1
ionship,1
rank,1
atmosphere,1
dust,1
reverence,1
convention,1
