lemma,count
"",14
way,9
spirit,6
man,6
people,6
love,6
sign,6
heart,6
thing,6
face,5
mercy,5
light,5
life,5
room,4
character,4
trace,4
resistance,4
form,4
order,3
manner,3
apartment,3
tooth,3
mind,3
occasion,3
kind,3
letter,3
wit,3
hand,3
sorrow,3
beauty,3
superiority,3
advantage,2
sir,2
contempt,2
signal,2
warrant,2
use,2
danger,2
degree,2
force,2
reader,2
soul,2
consideration,2
woman,2
valour,2
figure,2
anxiety,2
interest,2
virtue,2
father,2
confidence,2
copper,2
kindness,2
object,2
head,2
greatness,2
attention,2
disposition,2
consequence,2
society,2
foot,2
countenance,2
temper,2
truth,2
alacrity,2
feather,2
power,2
world,2
affair,2
trouble,2
symptom,2
part,2
quality,2
picture,2
back,2
dark,2
house,2
art,2
proof,2
enemy,2
preference,2
gentleman,2
marks,2
sense,2
name,2
zeal,1
deal,1
struggle,1
bill,1
yard,1
hilt,1
practice,1
influence,1
word,1
unanimity,1
oblivion,1
date,1
mourn,1
interior,1
rapture,1
critter,1
pew,1
cleaner,1
provocation,1
notice,1
traveller,1
magistrate,1
circumstance,1
captain,1
front,1
limb,1
content,1
fore,1
passion,1
savage,1
difficulty,1
manhood,1
route,1
favor,1
sore,1
englishman,1
service,1
son,1
ivory,1
dirk,1
masquerade,1
opponent,1
civility,1
wreck,1
chap,1
tale,1
air,1
joy,1
acknowledgment,1
comrade,1
gratitude,1
piazza,1
retreat,1
cheer,1
anguish,1
line,1
assail,1
coward,1
conduct,1
wine,1
glance,1
fact,1
terror,1
doctrine,1
solicitude,1
signature,1
chapter,1
genius,1
flag,1
nicety,1
public,1
laf,1
living,1
bed-room,1
coat,1
pale,1
animal,1
submission,1
delight,1
sister-in-law,1
error,1
saviour,1
sensibility,1
skull,1
weakness,1
ambition,1
hat,1
fire,1
necessity,1
style,1
grave,1
elevation,1
side,1
sleeping-room,1
image,1
suspicion,1
earnest,1
chamber,1
respect,1
victim,1
friend,1
zebra,1
french,1
appearance,1
bramble,1
general,1
inclination,1
work,1
braddock,1
opposition,1
seamanship,1
choice,1
capital,1
sunlight,1
resemblance,1
worthy,1
rage,1
wonder,1
activity,1
mercenary,1
pearl,1
complacency,1
business,1
pallor,1
displeasure,1
scar,1
wait,1
servant,1
modesty,1
portrait,1
patriot,1
honor,1
dome,1
extremity,1
handle,1
game,1
top,1
union,1
view,1
patience,1
opportunity,1
ability,1
gesture,1
row,1
consent,1
admission,1
muscle,1
cap,1
song,1
animation,1
moment,1
furniture,1
dance,1
lie,1
nature,1
dwell,1
height,1
recklessness,1
guest,1
nonchalance,1
blood,1
offense,1
talent,1
monument,1
dining,1
think,1
care,1
endeavor,1
middletown,1
peril,1
confusion,1
reason,1
book,1
point,1
hate,1
worship,1
other,1
superstition,1
bullet,1
stain,1
sword,1
faith,1
dust,1
anger,1
approach,1
path,1
fatigue,1
eagerness,1
grief,1
ticket,1
satisfaction,1
defiance,1
worth,1
hair,1
conflict,1
tongue,1
portico,1
distress,1
pair,1
card,1
insensibility,1
fear,1
eye,1
town,1
firmness,1
person,1
magnificence,1
gap,1
gleam,1
bosom,1
excitement,1
law,1
situation,1
dislike,1
message,1
jealousy,1
evil,1
temperance,1
maintenance,1
authority,1
war,1
parent,1
acquaintance,1
sun,1
decision,1
emotion,1
vault,1
flower,1
amendment,1
mood,1
midst,1
attachment,1
result,1
handful,1
vessel,1
verse,1
petal,1
tear,1
wound,1
variety,1
paper,1
skill,1
quiet,1
footstep,1
pinckney,1
proportion,1
skin,1
greek,1
garden,1
sabbath,1
indifference,1
benevolence,1
wall,1
rescue,1
band,1
sit,1
identity,1
idea,1
drawing-room,1
sheriff,1
apprehension,1
passer-by,1
lack,1
parlor,1
kindliness,1
compact,1
baptiste,1
action,1
medal,1
proprietor,1
hang,1
heaven,1
lapis,1
hatred,1
commiseration,1
distinction,1
want,1
principle,1
fat,1
whim,1
crime,1
neatness,1
origin,1
division,1
color,1
armor,1
routine,1
indian,1
button,1
prophet,1
pity,1
stern,1
library,1
space,1
chance,1
debtor,1
surface,1
lion,1
depth,1
surprise,1
control,1
lord,1
absence,1
pet,1
cousin,1
attempt,1
weapon,1
cause,1
justice,1
knowledge,1
chair,1
complexion,1
meaning,1
rock,1
courage,1
breathe,1
ring,1
heel,1
girl,1
troop,1
party,1
urchin,1
moderation,1
valley,1
summit,1
lady,1
fissure,1
chapel,1
impatience,1
favourite,1
right,1
state,1
development,1
nincompoop,1
tier,1
partiality,1
villain,1
it,1
extent,1
blossom,1
god,1
contrast,1
beam,1
promptitude,1
parade,1
ignorance,1
effect,1
act,1
will,1
observance,1
park,1
delusion,1
trepidation,1
calm,1
magnanimity,1
trick,1
plan,1
country,1
dexterity,1
palace,1
mine,1
ingenuity,1
companion,1
nose,1
deed,1
deck,1
impudence,1
cape,1
footnote,1
sailor,1
reluctance,1
place,1
dismount,1
fight,1
gold,1
tin,1
end,1
gloom,1
case,1
jew,1
hostility,1
expression,1
fulness,1
box,1
window,1
immortality,1
stamp,1
