lemma,count
"",27
sign,25
business,19
interest,9
strength,8
people,7
picture,7
--,6
tooth,6
tv,6
film,6
number,6
profit,6
run,6
life,5
respect,5
work,5
man,5
room,5
force,4
piece,4
air,4
movie,4
television,4
actor,4
guy,4
power,4
promise,4
way,4
home,4
stress,4
talent,4
ability,4
country,4
page,4
record,4
live,4
network,4
nation,4
trace,4
premire,3
police,3
republican,3
independence,3
series,3
evidence,3
ball,3
world,3
sympathy,3
knowledge,3
system,3
color,3
variety,3
deal,3
friend,3
brother,3
song,3
preparation,3
child,3
woman,3
problem,3
negro,3
city,3
producer,3
popularity,3
resistance,3
embassy,3
advantage,3
emotion,3
awareness,3
rest,3
report,3
activity,3
test,3
studio,3
horse,3
window,3
flair,2
palace,2
improvement,2
anger,2
sample,2
twain,2
news,2
road,2
fact,2
society,2
condition,2
bow,2
accomplishment,2
treasure,2
box,2
radio,2
total,2
suit,2
situation,2
ingenuity,2
cloud,2
lady,2
tune,2
violence,2
visitor,2
worker,2
enthusiasm,2
human,2
concern,2
family,2
note,2
disturbance,2
game,2
act,2
balance,2
support,2
politician,2
star,2
press,2
quality,2
disregard,2
viewer,2
greek,2
score,2
daughter,2
newsman,2
anemia,2
foresight,2
indian,2
mechanism,2
segment,2
feeling,2
voice,2
group,2
field,2
imagination,2
reluctance,2
study,2
sinatra,2
flagrant,2
government,2
open,2
tree,2
folk,2
couple,2
courage,2
official,2
public,2
magazine,2
death,2
call,2
warmth,2
cut,2
girl,2
decision,2
judgment,2
history,2
look,2
market,2
area,2
ware,2
fellow,2
face,2
state,2
biz,2
lack,2
castle,2
affection,2
house,2
recording,2
fight,2
director,2
exhibition,2
academy,2
storm,2
bird,2
subject,2
difference,2
politics,2
end,2
crowd,2
side,2
master,2
clock,2
editor,2
springs,2
president,2
stage,2
opportunity,2
income,2
point,2
photograph,2
distinction,2
prey,1
broadway,1
dance,1
missile,1
music-making,1
affair,1
newcomer,1
trounce,1
aspect,1
propensity,1
sub-par,1
blood,1
hot-rod,1
wave,1
likeness,1
nightclub,1
puritanism,1
fish,1
population,1
demand,1
porpoise,1
discomfort,1
company,1
organization,1
actual,1
elevator,1
defect,1
faith,1
tendency,1
concentrate,1
atmosphere,1
flaw,1
convention,1
charm,1
liberty,1
dog,1
inadequacy,1
chlorine,1
amateur,1
foot,1
top-billed,1
stream,1
eye,1
town,1
basis,1
clinic,1
repertoire,1
stay,1
builder,1
matter,1
addition,1
dam,1
economy,1
cage,1
arc,1
millionaire,1
help,1
playhouse,1
section,1
one,1
jealousy,1
coliseum,1
leave,1
authority,1
graveyard,1
material,1
academic,1
edition,1
marriage,1
sound,1
result,1
scruggs,1
object,1
cheek,1
incident,1
defeat,1
echo,1
prevalence,1
crumbling,1
theater,1
advertisement,1
universelle,1
impasse,1
airman,1
loss,1
campus,1
gum,1
riviera,1
tactic,1
price,1
pod,1
statement,1
paper,1
military,1
element,1
enthusiast,1
alcohol,1
reservation,1
distance,1
stopper,1
basket,1
garden,1
statesman,1
underground,1
attainment,1
stirring,1
string,1
entrance,1
professional,1
magnetometer,1
rescue,1
recorder,1
idea,1
location,1
wild-animal,1
county,1
soldier,1
rampart,1
rice,1
downstairs,1
morsel,1
career,1
pain,1
annoyance,1
apprehension,1
doubt,1
reference,1
alertness,1
walk,1
shape,1
proof,1
withdrawal,1
sketch,1
telephone,1
action,1
thing,1
hint,1
register,1
gentleman,1
king,1
daylight,1
hoot,1
student,1
fee,1
prison,1
octopuses,1
baby,1
counter,1
devil,1
fertility,1
duchess,1
intention,1
toll,1
load,1
substructure,1
crime,1
standard,1
allergy,1
job,1
origin,1
playwright,1
cinch,1
protest,1
klee,1
prospect,1
jazz,1
nordness,1
expectancy,1
canine,1
locker,1
ship,1
frame,1
livestock,1
two-character,1
wetback,1
cartoon,1
reader,1
sensitivity,1
understanding,1
fountain,1
torpedo,1
wear,1
repression,1
nightmare,1
approval,1
com,1
fate,1
extract,1
installment,1
advertiser,1
stake,1
special,1
kind,1
control,1
statue,1
pride,1
capture,1
original,1
final,1
lawyer,1
scale,1
distraction,1
outbuilding,1
ever,1
fire,1
maidenform,1
executive,1
touch,1
publishing,1
question,1
pretension,1
mistake,1
cuban,1
cash,1
baron,1
confidence,1
emasculate,1
role,1
diary,1
general,1
capacity,1
prize,1
reasonableness,1
mains,1
choice,1
tablecloth,1
bunch,1
wonder,1
socialist,1
upper,1
dark,1
plaster,1
turn,1
age,1
utility,1
passing,1
text,1
mosaicism,1
sense,1
wife,1
front-drive,1
pass,1
manual,1
blueprint,1
main,1
figure,1
union,1
american,1
transport,1
cousin,1
rusk,1
torment,1
editorial,1
desire,1
weapon,1
sculpture,1
tunnel,1
watercolor,1
infancy,1
ruler,1
cutback,1
twin,1
naacp,1
nominate,1
part,1
tank,1
grape,1
story,1
meaning,1
trouble,1
aisle,1
stuff,1
pleasure,1
puppet,1
two-gun,1
pitchman,1
heel,1
similarity,1
traditionalist,1
meadow,1
rookie,1
party,1
direction,1
manuscript,1
brain,1
industrialist,1
name,1
table,1
breeding,1
development,1
canadian,1
foul,1
opry,1
gallery,1
ad,1
taxi,1
understudy,1
extent,1
aerospace,1
cork,1
opinion,1
grandchildren,1
credibility,1
rabbit,1
inside,1
workaday,1
nike,1
kinship,1
spark,1
merit,1
misgiving,1
marking,1
auditorium,1
plan,1
horton,1
vote,1
scrap,1
loyalty,1
orange,1
motion,1
hustle,1
track,1
store,1
divergence,1
shank,1
patient,1
connection,1
m,1
nightlife,1
leg,1
