lemma,count
"",27
back,16
effect,11
man,10
head,8
place,7
gun,7
weight,6
letter,6
blanket,6
child,6
hand,6
--,6
other,6
part,6
arm,5
food,5
pound,5
air,5
practice,5
business,5
person,5
assault,4
sea,4
river,4
water,4
sand,4
family,4
pocket,4
burden,4
smoke,4
tent,4
key,4
surface,3
pork,3
thing,3
mind,3
bag,3
beast,3
plan,3
boy,3
maid,3
baggage,3
quantity,3
war,3
shoulder,3
prisoner,3
horse,3
iron,3
mud,3
passenger,3
camping,3
saddle,3
relic,3
stuff,3
stream,3
wish,2
woman,2
errand,2
gold,2
mass,2
girl,2
intelligence,2
animal,2
number,2
life,2
stone,2
enemy,2
intention,2
mouth,2
firearm,2
good,2
buckwheat,2
officer,2
father,2
hospital,2
mountain,2
sword,2
surf,2
provision,2
object,2
rest,2
halberd,2
forage,2
trade,2
chain,2
dinner,2
direction,2
wagon,2
pig,2
litter,2
dog,2
light,2
bread,2
palm,2
determination,2
supply,2
ball,2
policy,2
public,2
basket,2
distance,2
property,2
scheme,2
order,2
farm,2
pole,2
tunnel,2
infant,2
storm,2
error,2
theory,2
perfection,2
name,2
portion,2
home,2
world,2
operation,2
fowl,2
fear,2
face,2
space,2
lunch,2
position,2
force,2
bank,2
purpose,2
trunk,2
pair,2
shirt,2
pack,2
fawn,1
correspondence,1
mess,1
guava,1
rifle,1
generation,1
gravel,1
school,1
doctrine,1
shout,1
curtain,1
long-contemplated,1
chapter,1
flag,1
cluster,1
shovelful,1
marauder,1
deception,1
progress,1
coat,1
conversation,1
art,1
street,1
bury,1
grave,1
image,1
scandinavian,1
share,1
victim,1
run,1
humor,1
baby-girl,1
bridge,1
scaffold,1
cup,1
lightning,1
hatchet,1
cloak,1
husband,1
farm-houses,1
universalism,1
rear,1
novel,1
answer,1
period,1
poison,1
washtub,1
conclusion,1
vapour,1
top,1
shyness,1
shot-gun,1
opportunity,1
vision,1
energy,1
mail,1
double,1
threat,1
current,1
mother,1
embrace,1
occupation,1
straw,1
cap,1
sacrifice,1
belvidere,1
corn,1
duty,1
oak,1
crane,1
princess,1
lie,1
height,1
pitti,1
blood,1
pot,1
brick,1
camp,1
sheep,1
rope,1
ray,1
ration,1
wave,1
extreme,1
freedom,1
think,1
stomach,1
tooth,1
assembly,1
save,1
wand,1
step,1
sin,1
point,1
bruise,1
book,1
spoil,1
mill,1
shuttle,1
slip,1
company,1
sea-cliff,1
roost,1
dust,1
detail,1
show,1
liquid,1
brute,1
rubber,1
road,1
iceberg,1
limit,1
saddle-blanket,1
gravity,1
sister,1
port,1
plantation,1
round,1
infection,1
bow,1
bride,1
village,1
nation,1
swamp,1
sack,1
eye,1
phantasie,1
card,1
ledger,1
easton,1
cloth,1
corpse,1
germ,1
matter,1
tent-poles,1
all-absorbing,1
cheers,1
gap,1
diarrhea,1
laboratory,1
