lemma,count
"",20
order,12
basket,10
arm,8
back,8
hand,8
child,7
paper,7
box,6
body,6
tray,6
plan,5
bottle,5
metal,5
bag,5
baby,5
suitcase,5
cross,5
gun,5
rifle,4
head,4
water,4
pound,4
pan,4
valise,4
bundle,4
hamper,4
instrument,4
man,3
package,3
book,3
bucket,3
case,3
glass,3
whip,3
bow,3
part,3
supply,3
camera,3
conversation,3
front,3
mark,3
people,3
torch,3
earth,3
banner,3
tirzah,2
rest,2
food,2
place,2
weapon,2
walk,2
planet,2
flag,2
death,2
can,2
thing,2
roll,2
figure,2
cup,2
flower,2
egg,2
air,2
pair,2
stick,2
affair,2
instruction,2
tide,2
pocket,2
crop,2
wicker,2
way,2
door,2
shoulder,2
camp,2
rhythm,2
name,2
girl,2
tent,2
hat,2
sea,2
form,2
bible,2
woman,2
burden,2
room,2
rose,2
land,2
ride,2
right,2
doc,2
assignment,2
message,2
kitchen,2
mankind,2
passenger,2
lance,2
nurse,2
pistol,2
light,2
plate,2
bouquet,2
bed,2
operation,2
pain,2
cargo,2
share,2
drink,2
cane,2
notice,1
warehouse,1
overtone,1
circumstance,1
golf,1
stock,1
vest,1
content,1
newspaper,1
difficulty,1
incredulity,1
initial,1
hag,1
controller,1
truck,1
slant,1
mission,1
slope,1
desk,1
tale,1
force,1
horseman,1
carbon,1
adhere,1
type,1
belt,1
luggage,1
commerce,1
mass,1
school,1
carpetbag,1
onion,1
sew,1
barbecue,1
simonides,1
ball,1
arrow,1
living,1
sewer,1
number,1
stylus,1
snifter,1
shimshon,1
revulsion,1
sandwich,1
flannery,1
saxophone,1
briefcase,1
silver,1
buck,1
candy,1
move,1
friend,1
livia,1
cash,1
deer,1
kitchenette,1
role,1
monoxide,1
sample,1
confidence,1
towel,1
silver-headed,1
log,1
oil,1
work,1
condition,1
zob,1
plaster,1
cab,1
memory,1
turn,1
rear,1
human,1
period,1
toothbrush,1
poison,1
wife,1
confederate,1
canoe,1
grocery,1
tablet,1
typewriter,1
game,1
limp,1
center,1
hindquarter,1
college,1
german,1
vision,1
mail,1
scroll,1
smell,1
tea,1
director,1
current,1
mother,1
carton,1
chief,1
key,1
hurdle,1
cap,1
song,1
mc,1
cadet,1
oak,1
duty,1
undertaker,1
spat,1
pit,1
guest,1
chicken,1
blood,1
pot,1
blanket,1
award,1
vase,1
archie,1
stomach,1
collar,1
wish,1
fish,1
gown,1
strike,1
washcloth,1
resolution,1
slip,1
gauze,1
other,1
sword,1
theme,1
close-up,1
rubber,1
road,1
flush,1
dog,1
surplus,1
leather,1
steward,1
anchor,1
fiddle,1
foot,1
intensity,1
burp,1
world,1
henchman,1
chest,1
nation,1
card,1
sack,1
eye,1
basis,1
bushel,1
amusement,1
drip,1
cheers,1
reach,1
ribbon,1
musket,1
help,1
excitement,1
garland,1
opening,1
blade,1
transfer,1
caligula,1
argument,1
journey,1
possession,1
record,1
colonist,1
coffin,1
rice-bag,1
beach,1
wealth,1
shirt,1
be,1
ordeal,1
emotion,1
transistor,1
iron,1
midst,1
project,1
sentence,1
sound,1
soup,1
lamp,1
shop,1
porch,1
nosegay,1
beauty,1
aspirin,1
ammunition,1
luther,1
scheme,1
distance,1
press,1
topcoat,1
shell,1
scythe,1
schedule,1
power,1
wall,1
uncle,1
sit,1
relic,1
spaghetti,1
medicine,1
pad,1
bar,1
coffee,1
piece,1
house,1
doge,1
champagne,1
weight,1
ukulele,1
action,1
rattan,1
stage,1
identification,1
bayonet,1
region,1
leah,1
carbine,1
pilot,1
chip,1
plant,1
total,1
extermination,1
bench,1
pocket-money,1
rubble,1
ghetto,1
staff,1
regulation,1
family,1
load,1
whole,1
banquet,1
condiment,1
indian,1
ship,1
tool,1
bone,1
lunch,1
space,1
ambulance,1
ore,1
kind,1
control,1
pack,1
gear,1
robot,1
daffodil,1
thought,1
crest,1
insurance,1
final,1
harvest,1
function,1
measure,1
adventure,1
tumbler,1
compartment,1
slab,1
trumpet,1
knowledge,1
chair,1
well,1
accordion,1
overcoat,1
stair,1
coal,1
rock,1
shaker,1
sky,1
razor,1
spina,1
assembly-line,1
party,1
hospital,1
rosewood,1
frying,1
toothpick,1
snowshoe,1
summit,1
bun,1
sideline,1
sheaf,1
brain,1
state,1
development,1
undercurrent,1
x-ray,1
river,1
queen,1
fruit,1
bedroom,1
length,1
transit,1
siren,1
shard,1
floor,1
clthe,1
firelock,1
scarf,1
gazebo,1
pouch,1
rocket,1
copy,1
debarkation,1
disease,1
pitch,1
astonishment,1
cold,1
bull,1
bosun,1
change,1
smoking,1
shave,1
horse,1
mine,1
ease,1
orange,1
execution,1
ext,1
sign,1
platter,1
serial,1
gaze,1
milk,1
lead,1
juice,1
boarding-house,1
custom,1
reticule,1
cistern,1
communication,1
tin,1
missionary,1
toilet,1
dahlia,1
limousine,1
fancy,1
radio,1
kettle,1
window,1
vestibule,1
sheet,1
runway,1
plastic,1
hero,1
struggle,1
brandy,1
cultivation,1
fragrance,1
pig,1
caption,1
implication,1
yard,1
practice,1
aim,1
pouter-pigeon,1
home,1
admiration,1
flashlight,1
article,1
bathroom,1
