lemma,count
passenger,13
"",6
charge,6
gun,6
name,5
food,5
sign,5
bag,5
weapon,4
cane,4
bomb,4
belt,4
right,4
bucket,3
penalty,3
home,3
back,3
tradition,3
ice,3
box,3
price,3
case,3
arm,3
rider,3
state,3
baby,3
story,3
risk,3
policy,3
mission,3
people,3
freight,3
--,3
cargo,3
water,3
terrorist,3
heart,3
weight,3
tourist,3
world,3
top,3
member,3
knowledge,2
room,2
farm,2
firearm,2
book,2
briefcase,2
father,2
screwdriver,2
cleat,2
shuttle,2
red,2
capacity,2
echo,2
rank,2
government,2
signal,2
ammunition,2
city,2
virus,2
speech,2
game,2
shoulder,2
attack,2
industry,2
sugar,2
disease,2
scar,2
ticket,2
passport,2
death,2
program,2
yard,2
data,2
head,2
rate,2
plan,2
baggage,2
term,2
coffee,2
guitar,2
hand,2
emergency,2
thing,2
placard,2
master,2
order,2
supply,2
gene,2
generation,2
wire,2
staff,2
missile,2
message,2
apple,2
cruise,2
broadcast,2
group,2
ship,2
visa,2
purge,2
flag,2
lesson,2
trip,2
read,2
torch,2
public,2
war,2
victory,2
child,2
act,2
network,2
tag,1
gluon,1
assuredness,1
microprocessor,1
clipboard,1
white,1
steel,1
son,1
pound,1
feud,1
endorsement,1
experiment,1
air,1
force,1
transition,1
hijacker,1
belongings,1
headlight,1
jar,1
voter,1
boy,1
equipment,1
life,1
bundle,1
giant,1
rightfield,1
tv,1
performer,1
chairman,1
getcha,1
pizza,1
trait,1
school,1
trusties,1
spear,1
slogan,1
ball,1
arrow,1
paign,1
coat,1
theory,1
conversation,1
revolution,1
movement,1
submarine,1
exhumation,1
innocence,1
equal,1
victim,1
deer,1
uranium,1
hall,1
oil,1
peace,1
dogies,1
capital,1
lance,1
memory,1
novel,1
sliver,1
flight,1
11-game,1
cam,1
conclusion,1
crack,1
center,1
bulb,1
trophy,1
sentimentality,1
phalangist,1
eta,1
list,1
threat,1
carton,1
bodyguard,1
rose,1
proposal,1
corruption,1
patriotism,1
moment,1
truth,1
herdsman,1
operation,1
feel,1
probability,1
corn,1
affair,1
activist,1
picture,1
agenda,1
blood,1
shrapnel,1
dari,1
shield,1
wave,1
paratrooper,1
wish,1
serviceman,1
scattering,1
fluid,1
step,1
bouquet,1
strike,1
foreign-policy,1
photo,1
closing,1
bearer,1
other,1
bullet,1
campaign,1
italian,1
anger,1
curvature,1
convention,1
analysis,1
hire,1
plate,1
rubber,1
fatigue,1
fan,1
audience,1
three-star,1
handkerchief,1
port,1
drug,1
amateur,1
storage,1
marketing,1
worry,1
terol,1
round,1
core,1
bow,1
communist,1
invitation,1
nation,1
swamp,1
insurrection,1
canister,1
pair,1
mouse,1
sack,1
card,1
uterus,1
quality,1
guard,1
matter,1
wind,1
economy,1
handbag,1
sashimi,1
uzi,1
shotgun,1
primary,1
mastercard,1
root,1
shortrange,1
stunt,1
heat,1
championship,1
landscape,1
kramer,1
possession,1
authority,1
criticism,1
spartans,1
parent,1
100-yard,1
coffin,1
sea,1
crew,1
decision,1
material,1
contributor,1
success,1
doctor,1
poods,1
reality,1
profit,1
sentence,1
package,1
battle,1
shop,1
body,1
tear,1
aspirin,1
light,1
cook,1
police,1
paper,1
pistol,1
peppermint,1
rack,1
process,1
information,1
bernstein,1
tureen,1
set,1
microphone,1
investigation,1
stun,1
motif,1
idea,1
hiccup,1
clatter,1
drill,1
county,1
soldier,1
fisher-price,1
election,1
pain,1
bar,1
fusion,1
choles,1
caucus,1
piece,1
below-market,1
merchandise,1
suitcase,1
discussion,1
formation,1
grudge,1
stigma,1
veto,1
heaven,1
stage,1
contingency,1
shot,1
quota,1
assortment,1
tattoo,1
survival,1
purse,1
fat,1
class,1
family,1
victrola,1
man,1
disclaimer,1
israeli-made,1
livestock,1
ncaa,1
import,1
lunch,1
space,1
interest,1
ambulance,1
choose,1
attache,1
kind,1
brink,1
criminal,1
class-struggle,1
absence,1
strip,1
banner,1
function,1
equality,1
number,1
step-by-step,1
cudgel,1
film,1
side,1
candy,1
silver,1
past,1
friend,1
nemesis,1
cash,1
savimbi,1
bush,1
relationship,1
dirt,1
work,1
owner,1
hope,1
activity,1
joint,1
series,1
thug,1
bean,1
renegade,1
leishmaniasis,1
honor,1
cream,1
warhead,1
college,1
view,1
initiative,1
container,1
thrill,1
symbolism,1
base,1
warning,1
seizure,1
sinatra,1
institute,1
account,1
relay,1
commander,1
part,1
meaning,1
arrest,1
firepower,1
coal,1
brand,1
way,1
test,1
whirl,1
party,1
bit,1
summit,1
tree,1
strafe,1
ceremony,1
grenadians,1
label,1
development,1
gas,1
ad,1
plane,1
freemen,1
river,1
sight,1
runner,1
clothes,1
room-temperature,1
woman,1
length,1
responsibility,1
plutonium,1
script,1
politeness,1
captive,1
mid-1960,1
binoculars,1
rocket,1
sonar,1
raid,1
diplomat,1
lauro,1
winger,1
voice-over,1
bread,1
country,1
contradiction,1
bed,1
kill,1
store,1
carry,1
clout,1
patient,1
jinx,1
place,1
lot,1
jungle,1
judgment,1
multiple,1
gold,1
moon,1
missionary,1
end,1
resident,1
timetable,1
sort,1
nees,1
array,1
genocide,1
surgery,1
radio,1
coverage,1
hose,1
submachine,1
wheel,1
announcement,1
plastic,1
pilgrim,1
firm,1
deal,1
page,1
pocket,1
foxhunting,1
high-bulk,1
bill,1
candidacy,1
takeover,1
knife,1
cancer,1
arsenal,1
implication,1
engagement,1
practice,1
kremlinologists,1
word,1
armageddon,1
commitment,1
cachet,1
article,1
district,1
construction,1
militiaman,1
horseback,1
shame,1
church,1
front,1
spokesman,1
