lemma,count
way,61
man,31
place,24
"",20
fault,18
difficulty,15
friend,12
lady,11
heart,11
mean,11
paper,10
letter,10
right,9
work,9
consolation,8
grave,8
mother,8
name,8
thing,8
reason,8
eye,7
wife,7
employment,7
father,7
folk,7
word,7
enemy,7
use,6
relief,6
child,6
rest,6
number,6
advantage,6
opportunity,6
occasion,6
road,5
difference,5
sister,5
room,5
book,5
vent,5
people,5
voice,5
gentleman,5
business,5
spirit,5
pleasure,5
girl,5
effort,5
leisure,5
pocket,4
head,4
life,4
window,4
presence,4
law,4
effect,4
ball,4
mode,4
boat,4
back,4
ony,4
change,4
tear,4
part,4
daughter,4
secret,4
home,4
hair,4
fire,4
interest,4
family,4
trace,4
uncle,4
moment,4
power,4
conscience,4
midst,4
point,4
guide,3
priest,3
brother,3
sir,3
peace,3
kindred,3
favour,3
necessity,3
exercise,3
health,3
thought,3
echo,3
favor,3
ma'am,3
library,3
group,3
hill,3
body,3
service,3
sight,3
corner,3
object,3
treasure,3
quarter,3
son,3
virtue,3
office,3
sale,3
be,3
fish,3
motive,3
house,3
stranger,3
present,3
collector,3
party,3
matter,3
mind,3
table,3
officer,3
bed,3
match,3
story,3
information,3
country,3
rank,3
companion,3
answer,3
stand,3
wait,3
cape,3
condition,3
packet,2
welcome,2
ring,2
president,2
regiment,2
author,2
tree,2
breast,2
mountain,2
death,2
horse,2
volunteer,2
gold,2
end,2
case,2
news,2
refuge,2
trig,2
boldness,2
boy,2
mass,2
fact,2
delight,2
folly,2
goose,2
crown,2
lodge,2
spot,2
list,2
need,2
conjecture,2
blood,2
close,2
path,2
count,2
charm,2
brave,2
town,2
command,2
hide,2
love,2
female,2
acquaintance,2
fairy,2
apology,2
fame,2
vessel,2
soldier,2
hearty,2
experience,2
medicine,2
hole,2
mouth,2
ax,2
hang,2
chevalier,2
king,2
veil,2
sympathy,2
kink,2
faculty,2
ither,2
labor,2
star,2
annal,2
hawk,2
wit,2
course,2
surprise,2
utterance,2
roan,2
writing,2
mistake,2
bush,2
general,2
hope,2
dark,2
turn,2
circle,2
theatre,2
cousin,2
inconvenience,2
hand,2
trouble,2
earl,2
courage,2
shakspeare,2
history,2
direction,2
state,2
woman,2
city,2
witness,2
opinion,2
level,2
trick,2
mine,2
vicinity,2
companionship,2
wharf,2
angel,2
couch,2
prisoner,2
page,2
practice,2
influence,2
content,2
safety,2
shoulder,2
air,2
meeting,2
skylight,2
luck,2
establishment,2
art,2
host,2
land,2
chamber,2
victim,2
solution,2
run,2
benefit,2
face,2
ear,2
subject,2
truth,2
lie,2
inquiry,2
camp,2
think,2
roof,2
other,2
port,2
society,2
pin,2
village,2
guard,2
person,2
sequel,2
english,2
flower,2
search,2
reality,2
exit,1
obstacle,1
bring,1
clutch,1
master,1
amusement,1
addition,1
idleness,1
pasturage,1
help,1
shutter,1
bailiff,1
degree,1
admiration,1
beech,1
breakfast,1
mole,1
message,1
allusion,1
jealousy,1
parallel,1
possession,1
mystery,1
map,1
politician,1
pear,1
elbow,1
heath,1
emotion,1
kine,1
jacksonites,1
kiss,1
decision,1
masonry,1
material,1
devotion,1
advocate,1
evidence,1
sound,1
result,1
ray,1
nothin,1
promontory,1
grace,1
shop,1
theater,1
wing,1
fitter,1
summer-house,1
knife,1
shaler,1
element,1
skin,1
cross,1
bel,1
access,1
basket,1
cellar,1
pistol,1
danger,1
paradise,1
threshhold,1
scalp,1
entrance,1
ruin,1
washing,1
colony,1
territory,1
study,1
gall,1
brightness,1
furnace,1
horoscope,1
blame,1
aunt,1
say,1
reciprocation,1
hog,1
thorn,1
distingu,1
bargain,1
meddling,1
team,1
survey,1
bind,1
ride,1
attitude,1
foe,1
endeavor,1
dress,1
pain,1
apprehension,1
knave,1
clock,1
fellow,1
protector,1
talk,1
versation,1
knee,1
ironside,1
mourning,1
papa,1
coffee,1
plot,1
walk,1
shape,1
venture,1
curl,1
boudoir,1
action,1
realm,1
trunk,1
proprietor,1
housetop,1
contingency,1
hull,1
cavalier,1
inferno,1
register,1
amulet,1
cost,1
supply,1
save,1
speed,1
shade,1
discovery,1
auditor,1
fool,1
step,1
prison,1
like,1
beaux,1
trial,1
knight,1
comfort,1
ocean,1
inducement,1
plant,1
fat,1
poet,1
total,1
class,1
fallacy,1
apple-sauce,1
league,1
consumption,1
toll,1
expression,1
concern,1
crime,1
gown,1
deviser,1
bit,1
lover,1
pretext,1
volume,1
scope,1
purchaser,1
origin,1
dame,1
twig,1
leve,1
conquest,1
whole,1
estimation,1
apple,1
spoil,1
damage,1
moral,1
gloom,1
waste,1
peasant,1
button,1
disappointment,1
prophet,1
bone,1
swim,1
covert,1
concealment,1
fountain,1
girdle,1
compliment,1
pillow,1
fragment,1
avail,1
kitchen,1
chance,1
appeal,1
revenge,1
roguery,1
depth,1
road-side,1
market,1
kind,1
imagination,1
warfare,1
retainer,1
respiration,1
statute,1
borrowing,1
gardener,1
bishop,1
fight,1
nest,1
maze,1
ernestine,1
luxury,1
sunset,1
youngster,1
oasis,1
lawyer,1
substance,1
labour,1
passage,1
shawl,1
brid,1
bird,1
waxen,1
bookstore,1
judgment,1
bank,1
specimen,1
gambling,1
torrent,1
side,1
inmate,1
earnest,1
predicament,1
past,1
question,1
sinner,1
cash,1
anger,1
catalogue,1
green,1
breath,1
management,1
secession,1
capacity,1
chevillard,1
settee,1
habitation,1
response,1
safe,1
owner,1
wonder,1
arm,1
quarrel,1
army,1
trader,1
frolic,1
separation,1
cargo,1
tomb,1
age,1
melody,1
deck,1
sofa,1
producer,1
latitude,1
sense,1
mare,1
servant,1
desert,1
pass,1
honor,1
instrument,1
heir,1
wage,1
shipwreck,1
maiden,1
lass,1
handle,1
moonshine,1
college,1
sixpence,1
mutineer,1
lord,1
stone,1
elfrida,1
lu,1
annihilation,1
palace,1
weapon,1
annet,1
earth,1
sentiment,1
shilling,1
commander,1
justice,1
glass,1
neighbourhood,1
variety,1
definition,1
phial,1
manner,1
sponsor,1
account,1
supplication,1
ancestor,1
sinuosities,1
meanness,1
comb,1
still,1
similarity,1
accumulation,1
balm,1
gain,1
discipline,1
world,1
calm,1
gui,1
manuscript,1
chapel,1
rival,1
adle,1
leader,1
development,1
dynasty,1
ad,1
distress,1
profession,1
length,1
simplicity,1
sack,1
mecum,1
scylla,1
dungeon,1
attendance,1
enquiry,1
spring,1
floor,1
pacquet,1
actor,1
engross,1
humanity,1
picket,1
observance,1
form,1
did't,1
mate,1
warrant,1
life-blood,1
sea-beach,1
breach,1
will,1
plan,1
ark,1
ant,1
skunk,1
principal,1
moor,1
track,1
flannel,1
mansion,1
lamentation,1
admiral,1
store,1
copy,1
latin,1
gustave,1
temple,1
ladder,1
act,1
vanity,1
petticoat,1
preconception,1
pencil,1
fit,1
philosopher,1
performance,1
tent,1
porter,1
toilet,1
train,1
silence,1
accommodation,1
passenger,1
realization,1
sort,1
plea,1
box,1
mud,1
shore,1
protection,1
remain,1
admittance,1
felicity,1
zeal,1
wind,1
struggle,1
fortune,1
cultivation,1
hiding-place,1
note,1
amends,1
column,1
alcmena,1
hesitation,1
bosom,1
chorus,1
rain,1
article,1
district,1
mayor,1
bonbon,1
notice,1
traveller,1
freemasonry,1
readiness,1
slick,1
limb,1
knowledge,1
blue,1
half-buried,1
route,1
leaf,1
preparation,1
vintner,1
initial,1
dregs,1
relative,1
brotherhood,1
penalty,1
river,1
abundance,1
wherry,1
wreck,1
asylum,1
inspector,1
strength,1
meat,1
force,1
alms,1
bear,1
feeling,1
vehicle,1
hysterics,1
joy,1
monk,1
lodging,1
steed,1
fugitive,1
retreat,1
dig,1
block,1
fawn,1
travel,1
doctrine,1
crucifix,1
teach,1
