lemma,count
way,40
"",37
place,20
man,19
state,18
part,17
/z/,15
word,14
country,14
difficulty,12
case,11
water,11
people,9
other,9
market,9
mean,9
number,9
remain,9
quantity,8
work,8
power,8
character,8
fault,8
friend,8
root,7
account,7
heart,7
evidence,7
cause,7
situation,7
foot,7
nature,7
thing,7
refuge,7
example,6
rock,6
reason,6
tree,6
plant,6
pleasure,6
surface,6
woman,6
mass,6
degree,6
space,5
employment,5
english,5
coal,5
world,5
portion,5
subject,5
abundance,5
mode,5
history,5
animal,5
kind,5
home,5
formation,5
object,5
soil,5
language,5
fact,5
circumstance,5
aliment,4
interest,4
school,4
ray,4
child,4
king,4
region,4
perfection,4
weight,4
paper,4
form,4
exertion,4
result,4
wood,4
parent,4
death,4
motive,4
comfort,4
instance,4
enemy,4
matter,4
quality,4
nation,4
person,4
bed,4
law,4
position,4
use,4
body,4
ground,4
shoot,4
relief,4
hand,4
inhabitant,4
side,4
support,4
happiness,4
trace,4
public,4
importance,4
mountain,4
christianity,3
arrival,3
fruit,3
leaf,3
testament,3
maximum,3
companion,3
bank,3
uniformity,3
climate,3
master,3
food,3
security,3
room,3
experiment,3
coast,3
life,3
spot,3
opportunity,3
faith,3
liberty,3
satisfaction,3
--,3
affection,3
labor,3
whole,3
chance,3
course,3
bunch,3
hope,3
view,3
spirit,3
field,3
justice,3
beam,3
plan,3
sort,3
shore,3
influence,3
disposition,3
temperature,3
favor,3
slope,3
air,3
opposition,3
forest,3
resource,3
book,3
limit,3
purpose,3
sea,3
midst,3
remedy,3
proportion,3
piece,3
house,3
class,3
plain,3
live,3
writing,3
lava,3
general,3
retreat,2
member,2
fibre,2
bible,2
duke,2
luxuriance,2
wine,2
mosque,2
back,2
correspondence,2
sex,2
preparation,2
growth,2
application,2
bird,2
constitution,2
chemical,2
progress,2
head,2
obstacle,2
strength,2
evil,2
crystal,2
temple,2
advantage,2
vessel,2
species,2
remark,2
record,2
island,2
letter,2
race,2
command,2
land,2
documentary,2
secondary,2
horry,2
flower,2
condition,2
period,2
circumference,2
amendment,2
group,2
basalt,2
presence,2
red,2
resistance,2
base,2
party,2
husband,2
owner,2
impression,2
slate,2
tear,2
tyranny,2
family,2
