lemma,count
way,57
"",34
place,19
--,14
man,13
job,11
thing,10
back,10
room,10
money,10
right,9
evidence,8
work,8
child,8
cause,7
answer,7
life,7
world,7
water,6
form,6
people,6
office,5
difficulty,5
fault,5
police,5
death,5
position,5
girl,5
book,5
case,5
idea,5
present,5
scene,5
treasure,5
name,5
negro,5
comfort,4
sort,4
bed,4
piece,4
woman,4
mean,4
nature,4
car,4
executive,4
part,4
publisher,4
story,4
public,4
end,4
family,4
pattern,4
member,4
society,4
boy,4
ackerman,4
school,4
victim,4
solution,4
friend,4
husband,4
play,4
agreement,4
area,4
problem,4
ally,4
law,4
state,4
surprise,4
quarrel,3
beach,3
feel,3
broker,3
interest,3
employment,3
mail,3
heart,3
expression,3
bridge,3
difference,3
parent,3
hospital,3
element,3
general,3
refuge,3
desk,3
air,3
program,3
house,3
unity,3
student,3
door,3
university,3
spot,3
gold,3
word,3
rat,3
outlet,3
ring,3
skull,3
city,3
service,3
table,3
wall,3
subject,3
ship,3
street,3
shot,3
store,3
market,3
shelter,3
patient,3
building,3
home,3
source,3
matter,3
foot,3
moment,3
hill,2
conspiracy,2
courage,2
clue,2
test,2
middle,2
face,2
style,2
characterization,2
post,2
baseball,2
licensee,2
history,2
instance,2
owner,2
murder,2
firm,2
dark,2
turn,2
government,2
center,2
science,2
system,2
jury,2
college,2
reader,2
department,2
reason,2
mother,2
rock,2
president,2
population,2
niche,2
base,2
truth,2
ad,2
successor,2
nut,2
neighbor,2
chance,2
company,2
laborer,2
course,2
primitive,2
fight,2
television,2
material,2
level,2
investment,2
iron,2
point,2
shoot,2
theme,2
success,2
court,2
result,2
campaign,2
break,2
number,2
dinner,2
arm,2
client,2
judge,2
battle,2
port,2
scientist,2
strain,2
lot,2
question,2
plate,2
performance,2
spring,2
person,2
guard,2
garage,2
excitement,2
cover,2
situation,2
dream,2
silence,2
worker,2
defense,2
presence,2
change,2
ground,2
record,2
manager,2
use,2
report,2
listen,2
top,2
violence,2
deal,2
disadvantage,2
generation,2
father,2
leader,2
human,2
fact,2
body,2
wife,2
hole,2
light,2
price,2
paper,2
note,2
self,2
game,2
stone,2
food,2
egg,2
unemployment,2
poetry,2
footing,2
practice,2
set,2
support,2
expertise,2
article,2
date,2
clinic,2
temperature,2
spirit,2
experience,2
church,2
key,2
term,2
maharishi,2
error,2
proof,2
hint,2
newspaper,2
justice,2
arc,2
teaching,2
staff,2
survival,2
classic,2
help,2
illustration,2
meaning,2
trouble,2
ghetto,2
group,2
living,2
frame,2
wit,2
disaster,2
art,2
depth,2
bottle,2
message,1
den,1
fashion,1
analyst,1
parallel,1
scherzo,1
mystery,1
leave,1
reception,1
map,1
irony,1
blitze,1
cut,1
challenge,1
be,1
townspeople,1
craft,1
decision,1
pap,1
soil,1
doorbell,1
railroad,1
housing,1
object,1
verse,1
triangle,1
psychiatry,1
geometry,1
disorient,1
fulfillment,1
alcohol,1
access,1
walker,1
viewer,1
garden,1
professional,1
powerboat,1
ender,1
timmins,1
confirmation,1
esting,1
rescue,1
location,1
spanish,1
attic,1
border,1
aid,1
golden-roofed,1
bitch,1
minimum,1
odor,1
hiss,1
bonsai,1
congress,1
coffee,1
crisis,1
vagina,1
telephone,1
weight,1
assault,1
action,1
chemist,1
stage,1
constitutional,1
order,1
veil,1
envelope,1
quandary,1
testing,1
thread,1
principle,1
plant,1
gym,1
seed,1
labor,1
alliance,1
standard,1
pretext,1
lover,1
strong-minded,1
color,1
moth,1
apple,1
visitation,1
peasant,1
button,1
waste,1
reddin,1
contraband,1
fountain,1
consideration,1
understanding,1
lyricist,1
swoop,1
space,1
debtor,1
fare,1
airport,1
jackpot,1
extract,1
orgy,1
kind,1
guru,1
control,1
statue,1
criminal,1
heliport,1
thought,1
milling,1
tence,1
statistics,1
scale,1
apostasy,1
metal,1
weakness,1
passage,1
film,1
yankee,1
good,1
touch,1
capitalism,1
operator,1
russian,1
cash,1
role,1
computer,1
bush,1
product,1
relationship,1
consternation,1
nix,1
bunch,1
hope,1
cab,1
pearl,1
army,1
plush,1
crusade,1
age,1
mesh,1
sense,1
pass,1
bat,1
shipwreck,1
blueprint,1
reputation,1
view,1
american,1
measure,1
initiative,1
denunciation,1
pupil,1
music,1
export-led,1
daughter,1
editorial,1
manpower,1
desire,1
weapon,1
commonwealth,1
kid,1
tunnel,1
revenue,1
cach,1
discount,1
customer,1
contention,1
metcalf,1
hand,1
tank,1
discus,1
sponsor,1
arrest,1
island,1
stack,1
symphony,1
colombian,1
snitch,1
pleasure,1
solitude,1
shirtsleeve,1
merger,1
similarity,1
victory,1
file,1
therapy,1
party,1
injury,1
discipline,1
hortus,1
station,1
fund,1
fealty,1
skeleton,1
canal,1
photographer,1
inau,1
gallery,1
postcard,1
taxi,1
drawing,1
bedroom,1
profession,1
bankrupt,1
taste,1
penthouse,1
enquiry,1
floor,1
silberman,1
