lemma,count
"",26
money,17
possession,15
way,12
thing,11
idea,10
hold,9
view,9
vote,8
right,8
man,8
chance,8
price,7
difficulty,7
house,6
point,6
work,6
truth,6
living,5
glimpse,5
college,5
property,5
life,5
return,5
paper,5
part,4
control,4
breakfast,4
insight,4
better,4
light,4
knowledge,4
habit,4
story,4
amount,4
hand,4
bed,4
place,4
order,4
railroad,4
boat,4
--,4
answer,4
end,4
horse,4
water,4
train,4
start,3
share,3
word,3
piece,3
air,3
capital,3
relief,3
hair,3
home,3
boy,3
job,3
ship,3
mother,3
law,3
mass,3
furniture,3
people,3
fire,3
good,3
war,3
seat,3
//,3
dark,3
river,3
motion,3
system,3
material,3
evidence,3
news,3
sight,3
bill,3
majority,3
book,3
hear,2
copy,2
distance,2
style,2
eye,2
expression,2
neighbor,2
machinery,2
drink,2
company,2
friend,2
acquaintance,2
parliament,2
world,2
condition,2
nature,2
brain,2
name,2
rake,2
gain,2
effort,2
advantage,2
public,2
wife,2
sympathy,2
want,2
practice,2
slave,2
power,2
blood,2
room,2
present,2
manner,2
circular,2
foot,2
permission,2
supply,2
rope,2
treasury,2
species,2
result,2
mean,2
cabinet,2
woman,2
desire,2
glory,2
lady,2
body,2
car,2
mind,2
society,2
whisky,2
force,2
trouble,2
information,2
neck,2
estimate,2
beauty,2
opinion,2
bottom,2
note,2
satisfaction,2
training,2
steam,2
wind,2
opportunity,2
matter,2
half,2
$,2
back,2
conception,2
person,2
design,2
lodge,2
sleep,2
wool,2
university,2
strength,2
head,2
sail,2
teacher,2
stock,2
wood,2
number,2
ticket,2
land,1
image,1
medley,1
run,1
crown,1
fly,1
peace,1
heap,1
log,1
way-stations,1
sum,1
contract,1
husband,1
candle,1
letter,1
spot,1
novel,1
defense,1
school-work,1
ear,1
top,1
ground,1
hogshead,1
burn,1
wretchedness,1
list,1
current,1
down,1
province,1
rheumatism,1
fun,1
song,1
severity,1
operation,1
feel,1
irritation,1
lie,1
portion,1
premium,1
title,1
corps,1
picture,1
inquiry,1
outlook,1
brick,1
door,1
think,1
luncheon,1
delectation,1
child,1
clock,1
trunk,1
surroundings,1
assembly,1
carriage,1
mill,1
resolution,1
other,1
organization,1
incubus,1
backwood,1
atmosphere,1
convention,1
road,1
desert,1
attack,1
insect,1
dog,1
abeam,1
lieutenant,1
impromptu,1
barbarian,1
slavery,1
powder,1
ale,1
