lemma,count
"",83
money,36
thing,31
way,25
man,23
chance,20
hand,20
right,19
idea,18
work,15
house,15
head,15
snag,15
chair,14
exit,13
back,13
eye,13
room,13
home,13
trouble,13
side,12
heart,12
foot,11
hat,11
letter,10
hold,10
bed,10
possession,10
tew,10
hair,10
supper,9
horse,9
dinner,9
other,9
business,9
name,9
water,9
watch,9
table,9
boy,9
place,8
girl,8
notion,8
coat,8
hotel,8
teddy,8
fur,8
word,8
paper,8
gri,8
sight,8
car,7
shot,7
property,7
note,7
ez,7
gun,7
friend,7
hang,7
grant,7
boat,7
end,6
husband,6
company,6
lot,6
look,6
scrape,6
better,6
country,6
mother,6
pistol,6
impression,6
red,6
laugh,6
world,6
picture,6
face,6
difficulty,6
drink,6
lindau,6
people,5
dog,5
livin,5
wife,5
piece,5
rose,5
help,5
sich,5
address,5
conviction,5
glove,5
order,5
woman,5
door,5
warrant,5
again,5
glass,5
there,5
breakfast,5
nate,5
dryfoos,5
news,5
voice,4
bread,4
suthin,4
land,4
heap,4
den,4
soul,4
ground,4
barn,4
think,4
dress,4
trunk,4
gold,4
effect,4
finger,4
card,4
seltzer,4
use,4
darius,4
nothin,4
case,4
price,4
coffee,4
judge,4
mine,4
bar,4
fellow,4
store,4
neck,4
stage,4
train,4
sort,4
box,4
window,4
feelin,4
broderick,4
lock,4
ov,4
crowd,4
poem,4
fer,4
pile,4
kind,4
hum,3
depot,3
bottle,3
walk,3
thet,3
game,3
plate,3
credit,3
go,3
out'n,3
breath,3
question,3
dance,3
nature,3
advice,3
situation,3
gas,3
dude,3
cigar,3
blood,3
office,3
art,3
mill,3
sot,3
bridge,3
drinkin,3
love,3
corner,3
chinaman,3
master,3
bruk,3
quarter,3
disease,3
start,3
child,3
pie,3
favor,3
course,3
clutch,3
axe,3
sense,3
fire,3
stove,3
couple,3
seat,3
visitor,3
paint,3
clothes,3
safe,3
front,3
religion,3
run,3
father,3
lid,3
board,3
mule,3
papa,3
pair,3
decision,3
dot,3
deacon,3
wood,3
lawyer,3
play,3
fan,3
saddle,3
gentleman,3
cut,3
littleton,3
pay,3
prize,3
confidence,3
bill,3
customer,3
jacket,3
sin,3
dark,3
shake,3
particular,2
relief,2
sickness,2
fool,2
derrick,2
meenie,2
air,2
want,2
licker,2
muzzle,2
character,2
comfort,2
peace,2
lightning,2
chin,2
oil,2
smash,2
pull,2
present,2
estate,2
kase,2
lebel,2
revenge,2
pack,2
ball,2
conscience,2
nonsense,2
rent,2
live,2
baby,2
objection,2
photograph,2
newspaper,2
niece,2
italian,2
mind,2
tail,2
seed,2
turn,2
ocean,2
stretch,2
raft,2
ticket,2
mark,2
rod,2
offer,2
color,2
street,2
food,2
stock,2
gumption,2
snow,2
matter,2
mitten,2
try,2
elmore,2
toe,2
stair,2
coal,2
public,2
razor,2
furder,2
round,2
yis,2
success,2
club,2
book,2
superstition,2
point,2
wax,2
peep,2
story,2
island,2
french,2
row,2
brother,2
piano,2
fog,2
road,2
ferret,2
sister,2
fight,2
sleep,2
hyar,2
society,2
lady,2
worth,2
beauty,2
fun,2
tooth,2
feather,2
police,2
nose,2
party,2
grip,2
ager,2
boot,2
plunkett,2
tone,2
puter,2
station,2
duty,2
string,2
effie,2
silk,2
square,2
frum,2
elwood,2
mit,2
rope,2
taste,2
shoe,2
scent,2
invitation,2
arter,2
pig,2
top,2
loan,2
flower,2
pea,2
eny,2
snowball,2
view,2
mela,2
trifle,2
sleigh,2
hai,2
light,2
spot,2
yaller,2
check,2
tempest,2
deac,2
cold,2
tanyard,2
cross,2
pen,2
copy,2
uf,2
shave,2
mulligan,2
arrangement,2
nuff,2
blame,2
uncle,2
set,2
size,2
hill,2
glory,2
folk,2
reason,2
fact,2
medicine,2
pain,2
snake,2
glimpse,2
track,2
talk,2
term,2
doubt,2
lesson,2
knee,2
center,2
sum,2
carriage,2
rest,2
human,2
ladder,2
tiding,2
breeding,1
state,1
croquet,1
bedroom,1
trouser,1
extent,1
city,1
scold,1
opinion,1
witness,1
floor,1
rabbit,1
scarf,1
instruction,1
concussion,1
belfry,1
worsted,1
flavour,1
officer,1
fo,1
wad,1
primrose,1
plan,1
model,1
scrap,1
beyant,1
motion,1
hustle,1
income,1
wink,1
damp,1
jeweler,1
bottom,1
leg,1
ther,1
angel,1
appointment,1
lantern,1
briton,1
lemonade,1
py,1
foozle,1
facer,1
liquor,1
piety,1
varmint,1
pop,1
accident,1
ef,1
sheet,1
chambermaid,1
prisoner,1
violence,1
struggle,1
countess,1
brandy,1
clown,1
abaout,1
range,1
practice,1
rain,1
steam,1
six-shooter,1
bemis,1
grape-vine,1
reading,1
flirtation,1
tenant,1
hunt,1
playin,1
pizen,1
content,1
passion,1
padlock,1
safety,1
disturbin,1
white,1
shoehorn,1
guy,1
deliverer,1
masterpiece,1
manure,1
guess,1
shoulder,1
hydrophobia,1
gretchen,1
stop,1
meeting,1
friendship,1
retreat,1
block,1
satin,1
rooster,1
line,1
resentment,1
kirk,1
nurse,1
verdict,1
march,1
wine,1
marks,1
luck,1
asphalt,1
bolt,1
flask,1
living,1
edgeway,1
theory,1
claim,1
pattern,1
fall,1
loose,1
shiver,1
flesh,1
looney,1
velvet,1
grave,1
capt,1
suspicion,1
victim,1
deer,1
hall,1
cup,1
crossing,1
schooner,1
contract,1
rosenfelt,1
circulate,1
elastic,1
air--,1
lump,1
grocery,1
ear,1
widow,1
tea,1
muscle,1
cap,1
bran,1
dear,1
snarl,1
tomato,1
subject,1
moment,1
mc,1
jaw,1
feel,1
neighbor,1
pot-plants,1
pit,1
politics,1
dope,1
household,1
solid,1
camp,1
kiss,1
calf,1
sorrow,1
dish,1
cigarette,1
bluff,1
holdin,1
stomach,1
waitin,1
howl,1
roof,1
like,1
step,1
gown,1
hate,1
organ,1
second-story,1
ferry,1
slice,1
more'n,1
anger,1
show,1
management,1
arm,1
desert,1
mortgage,1
fu,1
slidin,1
cross-eyed,1
fiddle,1
curve,1
infant,1
strain,1
uniform,1
bow,1
kendrick,1
cinder,1
tidd,1
person,1
pilfer,1
begin,1
wind,1
wark,1
thirst,1
flurry,1
excitement,1
growth,1
law,1
stand,1
thar,1
seance,1
device,1
gift,1
strength,1
stocking,1
horror,1
cache,1
lodging,1
horse-sense,1
war,1
soak,1
sea,1
can,1
wealth,1
yit,1
spunk,1
doctor,1
manner,1
sylph,1
neighborhood,1
lamp,1
body,1
intimacy,1
interrupt,1
gum,1
cook,1
pan,1
squeak,1
press,1
scheme,1
tendin,1
blank,1
study,1
redskin,1
sit,1
gale,1
dutchman,1
monkey,1
bargain,1
keer,1
assayer,1
whip,1
keg,1
clew,1
natural-gas,1
invoice,1
training,1
bass,1
correspondent,1
shape,1
sketch,1
chancery,1
huntin,1
barrel,1
gong,1
meetin,1
smellin,1
striker,1
sympathy,1
kink,1
whip-hand,1
devil,1
whar,1
brass,1
hap,1
punishment,1
marsh,1
assent,1
prospect,1
lab,1
forgiveness,1
indian,1
group,1
wit,1
pity,1
barroom,1
fireside,1
monsieur,1
landlord,1
sail,1
crest,1
maze,1
bin,1
mo,1
silvern,1
catalogue,1
green,1
towel,1
general,1
choice,1
hay,1
gar,1
series,1
joint,1
cloud,1
assistance,1
rail,1
bushie,1
mustache,1
thunder,1
secret,1
diagram,1
theatre,1
behavior,1
sugar,1
native,1
curse,1
nerve,1
caffe,1
hell,1
studyin,1
mattah,1
knowledge,1
rush,1
het,1
gagement,1
throw,1
livery,1
preference,1
earshot,1
imagination,1
bit,1
yez,1
dese,1
cassiday,1
divorce,1
joke,1
beef,1
trav,1
education,1
make,1
death,1
lemon,1
money-losing,1
speaker,1
schnapps,1
plenty,1
cause,1
leton,1
drunkenness,1
plaything,1
break,1
wake,1
knack,1
ring,1
jail,1
lather,1
pomegranate,1
reserve,1
patty,1
invite,1
lighting,1
river,1
it,1
difference,1
daown,1
frock,1
passenger,1
reporter,1
bucket,1
fit,1
ruefulness,1
leetle,1
suit,1
circulation,1
will,1
wrap,1
promptness,1
baptism,1
form,1
idiot,1
squire,1
angelus,1
comforter,1
deed,1
deck,1
croesus,1
nough,1
impudence,1
milk,1
sailor,1
by-and-by,1
bank,1
idee,1
speech,1
judgment,1
gig,1
appeal,1
pore,1
high-flown,1
tin,1
dose,1
trotter,1
particle,1
poet,1
fancy,1
harbor,1
cushion,1
nunnery,1
painter,1
no'th,1
ride,1
hurry,1
ditto,1
punch,1
concession,1
salt,1
hatch,1
pocket,1
grimes,1
comic,1
tough,1
knife,1
grace,1
courtesy,1
tenny,1
minister,1
bounce,1
pretense,1
pooty,1
bait,1
critter,1
lem,1
oneness,1
grimness,1
gil,1
compulsion,1
gittin,1
consul,1
fore,1
security,1
fus,1
geof,1
freight,1
mears,1
butchers,1
pal,1
noise,1
pound,1
truck,1
tithe,1
holt,1
stroke,1
bend,1
hit,1
pocket-book,1
canary,1
life,1
comrade,1
fightin,1
insight,1
advance,1
correspondence,1
dolly,1
cake,1
pardner,1
riot,1
debt,1
bet,1
heigh,1
chapter,1
signature,1
bite,1
promise,1
folly,1
lawder,1
censure,1
contribution,1
vaudeville,1
wedding,1
weeping,1
farm,1
knocker,1
stout,1
beginning,1
imitation,1
carat,1
figgers,1
share,1
lodge,1
porthole,1
berry,1
martyrdom,1
symptom,1
candle,1
ut,1
serpent,1
vision,1
german,1
goodness,1
falsehood,1
just,1
mag,1
edge,1
consent,1
straw,1
whiff,1
key,1
ox,1
introduction,1
toast,1
furniture,1
wire,1
title,1
loft,1
directory,1
pittance,1
wagon,1
close,1
blanket,1
softness,1
middle,1
collar,1
wish,1
fish,1
litt,1
en-trance,1
railway,1
speculation,1
contractor,1
gin,1
kin,1
cry,1
elevator,1
faith,1
dilemma,1
wardrobe,1
brush,1
postage,1
credulity,1
shelter,1
bullier,1
satisfaction,1
slavery,1
peg,1
vittles,1
dough,1
cross-town,1
fear,1
town,1
grass,1
certificate,1
damsel,1
bag,1
bushel,1
sylvia,1
loaf,1
characteristic,1
draw,1
hide,1
black,1
creature,1
one,1
revolver,1
cryin,1
back-bone,1
cae,1
stride,1
landscape,1
heat,1
plumb,1
leave,1
beaton,1
dine,1
female,1
nut,1
stick,1
