lemma,count
"",20
job,16
thing,15
hand,13
way,12
people,11
right,10
edge,9
child,9
man,8
book,8
business,8
satisfaction,8
sense,7
food,7
water,7
feel,7
idea,7
work,7
store,6
money,6
help,6
animal,6
attention,6
start,6
bill,5
look,5
surface,5
vote,5
benefit,5
life,5
result,5
power,5
point,4
ground,4
home,4
amount,4
strength,4
end,4
equipment,4
sound,4
bus,4
rest,4
hold,4
understanding,4
picture,4
bed,4
engagement,4
record,4
head,4
sleep,4
answer,4
dog,3
material,3
humanity,3
father,3
hear,3
word,3
set,3
lot,3
chief,3
politics,3
hit,3
credit,3
sort,3
student,3
car,3
problem,3
design,3
story,3
trouble,3
election,3
other,3
ration,3
dish,3
impression,3
family,3
area,3
message,3
chimpanzee,3
girl,3
antique,3
foot,3
see,3
cut,3
fact,3
fun,3
argument,3
paint,3
pressure,3
war,3
group,3
parliament,3
world,3
living,3
place,3
theory,3
maximum,3
elevator,3
floor,3
institution,2
backing,2
possession,2
public,2
estimate,2
husband,2
tooth,2
chance,2
interest,2
majority,2
pay,2
land,2
female,2
mail-order,2
letter,2
use,2
sun,2
step,2
period,2
railway,2
agreement,2
tax,2
rule,2
news,2
confession,2
costume,2
burial,2
body,2
good,2
side,2
better,2
police,2
price,2
virus,2
energy,2
office,2
wood,2
interview,2
dirt,2
arm,2
school,2
mail,2
flatness,2
effect,2
human,2
wife,2
information,2
system,2
mother,2
game,2
recognition,2
poem,2
college,2
measure,2
flat,2
literature,2
kick,2
wilderness,2
customer,2
ball,2
part,2
habit,2
experience,2
reward,2
worth,2
infant,2
name,2
slot,2
source,2
return,2
grip,2
house,2
shock,2
act,2
mind,2
officer,2
irritation,2
payment,2
nature,2
plan,2
primate,2
orange,2
affair,2
stage,2
position,2
hull,2
person,2
shot,2
chimp,2
room,2
bellhop,2
avrohom,2
envelope,2
portion,2
menu,2
angle,2
fight,2
complex,2
expert,2
oil,2
black,2
baby,2
team,2
sharpen,2
intellectual,2
transfer,2
service,2
force,2
sum,2
division,2
true,2
color,2
root,2
suspect,1
strand,1
biology,1
alimentary,1
sister,1
drug,1
powder,1
society,1
user,1
follow-up,1
beginner,1
massage,1
clearing,1
specification,1
nation,1
chest,1
board,1
card,1
declaration,1
gummy,1
saint,1
accomplishment,1
tissue,1
blad,1
license,1
sus,1
guard,1
paine,1
quality,1
advice,1
bag,1
back,1
matter,1
comment,1
robe,1
loaf,1
notion,1
out-of-hand,1
one,1
breakfast,1
law,1
section,1
fashion,1
factory,1
meat,1
parallel,1
driveway,1
reception,1
research,1
map,1
parent,1
manager,1
phase,1
be,1
degree,1
stimulation,1
superstar,1
--,1
doctor,1
reality,1
nibble,1
package,1
prove,1
marriage,1
object,1
injustice,1
specific,1
poultry,1
fishing,1
theater,1
wing,1
efficiency,1
warranty,1
squeak,1
element,1
proportion,1
alcohol,1
highway,1
skin,1
distance,1
basket,1
access,1
deeply-rooted,1
lesion,1
diet,1
study,1
process,1
aunt,1
weed,1
male,1
monkey,1
reaction,1
infidel,1
renounce,1
mixture,1
aid,1
bind,1
minimum,1
sorbonne,1
pellet,1
pain,1
hole,1
machine,1
wrong,1
contact,1
grinding,1
glue,1
term,1
doubt,1
knee,1
rat,1
congress,1
piece,1
tenure,1
broiler,1
discussion,1
shape,1
projection,1
scalpel,1
action,1
hang,1
cascade,1
retelling,1
ape,1
order,1
son-in-law,1
hardware,1
speed,1
overall,1
graze,1
refund,1
pilot,1
mba,1
prison,1
comfort,1
creed,1
ratification,1
iz,1
ankle,1
theorise,1
class,1
az,1
deep,1
bevel,1
lap,1
pigtail,1
usda,1
protest,1
assessment,1
whole,1
excess,1
grant,1
organism,1
routine,1
recuperation,1
waste,1
fever,1
library,1
single-engine,1
shed,1
ward,1
airport,1
revenge,1
course,1
bug,1
market,1
kind,1
pack,1
warfare,1
varnish,1
open-housing,1
pride,1
replacement,1
live,1
purchase,1
subjection,1
conference,1
insurance,1
final,1
vacuum,1
firstrate,1
lawyer,1
number,1
smile,1
navy,1
puritan,1
film,1
post,1
writing,1
executive,1
electric,1
goat,1
hoof,1
coupon,1
move,1
friend,1
product,1
confidence,1
sample,1
red,1
general,1
benzine,1
combat,1
association,1
saw,1
report,1
//,1
hay,1
activity,1
age,1
assertion,1
trust,1
hoe,1
smog,1
boom,1
ability,1
scurvy,1
daughter,1
desire,1
farmer,1
wheelchair,1
field,1
value-laden,1
grasp,1
meaning,1
pleasure,1
stuff,1
test,1
crop,1
file,1
direction,1
