lemma,count
hand,10
"",7
service,7
resistance,7
assistance,5
word,5
arm,4
proof,3
heart,3
lord,3
child,3
reward,3
prayer,3
affront,2
heaven,2
other,2
landlord,2
faith,2
incense,2
altar,2
prize,2
people,2
point,2
homage,2
capt,2
inducement,2
aid,2
lover,2
seat,2
defense,2
opposition,2
usage,2
man,2
portion,2
prospect,2
reason,2
life,2
country,2
term,2
pardon,2
opportunity,2
consolation,2
horse,2
release,2
condolence,1
woman,1
insult,1
dod,1
god,1
sister,1
rudeness,1
foot,1
captive,1
brace,1
vow,1
shrine,1
candidate,1
invitation,1
world,1
nation,1
cravat,1
cowardice,1
person,1
form,1
obstacle,1
adle,1
sprite,1
command,1
sex,1
love,1
situation,1
glass,1
treachery,1
admiral,1
priest,1
gaze,1
parent,1
affirmative,1
snipe,1
use,1
condition,1
objection,1
bank,1
apology,1
choice,1
angel,1
wonder,1
husband,1
blemish,1
time-worn,1
libation,1
spot,1
turn,1
devotion,1
exhibition,1
answer,1
advocate,1
is't,1
marriage,1
omission,1
pledge,1
wage,1
battle,1
balance,1
sweet,1
counsel,1
ground,1
elder,1
accommodation,1
expense,1
vision,1
fork,1
protection,1
corsair,1
parole,1
rent,1
guide,1
selection,1
violence,1
power,1
note,1
sword-hilt,1
hostess,1
employment,1
bounce,1
outrage,1
mahomet,1
acceptance,1
master,1
butter,1
sash,1
wood,1
house,1
commendation,1
return,1
tenant,1
assault,1
thing,1
sale,1
pill,1
security,1
scruple,1
thanksgiving,1
collection,1
engraving,1
bottle,1
sympathy,1
kingdom,1
son,1
advantage,1
pound,1
civility,1
asylum,1
money,1
family,1
partner,1
kindness,1
head,1
stop,1
resignation,1
friendship,1
cheer,1
patronage,1
explanation,1
destiny,1
interview,1
compliment,1
antidote,1
competition,1
epithalamium,1
kind,1
pride,1
humiliation,1
pigment,1
occasion,1
offer,1
lowliness,1
praise,1
hat,1
passage,1
terms,1
movement,1
imitation,1
remark,1
respect,1
taker,1
friend,1
flood,1
victim,1
solution,1
disdain,1
crown,1
double,1
music,1
mother,1
embrace,1
spirit,1
daughter,1
sacrifice,1
cause,1
moment,1
furtherance,1
invalid,1
neighbor,1
rise,1
pen,1
self-sacrifice,1
draught,1
extenuation,1
charge,1
chicken,1
wagon,1
kiss,1
offense,1
rope,1
sacrilege,1
sky,1
stone,1
freedom,1
finger,1
girl,1
imagination,1
injury,1
sin,1
pomegranate,1
waggon,1
enrolment,1
secretary,1
sword,1
royalist,1
anger,1
charm,1
liberty,1
plate,1
road,1
