lemma,count
hope,8
help,8
job,8
opportunity,6
evidence,6
seat,5
work,5
man,5
service,5
"",5
--,4
example,4
suggestion,4
chance,4
policy,4
place,4
prospect,3
advice,3
course,3
program,3
sale,3
advancement,3
public,3
choice,3
education,3
reason,3
way,3
argument,3
use,3
problem,3
alternative,3
bowl,3
promise,3
troop,3
girl,3
peace,3
committee,2
individual,2
management,2
proof,2
clue,2
bill,2
answer,2
danger,2
ally,2
satisfaction,2
flight,2
assistance,2
advantage,2
label,2
country,2
grocery,2
theory,2
rule,2
money,2
home,2
bend,2
air,2
rental,2
college,2
support,2
german,2
number,2
people,2
master,2
explanation,2
model,2
gift,2
scholarship,2
target,2
prayer,2
chief,2
combination,2
position,2
bus,2
share,2
movie,2
member,2
cash,2
staple,2
lead,2
security,2
solution,2
picture,2
bridge,2
price,2
feature,2
industry,2
major,2
information,2
benefit,2
opposition,2
career,2
change,2
fact,2
guidance,2
bottle,2
training,2
resolution,2
broadcast,2
formula,2
pax,1
treaty,1
tenant,1
countryman,1
vial,1
entertainment,1
privacy,1
difficulty,1
adjustment,1
route,1
major-league,1
collection,1
con,1
mankind,1
son,1
rehabilitation,1
driver,1
sampling,1
asylum,1
niche,1
argentine,1
experiment,1
coast,1
commission,1
head,1
type,1
salvation,1
friendship,1
resignation,1
trustee,1
advance,1
correspondence,1
consolation,1
mass,1
reader,1
stern,1
verdict,1
lunch,1
pope,1
school,1
space,1
pact,1
interest,1
competition,1
fate,1
advertiser,1
market,1
recognition,1
kind,1
slogan,1
criminal,1
live,1
original,1
conference,1
vacuum,1
reconciliation,1
salomon,1
youngster,1
language,1
navy,1
pressure,1
scandal,1
horn,1
hat,1
write,1
post,1
match,1
land,1
physical-therapy,1
victim,1
friend,1
painting,1
french,1
product,1
sample,1
government,1
prize,1
vice,1
oil,1
capital,1
escape,1
resistance,1
bunch,1
magazine,1
trinket,1
shoot,1
trader,1
army,1
remnant,1
dominion,1
unmentionable,1
expectation,1
misapprehension,1
barnard,1
wage,1
finletter,1
crack,1
assistant,1
lecture,1
union,1
version,1
view,1
milkman,1
errant,1
navigation,1
longans,1
communion,1
dichotomy,1
club,1
threat,1
schoolhouse,1
employee,1
facility,1
straw,1
key,1
proposal,1
source,1
introduction,1
oral,1
personality,1
broadway,1
nature,1
possibility,1
leadership,1
portion,1
guest,1
conjecture,1
trip,1
recruit,1
mid-west,1
substitute,1
freedom,1
cigarette,1
care,1
editor,1
habe,1
disarmament,1
atom-bomb,1
investment,1
ware,1
strike,1
speculation,1
book,1
testimony,1
heart,1
sub,1
faith,1
approach,1
republican,1
brother,1
plate,1
rubber,1
fan,1
ticket,1
shelter,1
delicacy,1
definition,1
fellowship,1
clean,1
reward,1
drop-off,1
communist,1
world,1
sovereignty,1
candidate,1
demonstration,1
fascism,1
nation,1
courts-martial,1
eye,1
basis,1
blackmail,1
credit,1
addition,1
option,1
hemisphere,1
growth,1
law,1
grin,1
congregation,1
baseball,1
evil,1
concrete,1
communism,1
institution,1
equity,1
criticism,1
rheumatoid,1
mencken,1
manager,1
allowance,1
apology,1
tour,1
amendment,1
material,1
housing,1
marriage,1
reform,1
sweet,1
casino,1
variety,1
cook,1
admiralty,1
bid,1
scapegoat,1
cross,1
viewer,1
press,1
schoolchild,1
amnesty,1
american,1
soldier,1
aid,1
rice,1
interruption,1
minimum,1
machine,1
concert,1
fellow,1
knee,1
house,1
coffee,1
below-market,1
hardship,1
festival,1
centration,1
saving,1
telephone,1
payment,1
prosecution,1
thing,1
stage,1
woolens,1
hint,1
order,1
distinction,1
platform,1
comfort,1
purse,1
baby,1
curriculum,1
partisan,1
league,1
impression,1
trusteeship,1
tip,1
plain,1
alliance,1
rainbow,1
bribe,1
standard,1
excess,1
grant,1
jazz,1
surrealism,1
group,1
pull,1
groan,1
glamour,1
status,1
warning,1
account,1
spirit,1
athlete,1
enlistment,1
china,1
cause,1
americana,1
knowledge,1
dividend,1
customer,1
go,1
listener,1
japanese,1
gourd,1
part,1
story,1
trouble,1
sponsor,1
stack,1
charge,1
side-line,1
pleasure,1
documentary,1
university,1
crop,1
wash,1
oscar,1
victory,1
history,1
author,1
lady,1
censer,1
fund,1
secretary,1
finance,1
cooperation,1
name,1
chlorophyll,1
state,1
cleanliness,1
scenario,1
airline,1
nationalist,1
woman,1
preparation,1
boulting,1
nomination,1
ini,1
sterling,1
parade,1
loan,1
dealer,1
copy,1
comedy,1
junta,1
concept,1
sermon,1
plan,1
variation,1
bebop,1
player,1
speaker,1
reinstatement,1
defendant,1
store,1
investor,1
milk,1
orchestra,1
performance,1
science,1
council,1
sales,1
magic,1
porter,1
expert,1
case,1
socialism,1
physician,1
box,1
coverage,1
protection,1
ride,1
plastic,1
concession,1
automobile,1
struggle,1
page,1
otway,1
congratulation,1
territory,1
note,1
engineer,1
minister,1
adult,1
character,1
bathroom,1
interior,1
food,1
