lemma,count
end,29
hand,22
operation,15
"",12
place,10
money,9
question,8
head,8
use,8
test,7
stop,7
force,7
case,6
word,6
effect,6
work,6
right,6
way,6
man,5
power,5
position,5
office,5
house,5
trust,5
public,5
system,5
practice,5
matter,4
tariff,4
book,4
form,4
list,4
measure,4
sea,4
execution,4
death,4
church,4
foot,4
sale,4
party,4
company,4
price,4
candidate,4
security,4
number,4
bed,4
mouth,4
water,4
arm,4
reform,3
spirit,3
government,3
gown,3
whole,3
fact,3
mind,3
finger,3
mean,3
sword,3
name,3
state,3
rank,3
receiver,3
coal,3
people,3
reach,3
industry,3
production,3
saving,3
ear,3
motion,3
order,3
claim,3
record,3
other,2
faith,2
official,2
face,2
crispi,2
act,2
window,2
city,2
life,2
floor,2
republican,2
instruction,2
level,2
road,2
burden,2
vote,2
stamp,2
mine,2
race,2
shape,2
proof,2
rear,2
line,2
thing,2
heaven,2
society,2
air,2
king,2
leisler,2
ground,2
world,2
nation,2
trial,2
baby,2
basis,2
rug,2
wine,2
energy,2
class,2
smell,2
credit,2
glass,2
back,2
edge,2
policy,2
horse,2
curtain,2
attitude,2
command,2
troop,2
cap,2
canvas,2
section,2
market,2
sell,2
rulership,2
law,2
ball,2
page,2
theory,2
duty,2
pocket,2
fire,2
parallel,2
branch,2
war,2
deck,2
side,2
shelf,2
premium,2
ballot,2
canteen,2
language,2
hell,2
evidence,2
condition,2
pressure,2
column,2
railroad,2
cause,2
army,2
existence,2
assurance,2
child,2
dress,2
effort,2
atom,2
body,2
attempt,2
resource,2
appearance,2
problem,2
paper,2
part,2
self,2
point,2
heart,2
vice,2
oil,2
blame,2
arrangement,1
chief,1
occupation,1
proposal,1
corruption,1
abstraction,1
muscle,1
wire-controlled,1
shaving,1
feel,1
neighbor,1
wire,1
lie,1
disturber,1
aspect,1
laborer,1
corps,1
picture,1
blood,1
heine,1
ray,1
seal,1
ration,1
chop,1
dish,1
freedom,1
barbary,1
peril,1
confusion,1
reason,1
employer,1
auditor,1
half,1
population,1
demand,1
plough,1
sin,1
testimony,1
mill,1
slip,1
dilemma,1
triple,1
motive,1
trump,1
gambling,1
court,1
sentry,1
management,1
brother,1
quarry,1
refinery,1
ticket,1
shelter,1
self-support,1
cooler,1
isthmus,1
sister,1
preach,1
adversary,1
disposal,1
reservoir,1
uniform,1
card,1
freedmen,1
till,1
carne,1
iess,1
quality,1
guard,1
bag,1
obstacle,1
epistemology,1
of'the,1
respectability,1
restraint,1
pedagogue,1
robe,1
chain,1
prospectus,1
tor,1
stand,1
clay,1
queer,1
gift,1
congregation,1
strength,1
fashion,1
stocking,1
factory,1
institution,1
administration,1
possession,1
shoe,1
outbreak,1
cut,1
wealth,1
english,1
vault,1
mettle,1
project,1
midst,1
devotion,1
manner,1
reality,1
profit,1
historian,1
leader,1
gloss,1
package,1
timber,1
manufacture,1
cheek,1
defeat,1
balance,1
pant,1
sweet,1
sty,1
light,1
police,1
proceeding,1
mormon,1
scheme,1
linen,1
paradise,1
rebel,1
process,1
study,1
wall,1
repentance,1
surety,1
band,1
idea,1
federation,1
folk,1
brake,1
unsatisfying,1
soldier,1
kidney,1
bar,1
wrong,1
fellow,1
rebellion,1
lack,1
caucus,1
training,1
rat,1
congress,1
merchandise,1
discussion,1
crisis,1
republic,1
action,1
amount,1
veto,1
relation,1
son-in-law,1
harness,1
platform,1
plebeian,1
application,1
swing,1
deposit,1
prison,1
faculty,1
chip,1
advantage,1
purse,1
jeopardy,1
homestead,1
fallacy,1
steamship,1
alliance,1
labor,1
wrapper,1
standard,1
job,1
senate,1
color,1
moral,1
waste,1
ship,1
explanation,1
disapproval,1
member,1
corsage,1
import,1
interest,1
competition,1
formalin,1
hearth,1
nonsense,1
bos,1
hoard,1
thought,1
insurance,1
lawyer,1
weakness,1
writer,1
write,1
film,1
post,1
charter,1
attorney,1
bribery,1
executive,1
chic,1
drop,1
operator,1
silver,1
cart,1
auction,1
pretension,1
product,1
prize,1
capacity,1
neglect,1
choice,1
coil,1
report,1
owner,1
socialist,1
hope,1
activity,1
business,1
mare,1
fleet,1
instrument,1
honor,1
manual,1
secret,1
game,1
figure,1
union,1
friary,1
view,1
delegate,1
silk,1
farmer,1
mitral,1
field,1
justice,1
citizen,1
inconvenience,1
trouble,1
value,1
island,1
photography,1
charge,1
wino,1
puppet,1
heel,1
proposition,1
mildness,1
boat,1
direction,1
fund,1
table,1
steeple,1
development,1
mode,1
gallery,1
treasury,1
drawing,1
vigor,1
countenance,1
bead,1
slave-trade,1
witness,1
pitiful,1
inside,1
excuse,1
merit,1
lycee,1
gardening,1
country,1
plan,1
model,1
principal,1
shaman,1
track,1
improvement,1
bottom,1
ladder,1
leg,1
preconception,1
lot,1
index,1
preacher,1
sort,1
combination,1
ministry,1
citron,1
pen,1
officiousness,1
acid,1
boer,1
arquebus,1
fist,1
rock,1
oath,1
stone,1
jail,1
rule,1
umpire,1
friar,1
watering,1
tack,1
secretary,1
tree,1
label,1
cleanliness,1
methodist,1
sight,1
deadlock,1
prism,1
difference,1
leaf,1
graft,1
frock,1
fraud,1
louse,1
reporter,1
agitation,1
peech,1
sink,1
ordinance,1
will,1
copy,1
dynasty,1
education,1
rival,1
make,1
calm,1
change,1
committee,1
brutality,1
bread,1
recreation,1
regicide,1
nose,1
negotiation,1
depositor,1
catechism,1
gold,1
tax,1
building,1
competitor,1
plea,1
vagrant,1
teacher,1
wheel,1
painter,1
pantry,1
earnings,1
hurry,1
complication,1
team,1
salt,1
gondola,1
bill,1
enmity,1
danger,1
panic,1
knife,1
influence,1
wheel-horse,1
gauge,1
character,1
article,1
date,1
district,1
butter,1
cartridge,1
disadvantage,1
construction,1
compromise,1
inertia,1
manufacturing,1
contest,1
paw,1
front,1
treatment,1
structure,1
intellectual,1
newspaper,1
fore,1
ban,1
certainty,1
closet,1
hook,1
bottle,1
service,1
play,1
knot,1
opponent,1
pound,1
gun,1
mission,1
shoulder,1
coast,1
pirate,1
commission,1
voter,1
boy,1
rate,1
miner,1
vice-president,1
issue,1
block,1
wedge,1
commerce,1
check,1
infinity,1
imperialists,1
publisher,1
strait,1
rest,1
signature,1
genius,1
secessionist,1
estate,1
progenitor,1
toy,1
tennesseeans,1
coat,1
waist,1
consequence,1
sigh,1
art,1
centre,1
ambition,1
chancellery,1
wheat,1
grave,1
negro,1
reconstruction,1
exactitude,1
obligation,1
arbitration,1
yachting,1
bridge,1
cup,1
benefit,1
capital,1
magazine,1
shoot,1
husband,1
contract,1
pape,1
species,1
memory,1
legislation,1
telepathy,1
period,1
answer,1
poster,1
defense,1
tablet,1
patience,1
german,1
row,1
representative,1
