lemma,count
hand,134
arm,43
pocket,38
head,28
table,27
question,24
hat,22
shoulder,21
thing,17
coat,16
finger,15
bed,15
"",13
foot,13
chair,12
back,12
boy,11
glass,11
paper,11
end,10
place,10
face,9
fire,9
money,9
way,9
light,9
water,9
box,8
name,8
right,8
envelope,8
flower,7
tray,7
mouth,7
idea,7
door,6
appearance,6
floor,6
horse,6
run,6
hole,6
heart,6
clothes,6
neck,6
cloak,5
word,5
eye,5
letter,5
fight,5
patsy,5
stove,5
mine,5
man,5
diamond,5
air,5
test,5
shoe,4
lip,4
rose,4
desk,4
mind,4
fellow,4
guard,4
train,4
gun,4
basket,4
wheel,4
other,4
coffee,4
order,4
couple,4
bag,4
work,4
cheek,4
motion,4
log,3
flight,3
chest,3
handcuff,3
knee,3
piece,3
house,3
death,3
sea,3
shape,3
scale,3
fork,3
room,3
book,3
lantern,3
exit,3
kettle,3
violet,3
handkerchief,3
slipper,3
rope,3
mother,3
edge,3
hood,3
practice,3
saddle,3
bullet,3
ground,3
purpose,3
think,3
ring,3
shelf,3
clock,3
emphasis,3
dress,3
strength,3
strain,3
woman,3
meat,3
candle,3
grave,3
bank,3
pillow,3
ear,3
address,2
ice,2
revolver,2
raisin,2
bug,2
spur,2
kind,2
elbow,2
stick,2
fairy,2
sail,2
nut,2
capture,2
people,2
it,2
craft,2
mettle,2
mask,2
iron,2
prudence,2
friend,2
father,2
illustration,2
turkey,2
soul,2
safe,2
soup,2
felicia,2
bowl,2
hope,2
watch,2
balance,2
scout,2
plate,2
business,2
turn,2
body,2
front,2
cover,2
braid,2
bread,2
cook,2
price,2
energy,2
dog,2
cross,2
pistol,2
distance,2
closet,2
bottle,2
pedestal,2
storage,2
thorn,2
cap,2
dear,2
charge,2
pipe,2
dunk,2
case,2
volume,2
caliban,2
countenance,2
stone,2
rabbit,2
tiller,2
bridle,2
drink,2
pair,2
nose,2
walk,2
card,2
model,2
japanese,2
judge,2
cloth,2
platter,2
life,2
sign,2
lot,2
sofa,2
gentleman,2
aquarium,2
veil,2
pot,2
bill,2
dolly,2
school,2
cavallini,2
breast,2
notion,2
trial,2
coal,2
purse,2
trim,2
shield,2
cage,2
chapter,2
knife,2
church,2
dish,2
stock,2
babiche,2
vase,2
child,2
waist,2
stop,2
star,2
napkin,2
half,2
throat,2
check,2
stocking,2
sew,2
trunk,2
tooth,2
lick,2
alarm,2
fish,2
ship,2
hall,2
husband,2
greaser,1
map,1
position,1
irony,1
barrier,1
use,1
shirt,1
jet,1
sun,1
herd,1
emotion,1
dot,1
thumb,1
project,1
anxiety,1
doctor,1
sentence,1
vessel,1
package,1
breach,1
cupboard,1
significance,1
squatter,1
sos,1
battle,1
mast,1
legislature,1
porch,1
fishing,1
you,1
cot,1
heathen,1
pan,1
brandin,1
scheme,1
cellar,1
shell,1
rack,1
dryness,1
power,1
lark,1
fox,1
wall,1
rosan,1
uncle,1
monkey,1
hos,1
kerosene,1
pon,1
folk,1
drill,1
rickity,1
soldier,1
veteran,1
settle,1
salver,1
wrong,1
annoyance,1
parlor,1
boarding,1
talk,1
term,1
size,1
curl,1
pier,1
telephone,1
proof,1
weight,1
paces,1
action,1
pillowcase,1
heaven,1
ricard,1
maman,1
bayonet,1
pill,1
grasshopper,1
shot,1
harness,1
overall,1
quandary,1
swing,1
waistcoat,1
buttonhole,1
earring,1
muzzle,1
pedal,1
baby,1
rein,1
mend,1
devil,1
frill,1
receiver,1
impression,1
load,1
bower,1
buoy,1
tip,1
tang,1
partner,1
job,1
suggestion,1
islander,1
sensation,1
gamy,1
visitin,1
sedition,1
armor,1
fastening,1
button,1
cherry,1
needle,1
stern,1
ichneumon,1
kitchen,1
chance,1
canvas,1
friant,1
nickel,1
pack,1
pride,1
nonsense,1
baby-sister,1
criminal,1
purchase,1
live,1
gardener,1
lampshade,1
number,1
academy,1
shawl,1
bird,1
mortar,1
trifle,1
dimple,1
firearm,1
post,1
bin,1
side,1
touch,1
jewel-case,1
diantha,1
red,1
dirt,1
strengthen,1
pocketbook,1
condition,1
bunch,1
resistance,1
thimble,1
meet,1
abandonment,1
dark,1
cab,1
lad,1
remnant,1
war-paint,1
text,1
repair,1
rail,1
canoe,1
honor,1
bud,1
palm,1
handle,1
game,1
torture,1
rod,1
egg,1
mockery,1
sugar,1
ability,1
anvil,1
archduchesses,1
apron,1
property,1
lord,1
compartment,1
music,1
bedding,1
farmer,1
liddle,1
field,1
heave,1
car,1
well,1
story,1
trouble,1
arrest,1
island,1
dwelling,1
boat,1
fullness,1
concertina,1
ad,1
express,1
drawing,1
hold-up,1
trouser,1
sheepskin,1
responsibility,1
bobo,1
armour,1
rectory,1
interpretation,1
scarf,1
inside,1
coverlet,1
nickey,1
quilt,1
envy,1
arrogance,1
bond,1
receptacle,1
parsons,1
level,1
cold,1
sphere,1
im,1
ead,1
trick,1
jug,1
chime,1
track,1
maka,1
necklace,1
task,1
bottom,1
flier,1
program,1
carol,1
becket,1
autograph,1
sort,1
limousine,1
window,1
sheet,1
deal,1
page,1
signal,1
dining-table,1
gizzard,1
lavender,1
note,1
love-letter,1
shake,1
lock,1
aim,1
steam,1
rain,1
article,1
butter,1
dressing,1
invisibility,1
flat-topped,1
muff,1
sleeper,1
kit,1
scalawag,1
display,1
commission,1
shadow,1
cotton,1
joy,1
meeting,1
scene,1
bundle,1
reef,1
belt,1
line,1
flipper,1
sideboard,1
shure,1
public,1
wolf,1
intentness,1
match,1
damper,1
land,1
obligation,1
look,1
lump,1
licorice,1
mademoiselle,1
center,1
go,1
muslin,1
flannel,1
weather,1
bureau,1
storeroom,1
yarn,1
jail,1
isinglass,1
madeline,1
flute,1
stirrup,1
supper,1
artesian,1
runner,1
grate,1
leaf,1
blue,1
frock,1
bucket,1
joke,1
knitting,1
grade,1
suit,1
oven,1
dishonesty,1
wrap,1
limbo,1
flour,1
invention,1
meter,1
mirror,1
carpet-sweeper,1
ease,1
accent,1
skid,1
deck,1
bracelet,1
settee,1
banjo,1
milk,1
blink,1
boil,1
speech,1
gold,1
dressing-gown,1
boatman,1
tin,1
dose,1
missionary,1
thim,1
pitcher,1
carmencita,1
cushion,1
alee,1
tarp,1
firm,1
team,1
piano,1
grimes,1
foreboding,1
gymnasium,1
danger,1
tough,1
sock,1
rouge,1
being,1
clod,1
master,1
giminy,1
wood,1
construction,1
blaze,1
p.-a,1
pasture,1
shaft,1
scruple,1
akimbo,1
ammonia,1
bandage,1
drawer,1
chap,1
kedge,1
stroke,1
coin,1
soup-bowl,1
boot,1
sham,1
doll,1
penrod,1
cuckoo,1
risingi,1
overshoe,1
guilt,1
curtain,1
signature,1
flag,1
lenox,1
sloop,1
wedding,1
beginning,1
wallet,1
sir,1
painting,1
fly,1
magazine,1
chair-back,1
camphor,1
cane,1
trainin,1
top,1
miss,1
lace,1
brow,1
gander,1
row,1
club,1
cactus,1
down,1
attention,1
storm,1
song,1
ox,1
subject,1
code,1
corn,1
duty,1
wheedler,1
premium,1
vinegar,1
ebenezer,1
prussian,1
household,1
pasteboard,1
knot-hole,1
picture,1
blood,1
chicken,1
trip,1
wagon,1
sheep,1
tub,1
talent,1
ration,1
thieving,1
item,1
middle,1
bluff,1
schoolmate,1
grille,1
collar,1
roof,1
vein,1
latch,1
carriage,1
mammy,1
wand,1
gown,1
convalesce,1
costume,1
romance,1
garment,1
sword,1
etheridge,1
lak,1
slice,1
more'n,1
rank,1
plunder,1
photograph,1
show,1
convention,1
choir,1
brute,1
dinner,1
road,1
rubber,1
gridiron,1
fan,1
spike,1
grunt,1
peg,1
feeler,1
anchor,1
powder,1
society,1
pin,1
bavarian,1
succession,1
bee,1
josh,1
hair,1
come,1
tongue,1
temper,1
feather,1
capsule,1
candidate,1
world,1
distress,1
board,1
grip,1
fear,1
basis,1
ud,1
fast-riding,1
till,1
telegram,1
campagne,1
spring,1
matter,1
tickle,1
addition,1
restraint,1
tent,1
robe,1
goggle,1
loaf,1
ribbon,1
reach,1
thanks,1
love,1
runnin,1
stand,1
situation,1
kibosh,1
urgency,1
post-script,1
knit,1
message,1
tentacle,1
baseball,1
enchanter,1
concrete,1
steak,1
disappearance,1
ostrander,1
prayer,1
fire-place,1
