lemma,count
end,17
piece,12
place,11
way,10
"",10
surface,8
word,8
effort,7
money,7
thing,7
hand,7
use,7
strip,7
back,6
work,6
perspective,6
test,6
people,6
pressure,5
air,5
practice,5
fire,5
side,5
strength,5
position,5
part,5
front,5
finger,5
effect,5
mask,5
stress,4
table,4
death,4
plastic,4
service,4
mind,4
person,4
writing,4
wood,4
kid,4
conflict,4
frame,4
problem,4
public,4
hold,4
risk,4
stop,4
arm,4
show,4
prison,3
form,3
finance,3
toy,3
argument,3
man,3
war,3
case,3
bill,3
animal,3
number,3
book,3
heart,3
capital,3
other,3
face,3
green,3
head,3
bottom,3
screw,3
defense,3
seat,3
power,3
peg,3
male,3
idea,3
right,3
block,3
mouth,3
line,3
development,3
express,3
house,3
stamp,3
weight,3
neck,3
action,3
list,3
matter,3
policy,3
flight,2
bear,2
market,2
shape,2
plant,2
sea,2
observation,2
handle,2
process,2
motion,2
college,2
plan,2
life,2
band,2
stink,2
soul,2
quality,2
foot,2
lemon,2
inheritance,2
construction,2
strain,2
hinge,2
blanket,2
huck,2
footing,2
revolt,2
picture,2
value,2
square,2
chain,2
vacation,2
exchange,2
hunt,2
protection,2
enchantment,2
history,2
need,2
term,2
family,2
root,2
oil,2
washer,2
background,2
point,2
state,2
stage,2
recommendation,2
government,2
testimony,2
emphasis,2
ad,2
strategy,2
food,2
company,2
past,2
home,2
eye,2
context,2
mail,2
prose,2
angel,2
relationship,2
plane,2
obligation,2
price,2
kind,2
horse,2
//,2
management,2
propaganda,1
lid,1
conclusion,1
fry,1
rendering,1
ground,1
conception,1
opportunity,1
energy,1
representative,1
lineament,1
butterfly,1
arrangement,1
mother,1
attention,1
muscle,1
fun,1
slot,1
moment,1
feel,1
locality,1
electronics,1
doubling,1
community,1
premium,1
inquiry,1
blood,1
trip,1
door,1
tub,1
existence,1
cabinet,1
vase,1
dining,1
child,1
venture,1
collar,1
mike,1
reason,1
emptiness,1
roof,1
fish,1
assembly,1
basement,1
investment,1
resource,1
strike,1
publication,1
supervisor,1
representation,1
slip,1
shuttle,1
emitter,1
tendency,1
italian,1
court,1
grizzly,1
road,1
limit,1
dog,1
national,1
disposal,1
obsession,1
succession,1
round,1
paint,1
uniform,1
world,1
sticker,1
candidate,1
pair,1
card,1
fear,1
basis,1
monitoring,1
salary,1
telegram,1
postman,1
pencil,1
economy,1
command,1
growth,1
situation,1
section,1
blade,1
message,1
gift,1
jealousy,1
evil,1
weld,1
mix-and-match,1
daily,1
ceiling,1
equity,1
maintenance,1
turpentine,1
championship,1
research,1
peak,1
map,1
barrier,1
shoe,1
purpose,1
female,1
shelf,1
mercy,1
cut,1
heater,1
herd,1
quotation,1
flower,1
decision,1
priority,1
soil,1
reality,1
advocate,1
leader,1
warden,1
package,1
housing,1
sound,1
memoir,1
marriage,1
batch,1
object,1
outlay,1
wreath,1
body,1
mattress,1
promethean,1
tipper,1
variety,1
paper,1
statement,1
forger,1
beer,1
self,1
modification,1
distance,1
string,1
religion,1
blame,1
weed,1
condor,1
set,1
flat,1
brake,1
official,1
waterfowl,1
election,1
ling,1
hole,1
minimum,1
machine,1
connotation,1
glue,1
advertising,1
crossbar,1
glove,1
discussion,1
suitcase,1
withdrawal,1
telephone,1
proof,1
paces,1
amount,1
order,1
cattle,1
gentleman,1
reverse,1
