lemma,count
"",24
letter,19
name,11
instruction,10
intelligence,10
attention,10
honor,8
stipend,7
answer,7
news,7
man,7
notice,6
order,6
account,6
word,6
testimony,6
subject,5
truth,5
wound,5
benefit,5
supply,5
wind,5
return,5
invitation,5
information,5
salary,5
idea,4
approbation,4
king,4
degree,4
pay,4
advantage,4
crown,4
law,4
opinion,4
melancholy,3
senate,3
fulfilment,3
society,3
compensation,3
knowledge,3
light,3
favour,3
power,3
spirit,3
aid,3
impression,3
gift,3
ambassador,3
water,3
kind,3
hand,3
joy,3
/z/,3
grace,3
dear,3
present,3
movement,3
portion,3
note,3
bounty,3
el,3
money,3
baptism,3
support,3
christian,3
river,3
general,3
pupil,2
capture,2
stream,2
way,2
army,2
mark,2
business,2
direction,2
respect,2
friend,2
excellency,2
protection,2
command,2
thanks,2
period,2
favor,2
militia,2
wife,2
fund,2
glory,2
homage,2
denomination,2
union,2
college,2
mercy,2
improvement,2
vision,2
attendance,2
--,2
revelation,2
father,2
force,2
commission,2
ammunition,2
statement,2
duty,2
token,2
accession,2
confirmation,2
prince,2
life,2
call,2
charge,2
gold,2
influence,2
science,2
boarding,2
fact,2
state,2
congress,2
reason,2
thing,2
tiding,2
president,2
book,2
master,2
distinction,2
event,2
application,2
character,2
learning,2
provision,2
admonition,2
construction,2
form,2
brother,2
share,2
sensation,2
visit,2
sister,2
death,2
church,2
reward,2
sum,2
strain,2
lord,2
captain,2
world,2
treatment,2
estate,1
public,1
theory,1
coat,1
progress,1
reply,1
consequence,1
saviour,1
hydra,1
image,1
address,1
compliance,1
architrave,1
government,1
reproof,1
crossing,1
oil,1
intimation,1
guidance,1
stripe,1
report,1
owner,1
face,1
prudence,1
assertion,1
species,1
race,1
expectation,1
ingratitude,1
assistance,1
system,1
soul,1
counsel,1
view,1
mony,1
rebound,1
fervor,1
culture,1
applicant,1
consent,1
embrace,1
need,1
source,1
tributary,1
throne,1
lip,1
community,1
bible,1
title,1
guest,1
entreaty,1
marques,1
recruit,1
evidence,1
talent,1
thickness,1
survey,1
child,1
dismay,1
wish,1
roof,1
accuracy,1
composure,1
civi,1
sin,1
hostage,1
other,1
spread,1
better,1
farewell,1
allotment,1
count,1
adversity,1
liberty,1
boon,1
alfaqui,1
attack,1
desert,1
sect,1
woollen,1
satisfaction,1
celebration,1
fellowship,1
powder,1
lash,1
communicant,1
paint,1
candidate,1
demonstration,1
nation,1
anniversary,1
eye,1
town,1
firmness,1
stranger,1
tenon,1
vassal,1
matter,1
addition,1
love,1
excitement,1
one,1
mortal,1
precept,1
primary,1
strength,1
evil,1
atar,1
complaint,1
enthusiasm,1
sanction,1
equivalent,1
cut,1
english,1
sea,1
decision,1
cavalier,1
manner,1
sentence,1
defeat,1
eleusis,1
battle,1
body,1
egyptian,1
beauty,1
tear,1
loss,1
proceeding,1
paper,1
requirement,1
greek,1
alt,1
tke,1
religion,1
colony,1
blame,1
essence,1
partake,1
fre,1
veteran,1
fable,1
molestation,1
rice,1
experience,1
doubt,1
term,1
festival,1
compact,1
governor,1
plaintiff,1
action,1
perfection,1
heaven,1
relation,1
docility,1
hint,1
rudiment,1
ry,1
comfort,1
lieut,1
refugee,1
providence,1
treasure,1
fallacy,1
seed,1
prima,1
plain,1
standard,1
rite,1
assent,1
whole,1
estimation,1
symbol,1
moorish,1
damage,1
q.-to,1
indian,1
sprit,1
patronage,1
groan,1
nobility,1
consideration,1
understanding,1
import,1
applause,1
nance,1
cast,1
pride,1
function,1
people,1
fire,1
prosperity,1
summary,1
recommendation,1
side,1
peach,1
silver,1
question,1
encomium,1
prize,1
transport,1
wul,1
thersites,1
commonwealth,1
acclamation,1
ceremonial,1
office,1
literature,1
hussar,1
mand,1
commander,1
citizen,1
ki,1
offering,1
constitution,1
value,1
meaning,1
zahara,1
remuneration,1
superior,1
pleasure,1
courage,1
sanctification,1
rule,1
accordance,1
nephew,1
victory,1
arrear,1
combatant,1
valley,1
worshipper,1
knighthood,1
remission,1
channel,1
table,1
breast,1
ancient,1
dogma,1
reproach,1
frequency,1
queen,1
sight,1
add,1
quarter,1
treasury,1
hill,1
insult,1
countenance,1
god,1
witness,1
loan,1
condemnation,1
ordinance,1
copy,1
ash,1
excuse,1
birth,1
skirmish,1
education,1
bahr,1
saying,1
zante,1
bread,1
oth,1
vote,1
palace,1
nose,1
income,1
priest,1
deduction,1
place,1
reluctance,1
shock,1
blessing,1
bank,1
occurrence,1
appeal,1
appointment,1
communication,1
moon,1
stability,1
missionary,1
tax,1
building,1
jew,1
volume,1
silence,1
drainings,1
dismission,1
sheet,1
stamp,1
rent,1
prisoner,1
hebrew,1
widiin,1
deal,1
blow,1
naturalization,1
signal,1
territory,1
translation,1
indignation,1
missive,1
wisdom,1
dispensation,1
muley,1
minister,1
planter,1
being,1
outrage,1
disposition,1
correction,1
of,1
protestant,1
anil,1
messenger,1
persian,1
summons,1
sale,1
destination,1
diploma,1
difficulty,1
room,1
allegation,1
increase,1
kingdom,1
service,1
pound,1
agent,1
mission,1
execration,1
stroke,1
tiian,1
horseman,1
chico,1
afler,1
head,1
gospel,1
quantity,1
meeting,1
resignation,1
artist,1
canonization,1
gratitude,1
doctrine,1
marks,1
