lemma,count
attention,27
"",19
education,14
public,10
salary,9
return,9
vote,8
consideration,8
training,8
money,7
pay,7
wage,6
blow,6
support,5
honor,5
report,5
college,5
letter,5
assurance,4
source,4
share,4
name,4
friend,4
recognition,4
answer,4
general,4
queen,4
order,3
courtesy,3
volunteer,3
shock,3
degree,3
school,3
call,3
volume,3
word,3
offer,3
number,3
income,3
present,3
government,3
commission,3
amount,3
heat,3
benefit,3
university,3
people,3
injury,3
treatment,3
society,3
notice,3
majority,3
press,3
impetus,3
hint,2
sum,2
king,2
lash,2
death,2
reward,2
appliance,2
part,2
trial,2
impression,2
home,2
nation,2
certificate,2
corporation,2
variation,2
quality,2
excavation,2
secondary,2
mine,2
approval,2
protection,2
law,2
interpretation,2
gift,2
message,2
course,2
collection,2
accretion,2
instruction,2
representative,2
sanction,2
service,2
allowance,2
president,2
concession,2
ballot,2
sentence,2
handful,2
academy,2
man,2
body,2
wound,2
note,2
title,2
welcome,2
visit,2
tribute,2
evidence,2
rate,2
minister,2
accession,2
dividend,2
demonstration,2
way,2
aid,2
officer,2
congress,2
house,2
respect,2
court,2
discussion,2
date,2
medal,2
work,2
madras,1
cordiality,1
subvention,1
issue,1
prohibition,1
export,1
explanation,1
member,1
salutation,1
check,1
notification,1
undergraduate,1
understanding,1
compliment,1
pope,1
applause,1
space,1
publisher,1
shout,1
belgian,1
kind,1
parliament,1
surprise,1
petition,1
tricolor,1
subsidy,1
blucher,1
medium,1
reply,1
insurance,1
error,1
sante,1
smile,1
contribution,1
proceed,1
grave,1
torrent,1
post,1
lordship,1
good,1
charter,1
accountant,1
executive,1
land,1
side,1
equal,1
textbook,1
cash,1
widowhood,1
guidance,1
contract,1
army,1
plurality,1
business,1
academie,1
pass,1
assistance,1
ty,1
sabot,1
instrument,1
secret,1
cabin,1
lecture,1
vole,1
caprice,1
union,1
egg,1
opportunity,1
expense,1
sitter,1
deputation,1
german,1
current,1
consent,1
occupation,1
indication,1
impulse,1
publicity,1
personality,1
curiosity,1
feel,1
duty,1
nature,1
treasurer,1
objective,1
politics,1
portion,1
historiographer,1
compensation,1
inquiry,1
bunt,1
existence,1
care,1
half,1
demand,1
bouquet,1
strike,1
book,1
mill,1
representation,1
company,1
flagellation,1
faith,1
rank,1
tendency,1
atmosphere,1
detail,1
show,1
under-secretary,1
republican,1
snyder,1
management,1
plate,1
arm,1
passport,1
plantation,1
storage,1
tenement,1
infection,1
belief,1
honorarium,1
bow,1
invitation,1
stenographer,1
world,1
absolution,1
telegram,1
license,1
spring,1
advice,1
person,1
credit,1
matter,1
addition,1
monthy,1
gratuity,1
wind,1
thanks,1
stand,1
clay,1
primary,1
strength,1
compilation,1
argument,1
criticism,1
authority,1
war,1
tatter,1
purpose,1
bonus,1
taper,1
flower,1
--,1
royalty,1
success,1
railroad,1
profit,1
revelation,1
trapper,1
result,1
significance,1
wireless,1
predecessor,1
subscription,1
light,1
price,1
surrender,1
proportion,1
distance,1
aerial,1
sisal,1
aria,1
major,1
colony,1
power,1
information,1
confirmation,1
band,1
idea,1
election,1
hearty,1
acceptance,1
groom,1
knee,1
reference,1
piece,1
allegiance,1
governor,1
telephone,1
buffalo,1
weight,1
thing,1
region,1
meed,1
refusal,1
relief,1
purse-money,1
student,1
toleration,1
delegation,1
application,1
fee,1
bounty,1
total,1
class,1
partisan,1
setback,1
native,1
brass,1
american,1
packet,1
lord,1
wholesaler,1
music,1
pupil,1
acclamation,1
farmer,1
rebate,1
literature,1
justice,1
hand,1
meaning,1
tsar,1
proposition,1
mandate,1
party,1
biographer,1
author,1
station,1
knighthood,1
lady,1
fund,1
proclamation,1
backing,1
supper,1
secretary,1
designation,1
tradition,1
state,1
hunter,1
nationalist,1
treasury,1
fruit,1
insult,1
remonstrants,1
laughter,1
nomination,1
witness,1
messrs,1
effect,1
suffrage,1
emperor,1
request,1
baptism,1
form,1
make,1
committee,1
country,1
superintendent,1
bonding,1
waterfall,1
lesson,1
response,1
priest,1
milk,1
reluctance,1
vanity,1
blessing,1
fight,1
appointment,1
expert,1
news,1
tax,1
case,1
jew,1
silence,1
expression,1
exhalation,1
box,1
teacher,1
barley,1
stamp,1
rent,1
listen,1
team,1
deal,1
danger,1
cram,1
missive,1
hemp,1
benediction,1
chorus,1
influence,1
master,1
solemnity,1
phenomenon,1
probationer,1
commissioner,1
treaty,1
melancholy,1
church,1
sale,1
room,1
township,1
safety,1
goodwill,1
smattering,1
white,1
play,1
son,1
opponent,1
examination,1
pension,1
jeer,1
populist,1
color,1
token,1
head,1
grant,1
entry,1
life,1
forgiveness,1
damage,1
resignation,1
moral,1
indian,1
