lemma,count
letter,9
news,5
telephone,4
call,4
message,4
order,3
permission,3
instruction,3
offer,2
queen,2
picture,2
tribute,2
answer,2
applause,2
title,2
return,2
sign,2
child,2
state,2
visitor,2
hand,2
share,2
change,2
patent,2
man,2
broadside,1
book,1
favor,1
brain,1
delegation,1
application,1
fiche,1
cable,1
bottle,1
court,1
rein,1
money,1
desk,1
councilor,1
verify,1
net,1
tale,1
seed,1
coin,1
hadji,1
communique,1
head,1
carrot,1
reward,1
worth,1
round,1
foot,1
friendship,1
parade,1
cheer,1
stare,1
line,1
galina,1
intercom,1
nobility,1
grade,1
eye,1
act,1
check,1
phone,1
blackmail,1
copy,1
majesty,1
school,1
ladyship,1
approval,1
canvas,1
birth,1
shout,1
merit,1
death,1
cheers,1
ball,1
help,1
musket,1
buy,1
lawyer,1
pressure,1
gift,1
noble,1
enterprise,1
fire,1
good,1
sir,1
land,1
equity,1
chamber,1
move,1
ill-focused,1
look,1
harm,1
"",1
nefertiti,1
rage,1
report,1
guidance,1
flower,1
council,1
sentence,1
revelation,1
father,1
sliver,1
usage,1
handful,1
breuer,1
defense,1
honor,1
lecture,1
ground,1
salute,1
mockery,1
hand-printed,1
tear,1
minority,1
vision,1
police,1
exchange,1
tape,1
amnesty,1
courtesy,1
liter,1
nod,1
mail,1
word,1
airstrip,1
lord,1
visit,1
attention,1
chief,1
sell,1
justice,1
voto,1
portion,1
stallion,1
ray,1
affection,1
house,1
messenger,1
summons,1
weight,1
stock,1
bouquet,1
newspaper,1
hint,1
railway,1
bruise,1
relief,1
sustenance,1
