lemma,count
"",28
power,10
disposition,9
character,8
thing,8
man,7
fact,7
advantage,6
fruit,5
action,5
doctrine,5
number,5
bunch,5
life,5
condition,4
cause,4
figure,4
writing,4
variety,4
case,4
place,4
chapter,4
history,4
sign,4
danger,4
bear,4
opinion,4
quantity,4
respect,4
boy,3
person,3
animal,3
flower,3
mean,3
crop,3
reason,3
situation,3
writer,3
population,3
object,3
duty,3
principle,3
view,3
force,3
instance,3
profusion,3
other,3
importance,3
favor,3
similarity,3
experiment,3
tendency,3
extent,3
heat,3
difference,3
world,3
circumstance,3
interest,3
ray,3
mercy,3
cotton,3
symptom,3
clearness,2
vine,2
foundation,2
road,2
surplus,2
course,2
live,2
part,2
design,2
example,2
line,2
honesty,2
impatience,2
account,2
right,2
matter,2
notion,2
slave,2
parliament,2
parade,2
chemical,2
theory,2
energy,2
development,2
folly,2
war,2
determination,2
effect,2
substance,2
foliage,2
will,2
revelation,2
structure,2
necessity,2
tax,2
spirit,2
dream,2
light,2
price,2
nature,2
expression,2
proportion,2
form,2
disease,2
drop,2
image,2
unity,2
/z/,2
house,2
size,2
analogy,2
proof,2
apartment,2
amount,2
pound,2
courage,2
violet,2
consciousness,2
change,2
point,2
book,2
general,2
inconsistency,2
plant,2
class,2
impression,2
work,2
labor,2
colour,2
cherry,2
plan,2
knowledge,2
individual,2
error,1
street,1
immorality,1
co,1
flesh,1
majority,1
specimen,1
negro,1
molecule,1
tne,1
farm,1
beginning,1
side,1
earnest,1
obligation,1
question,1
friend,1
traffic,1
government,1
french,1
solution,1
capacity,1
inclination,1
opposition,1
benefit,1
capital,1
wonder,1
stripe,1
acumen,1
sum,1
owner,1
harmony,1
hope,1
shoot,1
scepticism,1
fiction,1
dark,1
continental,1
joint,1
letter,1
age,1
exhibition,1
trust,1
rear,1
human,1
portrait,1
corporation,1
system,1
stall,1
pulpit,1
bud,1
appendix,1
extremity,1
precision,1
ground,1
patience,1
rod,1
ability,1
goodness,1
flavor,1
representative,1
current,1
policy,1
hypothesis,1
rose,1
caution,1
source,1
patriotism,1
subject,1
indication,1
moment,1
operation,1
abridgment,1
hen,1
bulk,1
community,1
bible,1
vantage,1
recklessness,1
picture,1
blood,1
evidence,1
talent,1
existence,1
child,1
estimate,1
emptiness,1
disinclination,1
assembly,1
carriage,1
publication,1
reign,1
representation,1
heart,1
defect,1
conscience,1
faith,1
creator,1
reverence,1
bloom,1
motive,1
dust,1
management,1
arm,1
ornament,1
self-denial,1
satisfaction,1
slavery,1
forbearance,1
passport,1
habit,1
worth,1
come,1
mahometan,1
trafficking,1
temper,1
village,1
accomplishment,1
duke,1
stranger,1
spring,1
bag,1
insufficiency,1
excellency,1
sameness,1
addition,1
sarcasm,1
gleam,1
excitement,1
growth,1
relaxation,1
law,1
monopoly,1
strength,1
evil,1
steadiness,1
phrase,1
institution,1
position,1
lane,1
rosy-purple,1
english,1
degree,1
soil,1
success,1
manner,1
sentence,1
father,1
result,1
sound,1
balance,1
disagreement,1
deference,1
beauty,1
efficiency,1
pamphlet,1
heathen,1
skill,1
distance,1
dignity,1
religion,1
feat,1
idea,1
identity,1
border,1
experience,1
reasoning,1
doubt,1
reference,1
formation,1
lama,1
weight,1
relation,1
gentleness,1
order,1
cultivator,1
king,1
distinction,1
supply,1
want,1
tribe,1
contempt,1
family,1
seed,1
conquest,1
contrary,1
estimation,1
ol,1
waste,1
tension,1
singular,1
wit,1
murillo,1
reader,1
hydrogen,1
margin,1
chance,1
surface,1
market,1
kind,1
orchard,1
warfare,1
pride,1
despair,1
ch,1
agreement,1
scale,1
equality,1
measure,1
metal,1
property,1
confederation,1
desire,1
originality,1
qualification,1
field,1
well,1
hand,1
meaning,1
grape,1
elation,1
way,1
scintillation,1
maggot,1
illustration,1
author,1
direction,1
prejudice,1
lady,1
tree,1
apparel,1
lime,1
sight,1
relative,1
european,1
review,1
vigor,1
taste,1
blossom,1
affinity,1
leaf,1
cover,1
hazard,1
credibility,1
tumuli,1
act,1
copy,1
dishonesty,1
spark,1
diminution,1
death,1
ihe,1
mind,1
duplicity,1
production,1
country,1
variation,1
peculiarity,1
barn,1
ingenuity,1
loyalty,1
emergency,1
pomp,1
animalcule,1
connection,1
prince,1
learn,1
judgment,1
perseverance,1
improbability,1
end,1
particle,1
decrease,1
agriculturist,1
box,1
trace,1
protection,1
vegetable,1
selection,1
violence,1
missal,1
versatility,1
deal,1
valuation,1
wisdom,1
conformity,1
exigency,1
practice,1
home,1
influence,1
climate,1
word,1
calculation,1
texture,1
interior,1
future,1
church,1
readiness,1
lettres,1
contest,1
highwayman,1
imbecility,1
captain,1
regard,1
savage,1
passion,1
certainty,1
stable,1
increase,1
apparatus,1
white,1
kingdom,1
knot,1
noise,1
gun,1
abundance,1
deviation,1
air,1
epithet,1
feeling,1
carbon,1
jar,1
head,1
gratitude,1
retreat,1
advance,1
jig,1
conduct,1
coward,1
terror,1
solicitude,1
mulatto,1
drama,1
debt,1
incorrectness,1
signature,1
tonnage,1
public,1
living,1
progress,1
occasion,1
correctness,1
consequence,1
language,1
