lemma,count
way,17
sign,17
man,14
"",12
money,7
interest,7
door,6
figure,6
thing,6
friend,6
room,6
life,5
letter,5
disposition,5
apartment,5
place,5
giant,4
mercy,4
part,4
fear,4
fight,4
truth,4
people,4
mind,4
power,4
world,4
picture,4
step,3
sense,3
weariness,3
king,3
hope,3
spirit,3
eye,3
tooth,3
countenance,3
feel,3
rascal,3
face,3
heart,3
right,3
paper,3
other,3
bill,3
love,3
state,3
foot,2
air,2
temper,2
virtue,2
feeling,2
union,2
hand,2
head,2
boy,2
stranger,2
alarm,2
grace,2
back,2
respect,2
case,2
wind,2
chance,2
kind,2
pride,2
show,2
red,2
colonel,2
attention,2
chief,2
character,2
need,2
authority,2
general,2
liberal,2
map,2
marks,2
glory,2
will,2
fancy,2
emotion,2
work,2
city,2
girl,2
contrast,2
fagot,2
bible,2
front,2
guest,2
sight,2
blood,2
deference,2
change,2
beauty,2
light,2
evidence,2
public,2
talent,2
indifference,2
feat,2
wall,2
fair,2
hero,2
tenderness,2
country,2
play,2
clothes,2
enemy,2
art,2
experiment,2
soul,2
liking,1
limb,1
treatment,1
newspaper,1
mean,1
favor,1
wrist,1
bottle,1
service,1
ivory,1
mistress,1
civility,1
horseman,1
bundle,1
friendship,1
comrade,1
gratitude,1
fugitive,1
performer,1
mass,1
check,1
march,1
wine,1
school,1
fact,1
terror,1
solicitude,1
debt,1
signature,1
genius,1
cluster,1
estate,1
disturbance,1
isidore,1
toy,1
progress,1
coat,1
occasion,1
delight,1
event,1
tint,1
conversation,1
trap,1
stitch,1
weakness,1
passage,1
noble,1
handbill,1
fire,1
movement,1
workmanship,1
negro,1
elevation,1
hereafter,1
bin,1
sir,1
image,1
pauper,1
question,1
confidence,1
government,1
clergyman,1
descent,1
chinook,1
ardor,1
capacity,1
counterfeit,1
agony,1
bopp,1
disguise,1
heap,1
condition,1
plait,1
neglect,1
sunlight,1
choice,1
scholar,1
isid,1
symptom,1
husband,1
dark,1
age,1
exhibition,1
nigger,1
human,1
text,1
passing,1
race,1
goddess,1
wife,1
scar,1
portrait,1
slave,1
ear,1
top,1
lecture,1
conception,1
mockery,1
brow,1
many-sided,1
pianist,1
expense,1
german,1
theatre,1
sport,1
row,1
troyes,1
new-fashioned,1
list,1
poverty,1
mother,1
storm,1
invasion,1
source,1
ox,1
moment,1
furniture,1
curiosity,1
broadway,1
duty,1
nature,1
lie,1
misery,1
politics,1
harp,1
sandemanians,1
close,1
calf,1
chop,1
scorn,1
think,1
child,1
assembly,1
thoughtfulness,1
imagery,1
discomfort,1
gratification,1
organization,1
sword,1
destroy,1
indentation,1
reverence,1
approach,1
path,1
arm,1
road,1
commonplace,1
hotel,1
passport,1
powder,1
worth,1
come,1
village,1
mouse,1
delaine,1
saint,1
firmness,1
radiance,1
parish,1
person,1
credit,1
exit,1
imogene,1
begin,1
pencil,1
subservient,1
characteristic,1
excitement,1
creature,1
signore,1
strength,1
fashion,1
revolver,1
tempest,1
serenity,1
mystery,1
celebrity,1
pane,1
acquaintance,1
rift,1
use,1
wealth,1
jet,1
be,1
material,1
girlhood,1
project,1
devotion,1
anxiety,1
manner,1
railroad,1
father,1
sound,1
battle,1
shop,1
tear,1
statement,1
hush,1
element,1
scheme,1
cade,1
ruin,1
stateroom,1
repentance,1
set,1
attic,1
soldier,1
veteran,1
pain,1
whip,1
bar,1
mouth,1
parlor,1
term,1
conservatory,1
house,1
piece,1
walk,1
governor,1
proof,1
vicar,1
vestige,1
mummy,1
relation,1
candor,1
regret,1
gentleman,1
cattle,1
bed-chamber,1
foreground,1
assortment,1
answering,1
want,1
daguerreotype,1
independence,1
principle,1
advantage,1
frill,1
absurdity,1
partner,1
figger,1
color,1
prowess,1
group,1
tool,1
explanation,1
wit,1
pity,1
reader,1
library,1
space,1
yoke,1
apparition,1
live,1
american,1
statistics,1
measure,1
preacher,1
music,1
generalization,1
account,1
claw,1
weapon,1
ruler,1
office,1
field,1
epidermis,1
knowledge,1
flannel,1
citizen,1
trouble,1
story,1
gain,1
rock,1
kickshaw,1
insolence,1
sky,1
stone,1
nephew,1
chess,1
wretch,1
meadow,1
luxury,1
isinglass,1
impatience,1
philippa,1
tree,1
suffering,1
happiness,1
philosophy,1
horse-shoe,1
partiality,1
grate,1
it,1
bedroom,1
woman,1
taste,1
blossom,1
rudeness,1
politeness,1
floor,1
glimpse,1
destruction,1
shrine,1
inside,1
double-chinned,1
dealer,1
act,1
sink,1
dishonesty,1
scarlet,1
form,1
education,1
plan,1
bed,1
glass,1
mirror,1
mine,1
companion,1
vindication,1
deed,1
architect,1
improvement,1
store,1
grandeur,1
impudence,1
gaze,1
confection,1
marble,1
reluctance,1
particular,1
judgment,1
paragraph,1
gloom,1
treason,1
greed,1
expression,1
piety,1
sort,1
speak,1
presence,1
window,1
trace,1
protection,1
sheet,1
remain,1
voice,1
earnings,1
deal,1
struggle,1
roman,1
animosity,1
design,1
morality,1
wisdom,1
pig,1
admiration,1
prayer-book,1
master,1
calculation,1
infantry,1
critter,1
mayor,1
traveller,1
willingness,1
readiness,1
