lemma,count
sign,30
business,22
--,21
people,18
"",16
biz,15
support,12
work,10
way,9
woman,9
result,8
man,8
change,7
interest,7
show,7
tv,7
world,7
number,6
coliseum,6
network,6
picture,6
tape,6
film,6
book,6
increase,5
force,5
other,5
effect,5
power,5
american,5
emotion,5
concern,5
comedy,5
thing,5
administration,5
party,5
star,4
television,4
face,4
president,4
opposite,4
evidence,4
pot,4
part,4
movement,4
host,4
tune,4
democrat,4
improvement,4
figure,4
city,4
fact,4
solidarity,4
behavior,4
trial,4
kind,4
state,4
problem,4
relationship,4
member,4
video,3
school,3
war,3
public,3
office,3
begat,3
side,3
talent,3
back,3
client,3
loss,3
sex,3
body,3
post,3
boy,3
tumor,3
heart,3
audience,3
opposition,3
life,3
program,3
strength,3
doctor,3
majority,3
deal,3
point,3
place,3
news,3
white,3
progress,3
security,3
decline,3
hand,3
band,3
french,3
action,3
story,3
humor,3
testosterone,3
friend,3
event,2
shower,2
pressure,2
annoyance,2
light,2
variety,2
museum,2
concert,2
commentator,2
age,2
willingness,2
acid,2
treatment,2
secretary,2
underarm,2
heaven,2
producer,2
folk,2
sense,2
defiance,2
agent,2
overall,2
house,2
plane,2
symptom,2
chest,2
scene,2
plant,2
fabric,2
camera,2
letter,2
sympathy,2
reporter,2
certificate,2
line,2
defense,2
delegate,2
firm,2
daughter,2
indian,2
group,2
ground,2
slide,2
restraint,2
gap,2
sculpture,2
standard,2
orchestra,2
german,2
pattern,2
draft,2
color,2
street,2
flesh,2
ignorance,2
commercial,2
sponsor,2
bank,2
look,2
experiment,2
feature,2
hall,2
sleep,2
death,2
celebrity,2
victory,2
reader,2
substance,2
gold,2
history,2
impatience,2
boat,2
station,2
space,2
mother,2
risk,2
broadway,2
muscle,2
subject,2
screen,2
pride,2
sail,2
x-ray,2
possibility,2
gallery,2
leadership,2
expert,2
affair,2
door,2
drawing,2
youngster,2
rating,2
survey,2
unity,2
profit,2
conservative,2
opinion,2
academy,2
floor,2
photo,2
actor,2
trade,2
artist,2
passage,2
issue,2
campaign,2
writer,2
object,2
battle,2
level,2
drug,2
concept,2
country,2
executive,2
attorney,2
vita,2
touch,2
determination,2
interview,2
question,2
continuity,2
catalogue,2
patient,2
case,2
lot,2
performance,2
word,2
hostage,2
visitor,2
red,2
flag,2
slip,2
presence,2
radio,2
democracy,2
inclination,2
hero,2
violence,2
tendency,2
movie,2
use,2
design,2
report,2
chart,2
official,2
industry,2
peak,1
stick,1
tour,1
vault,1
material,1
iron,1
academic,1
shortfall,1
evenhandedness,1
historian,1
vessel,1
sound,1
